"names","values"
"itemid","32"
"event","wow... haz bin quite a while since a last undated... APRIL... pmsl!!

Life's goin great rite now!!... 2day waz gdgd... 4th years iz shite!! no one's on MSN so am bored!! same old same old... u no... the usual pish... c ya... mite put in another entry if am reeeeely bored!! xxx"
"eventtime","2005-10-07 20:36:00"
"current_moodid","15"
"url","http://loubah-moo.livejournal.com/8434.html"
"userid","9208"
"itemid","31"
"event","to all my adoring readers... i now hav a friends only journal... sooooooooo

send me u'r add, so i can add u!!

Luv Loubah xoxoxoxoxoxox

see yas soon! x"
"eventtime","2005-04-23 21:43:00"
"url","http://loubah-moo.livejournal.com/8014.html"
"userid","9208"
"itemid","30"
"event","Ryan Kane is givin me bother again... dont really no wat to do, feel, ill, shit, tierd, sick, & fucked up

god almighty, i am not good...

I need to get a grip, no he needs to get a grip,

i just dont know wat 2 do anymore..."
"eventtime","2005-04-22 19:24:00"
"current_moodid","22"
"url","http://loubah-moo.livejournal.com/7894.html"
"userid","9208"
"itemid","29"
"event","well, i'v bin havin a relaxation typed weekend, n I hav discovered that the guys in Japanese anime toons r hot!!...

try watchin Yu-Gi-Oh! n Dragonball Z! God It's hot!

peace out xox

'The Anime Geek Club' x"
"eventtime","2005-04-10 18:10:00"
"current_moodid","17"
"url","http://loubah-moo.livejournal.com/7497.html"
"userid","9208"
"itemid","28"
"event","Jeff, Jo n I went 2 see Vailent 2 day on da cinema Jo's goin, me sad :( but I want 2 go see her in the summer! so nt soo bad.

lv 'We Mis Jo!!n Inc.' x"
"eventtime","2005-04-07 20:36:00"
"current_moodid","106"
"url","http://loubah-moo.livejournal.com/7269.html"
"userid","9208"
"itemid","27"
"event","2day, Me Jeff, Jo, Jordz, n Annie went 2 ... wait 4 it ...

LARGS!!!!!!!!!!!!!

*paahh haaa!!*

but it wz gr8, cz we gt 2 meet, the 1, the only... Merlin/Jamie/Jambo!!

he's dead kl! A sweetie!, but [ersonaly, I prefer the Elven King! 
Or......... Calum, McVitie, McVitie, The Biscuit Man! (dnt ask!!)

but J'S a gem, much betta tn that complete, & utter twat 'David' *sed in childish manor!*

urs... ""The We all Luv Jambo & Calum, coz Their kl, but David is a Moron! Association"" xox peace out! xox

x"
"eventtime","2005-04-05 18:25:00"
"current_moodid","59"
"url","http://loubah-moo.livejournal.com/7129.html"
"userid","9208"
"itemid","26"
"event","for all my adoring readers!...

) comments, means there are comments, & if therre's othing there it means that there aren't... just to let u no!

If any1 can fix that... get in touch ... PRONTO!!!

loadsa Lurrvve, ""Daisy's r Da Best Flower's In Da World (Ta Jordz!)!! - Fan Club""

xoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxoxox... etc x"
"eventtime","2005-04-05 18:13:00"
"current_moodid","87"
"url","http://loubah-moo.livejournal.com/6896.html"
"userid","9208"
"itemid","25"
"event","Right! I'm bored!! sooooooo...

answer these question's & I'll send a story 2 you involving the answers! just leave the answers in a comment

1) name a  member of the opposite sex u don't really like
2) a random kitchen utencil
3)a) some1 else u like 
3)b) a famous person u don't like
4) a Harry Potter character
5) your fav fruit OR veg
6) an object associated with sex (lol!)
7) your least fav song - first line of the chourus
8) a line from a funny movie
9) choose ONE : plastic bottle / hairspray can / an Oxford Dictionary
10)a body part (yes... any one)
11) a number between 20 & 1,000
12) a planet
13) a (very) wild animal

send me he results

xox Lou xox"
"eventtime","2005-04-02 21:57:00"
"current_moodid","107"
"url","http://loubah-moo.livejournal.com/6460.html"
"userid","9208"
"itemid","24"
"event","d2VsbC4uLiBJIGtub3cgaSBoYXZlbid0IHB1dCBpbiBhIGVudHJ5IGZvciBhZ2VzIChzb3JyeSB0byBteSBhZG9yaW5nIHJlYWRlcnMgLSBsb2whKSBzbyBoZXJlIGFyZSB0aGUgdGhpbmdzIHRoYXQgaGF2ZSBoYXBwZW5lZCBzaW5jZSBteSBsYXN0IGVudHJ5ICgyMy8zLzA1KS4uLg0KDQpUSFVSU0RBWSAyNCAtIHdlbnQgdG8gbXkgYXVudHMgdG8gbG9vayBhZnRlciBteSB3ZWUgY291c2luIE5pa29sYSwgKGluc3RlYWQgb2YgZ29pbiAyIHNrb29sKSBjb3ogbXkgDQphdW50eSBTdXNhbiB3YXMgd29ya2luICYgbWEgZ3JhbiB3YXMgc2ljaywgYnV0IHNoZSBlbmRlZCB1cCBub3QgZ29pbiAyIHdvcmsgc28gd2UgYWxsIHN0YXllZCBpbiAmIHdhdGNoZWQgY2FydG9vbiBuZXR3b3JrIHRoZSB3aG9sZSBkYXkhIFRoZSBoYWQgMiBnbyB0byB3b3JrIGF0IDU6MzAhDQoNCkZSSURBWSAyNSAtIHdvcmtlZCBpbiB0aGUgYWZ0ZXJub29uICh3ZSBlbmRlZCB1cCBtYWtpbiDCozcyNSEhISAtIHdoaWNoLCBidHcsIGluIEEgTE9UISEhKSBUaGVuIHdlbnQgaG9tZSAyIGJlZCEhDQoNClNBVFVSREFZIDI2IC0gd2VudCBpbnRvIHRvd24gbiBtZXQgQmxvbmRpZSEgLSBmb3IgdGhlIDFzdCB0aW1lIGluIGFnZXMhIG5vdGhpbmcgZWxzZSBpbnRlcmVzdGluZyENCg0KU1VOREFZIDI3IC0gYSByZWxheGluZyBkYXkgKHRoYXQgbWVhbnMgbWUgaW4gbXkgcGoncyB3YXRjaGluZyBULlYuIGFsbCBkYXkhKQ0KDQpNT05EQVkgMjggLSB3b3JrZWQgZm9yIDIgaG91cnMgdW50aWwgM3BtIHRoZW4gKnNhbWUgYXMgYWJvdmUqDQoNClRVRVNEQVkgMjkgLSBpdCB3YXMgRW16IGJkYXkgc28gaSB3ZW50IGludG8gdG93biB0byBnaXZlIGhlciwgaGVyIHByZXp6aWUgZW5kZWQgdXAgaGF2aW5nIGEgcmVhbGx5IGZ1biB0aW1lISAoYWxsIGluIGEgcmF0aGVyIG9uZyBza2lydCwgJiBmYW5jeSBzaG9lcyAtIHRoYXQgYm90aCBnbyBjb3ZlcmVkIGluIG11ZCwgdGhhbmsgeW91IHZlcnkgbXVjaCEpDQoNCldFRE5FU0RBWSAzMCAtIHJlbGF4aW5nIGRheSB1bnRpbCA1IHdlbiBtYSBkYWQgcGlja2VkIG1lIHVwICYgd2Ugd2VudCB0byBtYSBHcmFuJ3MgaG91c2Ugc28gaSBjb29kIHNlZSBoaW0sIGdyYW4gKGhvbydzIGJlZW4gaWxsKSwgSm9zZXBoL0pvZXkgKG1hIHdlZSBicm90aGVyKSBuIEx5bnNleSAoZGFkJ3MgZ2lybGZyaWVuZCkhDQoNClRIVVJTREFZIDMxIC0gYmxhaCBibGFoIGJsYWgNCg0KY2FuJ3QgYmUgYm90aGVyZWQgd2l0IHRoaXMgc2hpdCBhbnltb3JlIA0KDQphbGwgaGFpbCBjaGVlc2UsIEdyZWVuIERheSAmIGNvd3MhDQoNCnhveCAtIExvdWJhaCBNb28uLi4ncyBwZXJzb25hbCBhc3Npc3N0YW50IEhlbGdhICYgaGVyIHBldCBlZ28gRG9taW5payB4b3g="
