"names","values"
"itemid","50"
"event","When I was a child, I told time by how long it had been since I was born. So my second year of school would be when I was six. As I grew older, it became how many years since I'd entered school, so I was no longer having things occur when I was sixteen, it was during my sophomore year. Until of late, I told time by the time in my relationship, so last year would have been year 6, not 24, or Senior +6, etc. Now I find myself starting that calendar over again with another landmark event in my life. The permanent parting of myself from my ex.

She came by to pick up some stuff today, and got inside my head. I got to thinking about the promises I'd made to her... and how important my honor is to me, about the fact that I said I'd never leave her. That I loved her more than anything, That I would never say no. That I would never hurt her. And now I am finding my self for the first time in ages actively deciding to break my word. This is not a decision I arrive at easily, or quickly, but rather, one I arrive at after days of considering what is best for me, and what is dangerous for me. It is not honorable to, in keeping one's word, become dishonorable. That is the failure of the man to see the long term, in favor of the short. I cannot continue to walk a self-destructive path, following a woman I HOPE would someday come to truly love me and cherish me, as I did her for so many years. But I will idolize her no more.

I have always considered myself to be a member of a knighthood of one... No, it isn't cool, and no, I don't think I'm decended from a line of knights of any sort, rather, I see myself as a strong, powerful man. And with that power comes responsibility to those around me. That is what I mean when I say I am le chevalier du sacre coeur. The knight of the Sacred Heart. I do not fight for God because I do not pretend to understand his will, or know what to act in defense of. Instead I fight for what my heart tells me to. For the good of those around me, I give up what I must to protect them, and care for them. I give of myself so others can have what they must. This has been my way since I was a small child. But there is one small problem with a knighthood of one.

You're the only one.

That means if the Knight falls, there is no other to take his place. No champion to the cause of the good and righteous. No heart to follow, means no chevalier du sacre coeur. If I allow myself to be dragged down paying homage to a word as though I was something more than human, something that could go through life without breaking my word, or even just without conciously deciding to break it, then I would not only be so conceited as to walk upon the grave of God after by my own beliefs killing him, but I would be doing the world a disservice by taking from them the only one that serves that cause. The only one left that protects the weak from the strong. 

I&nbsp;have to return to my other duties as a Knight. To protect everyone... not just her.. from the dangers around them, to respect and protect life, until death. 

It is now within me to break my word, if it needs to be done. I have found that bridge and crossed it, So do not try to put that river between me and my success alone. Because you will fail, and will be, in effect, abjuring my last requirement of myself where you are concerned."
"eventtime","2009-03-23 23:17:00"
"url","http://ltkgaidin.livejournal.com/12908.html"
"userid","9295"
"itemid","49"
"event","Not because I'm getting off, but because I'm taking what I want and need from life back, and it's easier to aim when the world stands still. So how does one get the world to stop? Well that's relatively simple, get out of your relationships. See, when you're in a relationship, in a way, your universe revolves around that person. Everything in your lives affect one another, so you can't control your own life. You can't get a grip because you always have to be concious of the other person. So when you sever that tie, you get a much more stable world to take aim for your dreams. Yeah it sounds cheesy, but it's really true. Now to some, whom have amazing relationships already, the risk just isn't worth the reward, and I applaud those of you that this remains true for. But if you've got the opportunity, and your life is out of control, your relationship is steadily declining... take matters into your own hands. Turn the whole thing around by taking control of what you can. End the relationship so you can see things clearly, fix yourself, take control of your life, and get where you want to be. Then if you really want to look up the old flame. He/She/it will probably still be there, and might even be single, but you will be a thousand times more attractive since you have control of your life. That sort of control appeals to pretty much everyone. Even if they don't like you to control THEM.

What spawned this is that once again, my ex fiancee has dumped me. I got home today and all of her belongings were gone. She claimed her reasoning was that she was afraid of me, but hell, last time I touched her in anger, it was to hold her down because SHE was hitting ME. Then I covered her mouth when she screamed because it was the middle of the night and we live in an apartment. Once she calmed down, I let her go. Before that yes, once, I hit her. She hit me, knocked off my glasses, and I hit her back... and one other time, where she hit me, and I hit her back and asked if she liked how it felt. It was a self-defensive action, but still inexcuseable, as she isn't physically capable of harming me with her fists. Her other excuses, actually the first ones, were about her. That she'd been using me for years because I was financially stable, that she begged her ex boyfriend to marry her and take her with him when he left for boot camp, that she didn't love me anymore and it wasn't fair to me, that she wasn't really there because of her anti-depression meds making her sleep all of the time and that wasn't fair... And yea, at first, I got angry. But then I realized something.

She told me she was going to run off with her ex boyfriend but he said no... and yet I was trying to appologize to HER.

I wanted HER back... after that level of betrayal.

After all the lies.

After she cheated on me twice in the same calendar month, and had the nerve to still ask me if I trusted her, and get upset if I said no.

I wanted HER back.

No.

And that &quot;no.&quot;&nbsp;was probably the most powerful thought that has ever gone through my head... by extension. You see when I cut that tie, when I said no, I don't want you back, the break suddenly became very easy to handle. She was just doing what I would have done if I had known what she had done. And more, it gave me the willpower to do all sorts of things I've been putting off for ages. I actually started another exercise routine. I can only assume it will continue, as I don't have a whole lot else to do.

The only door that yet remains closed, is the doorway to another relationship. I'm a nerd, where the hell am I gonna meet women? I don't drink, so a bar is out. And everywhere else I can think to go, is places where couples go to spend time. If anyone has any ideas, feel free to leave me a message."
"eventtime","2009-03-21 03:10:00"
"current_moodid","68"
"url","http://ltkgaidin.livejournal.com/12729.html"
"userid","9295"
"itemid","48"
"event","Yesterday afternoon: Chicken Salad wraps, with plenty of lettuce and flatbread (which is why I perfered the turkey wraps, but I picked up the wrong faqin box.)

Last night, one goldfish (the cheesy cracker kind, someone offered me one.) and then grilled chicken in brown rice with tomato paste, made into a burrito with a tiny bit of sour cream and some salsa.

This morning: A ""breakfast burrito"" at QT... it's a slip, but I didn't have time to make breakfast, and all my pills require food.

Oh, and my solid breakfast, one B-complex vitamin, one Centrum Performance multivitamin, and one L. acidophilus pill.

By the way, I feel terrible. It's 8:40 AM and I already want to go home."
"eventtime","2008-08-19 08:29:00"
"url","http://ltkgaidin.livejournal.com/12313.html"
"userid","9295"
"itemid","47"
"event","Sunday I didn't do so well. I had a bowl of cereal, and like 8 bites of some leftover tuna helper for breakfast, which wasn't too bad.

Lunch was tacos made of chicken, grilled peppers, onion, corn, a little sour cream, and some salsa (150 mg sodium.) on a corn tortilla... I had two, and then one on bread. Too much. I would have been fine, I just wanted to get the disgusting taste of the corn tortillas out of my mouth.

I ate one slice of pizza at dinner left over from david's, he wanted to get rid of the box and such because it was just taking up space. I also had a few slices of cheese yesterday just for something to nibble on I need to remind myself when I'm home not to eat so damn much.

Kim doesn't like my 2-3 oz portions of the coho salmon she bought, but tough, that's all you need. Suppliment the lack of food with veggies, not with more meat more meat more meat. Corn, tomato, lemon, peppers, all these go well with salmon. Deal."
"eventtime","2008-08-18 08:46:00"
"url","http://ltkgaidin.livejournal.com/12076.html"
"userid","9295"
"itemid","46"
"event","Lunch... classic grilled chicken sandwich at McDonalds, a large fry and tea. I'm cooking dinner now... and dinner promises to be spectacular...

a rice dish with tomato paste, green onions, and a little sweet sage, and salmon to top it.. a few ounces of fresh coho salmon, a little salt, fresh ground black pepper, some rosemary, and baby dill. It's a meal fit for a king."
"eventtime","2008-08-16 17:25:00"
"url","http://ltkgaidin.livejournal.com/11894.html"
"userid","9295"
"itemid","45"
"event","Breakfast - around 8:30 or so I had a bowl of oatmeal, and since I finally bought some acidophilus pills, I took one. I have to take another one tonight.&nbsp;"
"eventtime","2008-08-16 10:12:00"
"url","http://ltkgaidin.livejournal.com/11723.html"
"userid","9295"
"itemid","44"
"event","Ok, so, Lunch...

2 wendy's grilled chicken go wraps, 6"" tortilla, lettuce, little cheese, and honey mustard with about a 1/3 of a chicken breast.

A little later, around 2:00...

Wendy's salad grilled chicken salad, no dressing, no croutons, I got this at the same time as the wraps, but ate them an hour or two apart.

around 5:30 or 6:00, I had a bowl of cereal, I probably need to stop eating these, they're good for making me not hungry while I try to think of what to make for dinner, but I could choose something better for my body, like baby carrots.

Around 7 or 8:00, a leftover garlic pasta of some sort. There was a lot of oil in the bottom, but I drained all I could off of the mastachelli noodles I ate, with salt and pepper.

Not the best day, but it's doable, and I was proud of myself because my roommate and his girlfriend got pizza, and I didn't ask for a slice. I mean I wanted to, but I didn't, and I was particularly glad I didn't even WANT the chocolate dipper whatevers that Pizza Hut is making now.

OI! I haven't done one of these for a while... WoW update...

Sonosuke is level 70, human fire spec mage. I crit 40% or more of the time, and do just shy of 900 DPS reliably.
Karisita is level 40, she's a prot-spec warrior, just learned to wear plate, I reallly like her.
The rest, I'm not really sure. These are my two mains. And I love 'em to death.

Kim started a clan... me and her are butting heads on it a lot.... she's making some of what I believe are bad decisions. But whatever, it is what it is."
"eventtime","2008-08-15 22:46:00"
"url","http://ltkgaidin.livejournal.com/11372.html"
"userid","9295"
"itemid","43"
"event","Last night for dinner I had two burritos... but not bad ones, three 3/4 inch square peices of chicken each (total of half a breast), a little bit of colby/jack cheese, grilled red yellow and green bell peppers, a little sour cream, and a 6"" flour tortilla. This was at about 7:00 or 7:30.

Then around 9:00 or 10:00 I had a bowl of honey nut cheerios... and about 11:00 I had maybe five strips of julienned bell peppers.

OH, and just before dinner, because Kim insisted on waiting till we finished an instance in World of Warcraft to cook, I had maybe 10-15 crackers with salsa. The salsa only had I think 120 sodium per two tablespoons, so it wasn't too bad. No fats, so I thought it was pretty safe."
"eventtime","2008-08-15 08:51:00"
"url","http://ltkgaidin.livejournal.com/11178.html"
"userid","9295"
"itemid","42"
"event","&nbsp;Okay, I got home and had a bowl of honey bunches of oats, about a cup and a half, with a full cup of milk.

Other than that nothing but water so far."
"eventtime","2008-08-14 16:57:00"
"url","http://ltkgaidin.livejournal.com/10870.html"
"userid","9295"
"itemid","41"
"event","11:30-12:00, I had lunch, and I may have slipped a little bit, but I handled it pretty well. I went to a kfc/pizza hut express for lunch (monday I'm going to get a 3lb salad from Costco, but if I got one now it'd just go bad in the office fridge over the weekend) and I got one of their twister wraps, a 10-inch tortilla with lettuce, tomato, roasted chicken breast, I think a little cheese and some ranch dressing. It came with potato wedges, which I'm sure were all sugar and I'm not getting them again. I had a dr. pepper, 20 oz, but I didn't like the taste, I dunno if they had bad dr pepper, or if my taste buds are changing again, but I'm not really feeling soda anymore, I want tea, water, maybe some milk.

However my roommate had a cheese pizza, breadsticks, a cookie, and 6 honey barbeque wings, and the honey barbeque wings were filling the air with scent, so I had ONE and then I was done. No refills on the drink, no more wings, just my wrap and wedges. Monday I'll be on something a little more healthy."
"eventtime","2008-08-14 12:13:00"
"url","http://ltkgaidin.livejournal.com/10559.html"
"userid","9295"
"itemid","40"
"event","<p>Ok, so now I'm home, around 4:30 I went to subway and got a footlong oven roasted chicken sandwich with american cheese, lettuce, tomato, red onion, jalepeno, spicy mustard, black olive, and black pepper, a single serving bag of sunchips, and a cup of tea.<br /><br />Right now Kim is cooking me some tuna helper, only instead of using tuna, she's using canned salmon. Hopefully it'll be good. Portion control... have to remember portion control. If I need to I can have a smaller amount, put the rest in the fridge for tomorrow, and if I get hungry around bedtime, I can have a bowl of oatmeal... gotta keep on my toes with this or I'll backslide.</p><br /><p>Ok, so Kim actually cooked a meal for me, I had tuna helper, some asparagus, and an ear of corn, and about a cup of milk. I think it was too salty, probably not going to do that again.</p><p>&nbsp;</p>"
"eventtime","2008-08-13 20:39:00"
"url","http://ltkgaidin.livejournal.com/10437.html"
"userid","9295"
"itemid","39"
"event","Ok, em, I'm doing what you told me, and here comes my diet so far today, even though you already know it, I need to do this as much for me as I do for any other reason...

10:00 AM
Fruit platter, mango, cantaloupe, kiwi, strawberry, and grapes, 16oz.

12:30 PM
chicken caesar salad, almost no dressing, no croutons, really salty chicken, not going back to wendys for this.
chicken go-wrap, grilled.

I drank 2 20oz bottles of water this morning, a 32 oz cup of black tea (prolly a bad idea since I'm getting a headache), and I'll probably drink another 1 or 2 bottles of water before I leave work.

When I get home, I'm going to be doing some weights to try and strengthen my back, knees, and calves... my roomate showed me a few routines that will work on my lower back, my knees, my calves, I don't have a whole lot of weight to work with, but these workouts aren't to build huge muscles, they're to tone and return the strength just to remain standing without having a heart-attack, so doing one set till I feel the burn should be plenty, even if it takes forever. 

In a personal note, I'm in the open beta for Wrath of the Lich King for World of Warcraft. I have a 58 death knight, and a 70 mage in the beta realms, and so far I love it, the death knight is a little overpowered though."
"eventtime","2008-08-13 14:36:00"
"url","http://ltkgaidin.livejournal.com/9995.html"
"userid","9295"
"itemid","38"
