"names","values"
"itemid","3711"
"event","Yesterday my doctor gave me a prescription for Sudafed. The real stuff.

Holy crap, the process to get Sudafed in Washington state is very nearly similar to getting on a freaking airplane. In fact, it's a smidge more invasive. Aside from that naked thing.

Can't pick it up at the drive through, once you come inside you get your ID scanned and they copy down all your information, then you have to electronically sign a thing that says you can be arrested/fined/jailed/executed for not following your doctor's directions.

I'm just curious - I would think that alcohol and drunk driving causes more deaths than sudafed/meth use. Why don't we do this with alcohol sales?"
"eventtime","2010-11-18 18:39:00"
"url","http://macmanchad.livejournal.com/950266.html"
"userid","9451"
"itemid","3710"
"event","Just woke up from a nap. Hungry. Frustrated that I have this infernal cough/lung rattle still.

Ugh."
"eventtime","2010-11-13 21:14:00"
"url","http://macmanchad.livejournal.com/949782.html"
"userid","9451"
"itemid","3709"
"event","I have 40 hours of time off to burn before the end of the year. With our holidays that means I could not work fridays until 2011. Should I? Or should I find a full week and take it off?"
"eventtime","2010-11-10 12:48:00"
"url","http://macmanchad.livejournal.com/949643.html"
"userid","9451"
"itemid","3708"
"event","It appears I don't have pneumonia, which is good, but I could have a cough for the next 6 weeks.

By muting the TV and sitting in another chair away from the remote, I managed to unfortunately experience ""Two and a half Men"". At least with the sound off, I haven't wanted to stab myself for the entire thing, only when I saw Charlie Sheen wearing cargo shorts and loafers with his waxed legs. That show is much more blatant with product placement than I expected it to be. The half-man did an Apple FaceTime call to Charlie Sheen's iPhone 4, and later in the episode they were at a pharmacy that had a very prominent Sharp cash register in the foreground of many of the shots.

The Call of Duty commercial almost makes me want an XBox. Unfortunately I know how bad I am at first-persona shooters.

Why is it that my 6 year old PowerBook G4 can open an Excel spreadsheet using Apple Mail ""Quick Look"" in about two seconds, but when I go to open the spreadsheet in Microsoft Excel it takes about five minutes?"
"eventtime","2010-11-08 21:36:00"
"url","http://macmanchad.livejournal.com/949479.html"
"userid","9451"
"itemid","3707"
"event","Wow... did not plan on staying out this late. Evan had a gig in Stevenson, WA, and I wanted to at least get an idea of how it was, but ended up staying for the whole thing. Whatever cold I'm coming down with is going to kick my ass tomorrow. But I had fun. The gig was for a non-profit that does stuff for the local schools out there to help keep the kids off the streets/drugs/pregnant/jail/dead/alcohol/swearing. It started off pretty slow, Evan got a little frustrated because the kids were not in to his standard fare. We ended up looking up the bestselling MP3s on Amazon and wrote them all down for him. We discovered that songs with 120+ beats/min are where it's at to get people on the dancefloor. Some of the kids had some incredible costumes, too, and at least two of them were high as a kite.

The drive back was a nightmare. We took the Washington side to avoid paying the toll at the Bridge of the Gods again, and I swear, the road signs brought back memories of Pee Wee's Big Adventure. Plus pouring rain.

In other news, Costco can refill my printer's ink cartridges for $10 each! I have one black and one color cartridge; this is much better than the $26.xx I found for a new black cartridge on Amazon."
"eventtime","2010-10-31 01:41:00"
"url","http://macmanchad.livejournal.com/949024.html"
"userid","9451"
"itemid","3706"
"event","Inspired by <a href=""http://www.cnet.com/8301-19709_1-20021075-10.html"" target=""_blank"">this</a>, I'm going to blog a bit about my experiences with dropping my cable connection and switching to using nothing but a Roku box, a (cheap!) Windows 7 box, and an antenna.

A couple months ago I dropped my super expensive cable package for the most basic package they offered, and have been attempting to get decent reception from an antenna and supplementing my programming with Hulu, Netflix, and Amazon VOD on the Roku.

At first, I thought this would end up being significantly more expensive. However, after doing a big chunk of math, I realized that all the shows I was putting on my DVR were either available OTA (Over the Air) or on Hulu. So far, $0.00. The only shows that I was looking forward to watching from non-network channels were Mad Men, My Life on the D-List, and Futurama. All three of these shows were on Amazon for $1.99-$2.99 per episode, and a bit cheaper when subscribing to the season. Since these shows are billed once per week, that only puts the cost at $35.88 (sans tax) at most per month. On top of that, through Amazon these will play on the Roku boxes I have in the living room and the bedroom.

Compare that to $80 or so for my cable TV package. 

I seriously have not missed anything at all.

The next goal is to figure out the antenna situation. I currently pay a net of $3 per month for the basic cable package (the lower price of the internet bundle washes out the majority of the TV price), but I'd like to eliminate even this and be counted among the hundreds of thousands of TV subscribers Comcast has recently lost. I'm thinking the solution is going to be mounting a big antenna in the attic."
"eventtime","2010-10-29 17:58:00"
"url","http://macmanchad.livejournal.com/948736.html"
"userid","9451"
"itemid","3703"
"event","A bottle of champagne that's been in there since 2006 at the latest. Yogurt. Packets of pre-sliced apples. A tallboy of Fat Tire, and some fancy beer my parents picked up from me in California. Condiments. A couple bottles of Viso that probably should be thrown out. And some butter and margarine that should also probably be thrown out. Oh yeah, and a jar of jam that's only been opened and consumed once."
"eventtime","2010-10-17 22:12:00"
"url","http://macmanchad.livejournal.com/948010.html"
"userid","9451"
"itemid","3702"
"event","Wow...been a while since I wrote in here. I think those are the content of my last couple entries though.

I should be writing more. I'll work on that. But maybe not at the moment, as I'm rather sleepy and waiting for the laundry to finish drying. I don't know why, though, since I don't really feel like putting it away tonight. I should just get in bed."
"eventtime","2010-06-13 21:36:00"
"current_moodid","49"
"url","http://macmanchad.livejournal.com/947964.html"
"userid","9451"
"itemid","3699"
"event","So this is the second >2 day weekend I've had in a row, if you count last weekend's laying on the couch trying not to drown or suffocate from the effects of a sinus infection as a weekend.

Yesterday I woke up and laid around then went to Warren, OR for the t-day. Mom, step-dad, and I had prime rib at step-dad's sister and brother-in-law's house. I was the youngest there. It was kinda nice being around not my full family and feeling the heat of their judgement or stupidity/trashiness. Didn't do anything last night.

Today I woke up and tried to keep myself motivated to glue down the little plastic rails that hold the transition pieces for my flooring between rooms/floor types. Although it isn't hard work, the glue I bought takes 24 hours to fully set, and if it's off by so much as a millimeter it leaves a gap, so it's kinda stressful. I think I may have a system down now that I've fully destroyed one piece and then failed on another. I guess we'll find out tomorrow though, won't we?

Had to make a home depot trip for some more concrete patch, this time of the pre-mixed variety. It's more expensive, but holy cow so much less frustrating than having to mix your own and then try to use it all before it dries up. Basically wherever there was a tacking strip for the carpet a bunch of divots in the concrete subfloor remain. These divots have to be filled so there is something level to glue the rail down to and properly support the flooring underneath.

Anyway. Now I guess I'll spend the evening watching Netflix streaming. Boring."
"eventtime","2009-11-27 21:15:00"
"url","http://macmanchad.livejournal.com/946969.html"
"userid","9451"
"itemid","3697"
