"names","values"
"itemid","321"
"event","there are times when i think that, despite the fact that my work is so far off from my career path of choice, i couldnt have been at a more appropriate place. an accounting major might find some solace in a design firm(managing their finances) but an industrial design major sticks out like a sore thumb surrounded by corporate bean counters. take for example, on friday when i was making box labels. our unit is moving up to the third floor on thursday, so we have to pack, and pack up quick: at least 2 of my coworkers will be gone different days of the week, so we cant devote a day just to pack our stuff. several of our files were boxed and upon boxing them i was instructed to make labels for them. since the labels are printed on regular typewriting paper, i have to cut them to size so i can slap them onto the sides of the boxes. naturally, i had to use a pencil, ruler, tape, and scissors to perform the said procedure, which came to me naturally, because thats what one would use if they were to cut and paste something into anything. i heard art, the assistant director (of pretty much the entire building) come into our offices talking to my manager. he was there to have a chat with my coworker terry, who is unfortunately the problem child of our unit, but instead of storming into her cubicle he approached me instead. he observed me for a good 30 seconds then told my manager, ""people still use rulers and scissors?"" he said this jokingly and i saw in his face a look of curiosity and confusion; he was fascinated at the fact that i was doing something as quaint as cutting and pasting <i>physical</i> objects, not something virtual on my computer screen. still, it was but momentary, and i didnt bother trying to outline exactly what it was i was trying to do, because explaining anything in terms of design to headbound CPAs will always end in disaster. nonetheless, it was an interesting display of our differences, and further vindication as to why i can never be an accountant-im a ""hands-on"" person, and i would probably be more interested in the paper itself than whats written on it.

in other, less hectic news, i met with ellen the night before her birthday. i was the first person to see her on her birthday. since a lot of my high school friends are younger than i am, i feel somewhat depressed whenever their birthdays come-if theyre old it means im oldER. clueless as to what to give a fun-loving girl on her 21st birthday, i resorted to a foolproof solution: alcohol. a friend once told me i cant possibly fail with grey goose vodka(unless i want to shell out a substantial amount for a decent cognac), so i went with it and took ellen to guppy-not my favorite trendy locale since the teenagers that hang there are so disagreeable, but whatever. we munched on a deluxe pb&j and called it a night. the next day, i went to huntington beach for my friends' birthdays. they were a married couple and decided to celebrate their birthdays all at once. my friend chris offered to give me a ride, which saved me 10 bucks and a good amount of frustration trying to find a parking space. christie and i read our books-her with her ""notebook"" and me with my ""paradox of choice""-after which we hit hooters in costa mesa. i have never gone to hooters with this particular group of friends so i was excited. they are all veterans when it comes to drinking, something i tried my hand at but never fully tapped into my potential. we had the usual faire, the wings and fries and beer. halfway into our meal a group of guys-high school age-sat down behind us. then our server yelled ""dont do that! that is seriously not funny."" at first i thought he tried to touch her, but christie later told me one of the guys tried to put something down the back of her shirt. interesting. in the end we all got crazy and went home. christie confessed to me that she was a little upset that her boyfriend chris didnt stop her from driving, or at least giving us a little time to rest and sober up. this morning i ran a few miles to shake off my hangover, and that about ends the only weekend this summer that hit the beach."
"eventtime","2007-08-05 22:40:00"
"current_moodid","64"
"url","http://magic8ball710.livejournal.com/82274.html"
"userid","9513"
"itemid","320"
"event","much to my delight, school doesnt start until september 4, so that gives me around a month more of nothingness. as much as i dislike being idle, i like this period of not doing anything THAT important. after all, im only idle school-wise, but the rest of my life is still moving forward. besides, this is really the only summer where i havent taken any summer school-the last one was after i graduated from high school. lately ive been reading a lot of design-oriented books (art & visual perception, ways of seeing, the paradox of choice, the natural economist, the industrial design reader, the poetics of space, the design of everyday things), supposedly to fuel my desire even more for my major, something to keep me going through the summer and as i take my precalculus class. most importantly of all, ive been reading because my mom and my sister finally succeeded in getting hold of the filipino channel-which means our tv is running 24/7 on nothing but filipino-related whatever. i feel stupider just by listening to them, so to make sure i can still comprehend college-level english by the time i hit the books, i started to read. the filipino channel is nonstop gossip, drama, and variety shows, all with the same people doing the same things over and over and over again. not exactly sure how this repetition is in any way entertaining, but what the heck. im also applying for a new job. more like relocating actually, because i have a bad feeling about this place once school starts. classes+lab+homework+driving through traffic equals not a lot of hours for me, and very tired, stressful hours at that. i dont want to be around people who are making demands left and right when all i want to do is just go home, so i think im going to reapply so hopefully i can get transfered to a place closer to home, like norwalk or lakewood or cerritos. i still havent gone to the oc fair, a trip that i have to make as i make the most out of the remainder of my summer vacation. also, if anyone is willing to take me to where i work now (which is east la/monterey park/alhambra) just for kicks, i will treat them out to aloha food factory or noodle planet or noodle world. ive been craving these places for so long but i dont want to go here by myself. and i certainly do not want to go during my lunch, because it is incrdibly hot out here, what with all the pollution and the hispanics, and chinese, etc."
"eventtime","2007-07-30 12:16:00"
"url","http://magic8ball710.livejournal.com/81992.html"
"userid","9513"
"itemid","319"
"event","i havent updated in this place for a while, and with good reason. ive been very busy with life lately. i feel like im living my life as it would be when i finally have a family: the 9-5, coming home doing some errands, eating with a family member here and meeting with a friend there, and working out before heading off to bed. my job, though hardly generous when it comes to pay, is very rewarding. it is a stark contrast to my other job, where my sister complained of me coming home smelling like windex, clorox, lysol, or some lethal combination of any of those three. i dont come home sweaty, tired, looking like i labored in the fields or something. i have to dress ""professionally"" and people address me as ""sir"" and speak with a mellow voice. im away from home when everyone else is, and im out free when everyone else is. at work i sit in front of the computer all day, sometimes not even taking a lunch break, and i have a panoramic view of the la skyline..i feel like an executive; i have my best friends here, and theres of course the requisite one coworker that you hate. theres so many places to get good food here in monterey park! who knew this wasteland had anything to offer? anyway, my trip to boston was a blast. easily the best four days of 2007, and i would do it again in a heartbeat if i had 500 dollars for a plane ticket. my stepmom and i dropped off my stepsister as she is going to harvard to get her masters degree for god-knows-what major. some science i think, because she wants to be a doctor of internal medicine. im EXTREMELY jealous, at the fact that she gets to move away and the fact that she got into harvard. my stepmom assured me she is not smart, but made up for it with community service and leadership training, which makes it all the better for me since im not ""smart"" in that sense either. because of this, ive also thought about studying away, using it as a means to move out. im considering pratt in brooklyn or NYU for my masters. and then ill drop the bomb and tell my parents that im staying there; although they know ive been wanting to move to new york anyway. speaking of which, i registered for classes at cal state long beach. it was such a stressful day. since interior design people are given priority for classes, industrial design people (like me) are pushed aside and get spots if there are any left from the interior design students. on top of that, the counselors at cypress simply do not know any better, and i got very, very misleading information. so next semester i have to take a couple more classes there before i get GE certified. and theres a physics class i had to take there as well, but i will end up taking it at long beach because itll probably be more convenient to do it all in one school. so that ends my spontaneous urge to write in this journal."
"eventtime","2007-07-27 09:47:00"
"url","http://magic8ball710.livejournal.com/81837.html"
"userid","9513"
"itemid","318"
"event","i just turned in my 300 point final project for my online art history class...im so relieved. its not finished yet-i have to creat a ""dialogue"" with two other people about their projects, but im on the home stretch. besides the dialogue, i have only two more quizzes and two extra credit exercises which i very much intend to submit. not that theyll make much of a difference, but at least i did it. i went to my last class meeting today for my other art history class, and it was a breeze-we all went through our lousy group presentations and took 10 minutes to go through the scantron final. after this its work throughout the summer, just like the regular folks; hour and fifteen commute to work, sit for 8 hours, and spend another hour-fifteen parading my way through the chaos that are the 5 and 605 freeways, respectively. no homework, no summer school, no worries, although i am very much interested in enrolling in a latin dance class over the summer, if they offer it at night. dunno why, i just had the sudden urge to do it. i cant wait until i go to boston in june to help my stepsister settle into the place as she is going to go schooling there to get her masters degree. i spent the remainder of my accident settlement for a plane ticket and i dont care-itll probably be the only chance i have for a vacation since ill be working over the summer and going back to full speed at long beach in august. as for other news, not much has went on, except that i started on my new job last week. its nice, very professional, so even if i do end up quitting in august, at least i had some experience in such a setting. i dont believe there is anyone under 40 except for me, so no workplace romances here. the commute took its toll on me for a while but im getting accustomed to it. also, their dress code is starting to get a bit expensive for me but i like it; everywhere i go people respect me because i look so professional...i dont take that lightly since i am a very slight man, so i embrace every opportunity i have to boost my ""presence""....i also like how everyone thinks im a cop because my id has ""sheriff"" printed in big bold yellow letters across the top..of course it didnt help out much when i got yet ANOTHER speeding ticket in fullerton with my MOM and sister on our way to-get ready for this-church. anyway, i like the oohs and ahhs and i feel just as important as my coworkers, who get paid a whopping $55-$65/hr to do the same crap as i do, which is input stuff into a ""very special"" data entry program and other accounting crap. its quite a break from washing dirty dishes and mopping floors, and its quite an ego boost."
"eventtime","2007-05-24 01:03:00"
"current_moodid","90"
"url","http://magic8ball710.livejournal.com/81452.html"
"userid","9513"
"itemid","317"
"event","cal state long beach resent me my acceptance letter, this time with even MORE stuff. im confused. is this customary? anyway, my ""contribution"" for student aid got raised from 3400 to 5022, which means ill be paying more for school. supposedly. i got my letter from LASD which deals with instructions and stuff. they didnt mention what i should wear. huh, thats funny. i guess i can wear nothing to work. what a relief! im finally content with my design class because we are working on our final project and my teacher, for the first time, praised my work, and even went so far as to say it is one of the couple of decent ones out of everyone elses. hes extremely critical, unmistakably gay and thereby VERY blunt, and he never really liked my work, so im sure its sincere. were making something thats supposed to function as a hanging lamp by bending and twisting metal wire for a frame, and it could take on any shape we want. i wanted to do something in the lines of male genitalia, but we definitely wouldnt be able to hang that in the living room, so im doing this exploding-mutant-lotus-flower-whatchamacallit and im going use neon orange tissue paper for the ""petals"". coolness. thats all."
"eventtime","2007-05-06 12:40:00"
"current_moodid","6"
"url","http://magic8ball710.livejournal.com/81284.html"
"userid","9513"
"itemid","316"
"event","just like it was during the last phase of my high school years, ive left cypress already and im just thinking about long beach...im just coasting through my classes and waiting for them to be over so i can move on. my 3d design teacher really annoys me. he has favorites-which i understand, because i would too if i were a teacher-but he pretty much ignores everyone else, implying that the rest of the class are not nearly as competent as his little pets. theres always these few kids whose work is ""pure genius"". im getting sick of it, and hes not even that great of a teacher. he talks too much of his trivial issues in life-living condition issues and ""bar stories""-and of how he designed this and that for some company for such and such event, all stories none of us can relate to, let alone care about. i admit some of the work produced by his favorites is impressive, but some of it is just pure crap. trying to please gay people is extremely difficult. hes turning a design class into an arts-and-crafts course, thereby giving the class a geriatric feel to it. pretty soon well be playing bingo when we have nothing left to do. not good training for my high-paying, 70-hour-week design job. for our last project, we are supposed to design a hanging lamp made out of chicken wire, and make it look <i>decadent</i>, as he said. he rejected my idea of a light bulb, saying that it looks like something he can buy at a store. he always finds something to criticize about those people who are not on his favorites list. which is why im not going to class tomorrow. ill simply go to ikea and fashion island and spend money on whatever amuses me. im also doing reseach for my online art history class. im actually enjoying it to my surprise. im going to different libraries and even going to university libraries. usually im satisfied with the one at school, but somehow i feel driven to get a good grade in this class. on friday i went to cal state long beach to try and borrow a particular book. after losing to three people for a parking space, i finally found one. then i put quarters in as it was metered. since each quarter is only good for eight minutes, i tried to put in as much as they would allow. as i was about to put the fifth one, the meter flashed ""dead, out of order"" on the display. so i waited a few more minutes then finally found another one. ive never walked around the campus before, plus it was raining hard and i didnt have much time left. but i found the library with a little walking around. the receptionist gave me a mean look because i soaked the welcome mat at the entrance. to my dismay, the one book i came for is not available for checkout because it is located on one of the two floors that are closed off due to construction. so off i went to cal state fullerton. while i had no trouble finding my way and finding parking, the permit cost 5 bucks, which is a lot of money for me. i have to say that the people there are much friendlier than the folks at long beach, and i would have gone there if they had my major. they were willing to give directions instead of just pointing at some direction as if you knew what they were talking about. anyway, thats all i have for now. theres much more to this but im so tired."
"eventtime","2007-04-25 01:17:00"
"current_moodid","31"
"url","http://magic8ball710.livejournal.com/80944.html"
"userid","9513"
"itemid","315"
