"names","values"
"itemid","4"
"event","One more day! One more year!"
"eventtime","2010-08-19 22:16:00"
"current_moodid","101"
"url","http://mamiebabou.livejournal.com/1178.html"
"userid","9585"
"itemid","3"
"event","Life goes on."
"eventtime","2010-06-30 22:08:00"
"url","http://mamiebabou.livejournal.com/891.html"
"userid","9585"
"itemid","2"
"event","A little visitor, rain or shine."
"eventtime","2007-12-09 08:51:00"
"url","http://mamiebabou.livejournal.com/668.html"
"userid","9585"
"itemid","1"
"event","She is my sweet Michou."
"eventtime","2004-08-05 12:30:00"
"url","http://mamiebabou.livejournal.com/450.html"
"userid","9585"
