"names","values"
"itemid","72"
"event","Haven't updated in along time, so felt I should. Don't know if I'll ever touch this thing again.


Leaving two links, go to them.
<a href=""www.myspace.com/farfromreachatl.com"">Myspace</a>
<a href=""www.farfromreach.cjb.net"">Far From Reach</a>"
"eventtime","2005-02-26 22:31:00"
"current_moodid","5"
"url","http://mechanicalerr0r.livejournal.com/18636.html"
"userid","9806"
"itemid","71"
"event","Demo is here."
"eventtime","2005-01-12 20:20:00"
"current_moodid","90"
"url","http://mechanicalerr0r.livejournal.com/18178.html"
"userid","9806"
"itemid","70"
"event","Some company called Concert Search in Toronto, Canada called wanting us to play at the Masquerade March 12th for a bunch of record label A & R representatives..... How in the world did someone hear about us in Canada?! She said we were hyped up?!?! We've only played a party and have one crappy recording floating around. The demo hasn't even arrived yet."
"eventtime","2005-01-12 06:58:00"
"current_moodid","90"
"url","http://mechanicalerr0r.livejournal.com/18103.html"
"userid","9806"
"itemid","69"
"event","Prepare wisdom teeth for evacuation tomorrow..... ouch"
"eventtime","2005-01-06 21:04:00"
"current_moodid","38"
"url","http://mechanicalerr0r.livejournal.com/17724.html"
"userid","9806"
"itemid","68"
"event","School tomorrow.......

Less than 1.5 years left until I am forced to figure out what I want to do with my life. 

I hate the first day of a semester also.



You were a song that I couldn't sing
you were a story I couldn't tell
I've only ever loved myself
But I've loved myself so well"
"eventtime","2005-01-03 22:08:00"
"current_moodid","71"
"url","http://mechanicalerr0r.livejournal.com/17647.html"
"userid","9806"
"itemid","67"
"event","<h1>Happy New Years!</h1>

Just woke up and took a shower only to walk into one of my sisters friends while getting out.

Burnt my thumb playing golf with firecrackers last night.

Jeremy beat me in Halo for the first time. He freaked out and ran to the phone and called Tim just to announce his victory.

New Years Resolution = Get in shape with Tim

I finally have a cellphone.

Good times all around.



I know it's hurting you, but it's killing me"
"eventtime","2005-01-01 10:05:00"
"current_moodid","99"
"url","http://mechanicalerr0r.livejournal.com/17312.html"
"userid","9806"
"itemid","66"
"event","I'm back.

Damn fun trip, besides moving 12 miles in 2 hours Friday night in just Atlanta traffic, and fighting to stay awake while driving. Also the freezing cold temperatures and the crazy southern accents made it interesting. Met alot of fun people and really enjoyed being with Scott, Gina, and little spencer.

I hate recording from now on to forever, but we got three songs in the pocket. They are being mixed and mastered, etc right now. Should get the cd's in a couple days. As soon as we do get them they will be on purevolume. Also should have alot of pictures from the trip soon on the site.



aye reckon joo need ah bub"
"eventtime","2004-12-21 15:57:00"
"current_moodid","90"
"url","http://mechanicalerr0r.livejournal.com/16924.html"
"userid","9806"
"itemid","65"
"event","Dear Livejournal,

Two more days till we leave for North Carolina to record. It's going to be a blast. Also going grocery shopping tomorrow for the trip to save money. And looks like we probably won't rent a motel room to save money, and just sleep in the expedition. Should be fun with wade, jeremy and me crammed into it. 

The website looks like it's coming along nicely.

Also I hate my dad for passing on his migraine problems to me. In the middle of practice today, I got tunnel vision which means I'm going to be in a lot of pain within an hour to thirty minutes. I hate migraines so bad atleast I only get one every month or two. My head is still throbbing right now, but yeah I'm done complaining now.




But I've been thinking
And thinking always gets me into trouble
But since I have a double personality
It wasn't me you see
Now I'm a refugee"
"eventtime","2004-12-15 20:24:00"
"current_moodid","74"
"url","http://mechanicalerr0r.livejournal.com/16650.html"
"userid","9806"
"itemid","64"
"event","I hate being sick.

My throat is so raw at the moment I can barely talk. But hey, atleast I sound like a robot.

But yup things are looking good at the moment in some areas and bad in other areas.

One more week till we record. Hopefully we will have time to record more then our goal of three songs. Also our bassist can't make it so me or Tim are going to fill in on the bass tracks. It's going to be a crazy drive to North Carolina. I also started working seriously on the band page. It should be completely redone and up within a week or two. I think it looks spiffie so far.

85% of the bands on purevolume suck.

http://www.purevolume.com/anewdayatl <------Hahahahhaha


EDIT* Updated the webpage with a rough draft. Input would be appreciated. <a href=""http://www.freewebs.com/farfromreach/index.htm"">Far From Reach</a>


My lungs are fresh and yours to keep, Kept clean and they will let you breathe."
"eventtime","2004-12-11 08:31:00"
"current_moodid","82"
"url","http://mechanicalerr0r.livejournal.com/16492.html"
"userid","9806"
"itemid","63"
"event","Life went crazy for a brief second, but it calmed down. We definitely are going up to North Carolina to record December 17th after school. I am excited about that and it's going to be fun. Also other unexpected things are happening. And Wade talked landon and me into going to Escalade to rock climb. I've strained muscles I didn't know I had. I feel like jello. Anywho it was fun, I'm probably going to do it again sometime.

And that's all he wrote for now.



You said so much without even parting your lips"
"eventtime","2004-12-01 21:32:00"
"current_moodid","62"
"url","http://mechanicalerr0r.livejournal.com/16219.html"
"userid","9806"
"itemid","62"
