"names","values"
"itemid","260"
"event","first semester is over.
college has been so interesting.
its a shame its getting good at the end.

i love my roomies.
we're such a potluck, i cant help but feel greatful.

boys can be so wonderful.
but then just be such a pain.
solitude isnt that bad.

i s'pose it is time to go home.
im starting to feel like im scrambling."
"eventtime","2006-12-15 04:05:00"
"url","http://meltmeaway.livejournal.com/66630.html"
"userid","9882"
"itemid","259"
"event","The internets back and this is such a wonderful thing.
Ive been like MIA all summer and i suppose its alright.
Most of the important people see me, but then again alot of my favorites I dont see enough.

So i got my roommate info for Towson tonight. Thats pretty exciting aye? Except with this internet and such calling on the phone seems like its just way too much pressure.

Life is good. The boyfriend is wonderful. I was pretty much living at his house while his parents were away. Its weird being able to spend that much time with someone and not get tired of them, especially a sig. other.

For those who care out there in the LJ/Theater world, Ive picked up sewing again, (thanks project runway! lol JK). Anyways, its nice, atleast it'll give me an excuse to spend some time with Gussie if i get in a bind or whatever."
"eventtime","2006-08-06 03:35:00"
"url","http://meltmeaway.livejournal.com/66520.html"
"userid","9882"
"itemid","258"
"event","Flowers and lazy summer evenings are things a girl can get used to.
A good man and some TLC make it all more the better.
Things are wonderful, it makes me high.

Kate and the lovely Emilie and a shy little kittie make my day.
So does nic fits, sake, and a cook out with some peabody boys.

Tomorrow afternoon will be wonderful.
I hope that I can soak up every little bit of it.

summertime makes the world go round."
"eventtime","2006-06-03 01:18:00"
"current_moodid","13"
"url","http://meltmeaway.livejournal.com/66147.html"
"userid","9882"
"itemid","257"
