"names","values"
"itemid","9"
"event","this is dedicated to <lj user=""the_ugly_nymph"">, 'cause she's awesome and will undoubtedly get the jokes... &hearts;th

why shouldn't you go swimming in the rain?
<lj-cut text=""well, for one, you wouldn't be able to read this comic..."">
<center><img src=""http://i47.photobucket.com/albums/f172/menbuytampons/comic2/comic2a.jpg""> <img src=""http://i47.photobucket.com/albums/f172/menbuytampons/comic2/comic2b.jpg""></center>
</lj-cut>
<i>blanks available upon request.</i> no hotlinking, please.
I'm not going to say that comments make my &hearts; sing, even though you know they do..."
"eventtime","2006-01-15 00:01:00"
"current_moodid","87"
"url","http://men-buy-tampons.livejournal.com/2409.html"
"userid","9898"
"itemid","8"
"event","what's the difference between roast beef and pea soup?
<lj-cut text=""hint: it's not this comic..."">
<center><img src=""http://i47.photobucket.com/albums/f172/menbuytampons/comic1/comic1a.jpg""> <img src=""http://i47.photobucket.com/albums/f172/menbuytampons/comic1/comic1b.jpg""> <img src=""http://i47.photobucket.com/albums/f172/menbuytampons/comic1/comic1c.jpg""></center>
</lj-cut>
<i>blanks available upon request.</i> no hotlinking, please. 
first commenter gets pelted with a shower of skittles! oh, and a spot on the good list! hooray for the comic! &hearts;

sincerely, 
me"
"eventtime","2006-01-14 02:40:00"
"current_moodid","108"
"url","http://men-buy-tampons.livejournal.com/2149.html"
"userid","9898"
"itemid","7"
"event","hello to everyone, 
this would be the introduction to our comic-ized characters:
<lj-cut text=""meet the cast, if you DARE."">
<center><img src=""http://i47.photobucket.com/albums/f172/menbuytampons/comic0/comic0a.jpg""> <img src=""http://i47.photobucket.com/albums/f172/menbuytampons/comic0/comic0b.jpg""> <img src=""http://i47.photobucket.com/albums/f172/menbuytampons/comic0/comic0c.jpg""></center>
</lj-cut>
<i>blanks are available upon request.</i>  please don't hotlink, it makes me sad. 
the first commenter becomes forever emblazoned on my good list..."
"eventtime","2006-01-14 02:32:00"
"current_moodid","90"
"url","http://men-buy-tampons.livejournal.com/1806.html"
"userid","9898"
"itemid","6"
"event","this is the <b>good</b> list, where all the people that I think are cool go to be memorialized with skittles. people can get onto my good list by giving me good ideas and being generally awesome. 

<lj user=""the_ugly_nymph"">, 'cause she's my girlfriend and I like her a lot. 
<lj user=""xashweex""> , 'cause she's really nice, even though she's never seen the show. we'll change that.
<lj user=""silvercaladan"">, 'cause on the fifteenth of january, she said, ""your coloring skills are beyond measure, and your mastery of the technique amazing. you cannot give up pleasing your masses simply because it takes so long! we demand your creative juices!"" HOORAY!"
"eventtime","2006-01-14 01:36:00"
"current_moodid","15"
"url","http://men-buy-tampons.livejournal.com/1760.html"
"userid","9898"
"itemid","5"
"event","this is the <b>bad</b> list, and people do not want to be on it.

(so far, no entries, hooray!)"
"eventtime","2006-01-14 01:34:00"
"current_moodid","37"
"url","http://men-buy-tampons.livejournal.com/1418.html"
"userid","9898"
"itemid","4"
