"names","values"
"itemid","294"
"event","so. day one of semester 2. well, technically, it's semester 8. yikes!


here's what it looks like:

[1] psychology -- decker
               [2] nutrition/foods 1 -- shane
[3] assistantship -- strebig
               [4] adv. photo -- hopper
[5] adv. ceramics -- husar
               [6] etymology -- fettig
[7] band -- barber


w00t.


anyway, all the bussle of the halls...people exchanging schedules, talking about teachers...there's just a buzz swimming through the school.

let's see. what can i say so far?

well, the Circus Midget is in my psych class...mr. decker seems cool, and i'm actually not that off-set by the news of an 8-10 page term paper. it's going to be about my life, and all the things that have happened that make me who i am now. guarenteed to only GET into the hands of anyone to be read that I don't PLACE IT IN. not even decker's wife gets to read them. so i can just....let it flow, and feel alright.  he says he had to put a cap on it, limiting it to 15 pages....because someone once turned in a 72 page paper. and others used to turn in 20-30 pagers, soooo i can understand him not wanting to make that kind of commitment. YIKES.

Foods. yikes. i've got to hand it to you Kelly, you really had me hooked on the idea. you said, yeah, it's not a blow-off, but it's not hard. and you get to make stuff and eat it.  THAT MAY BE TRUE.  <font size= 6>BUT</font> you failed to mention that it was a FRESHMAN/SOPHOMORE class.   10 freshman. 3 sophomores. 1 senior.       sweetness.

i'll have to get back to you kids about the rest of my classes, but i'm not worried about this assistantship, being that i've had...5? semesters of this already??? dunno, something like that. anyway. photo should be alright, too. i made sure my notebook was NOT black, so my band locker, car, and house will have NO EXCUSE to consume it and make it disappear off the face of the planet.

ceramics, i've done before.

etymology. must make this priority. it HAS to be a good grade. and i've heard its relatively simple. *raises glass* here's for hoping.


<i>love to all, my heart to one.</i>"
"eventtime","2005-01-25 09:44:00"
"current_moodid","69"
"url","http://midnighthunder.livejournal.com/75503.html"
"userid","9996"
"itemid","293"
"event","*deep breath*




here i go."
"eventtime","2005-01-18 09:53:00"
"current_moodid","70"
"url","http://midnighthunder.livejournal.com/75078.html"
"userid","9996"
"itemid","292"
"event","<font size=6><b><marquee>WHO LIKES COOKIES????</marquee></b></font>


guess who's the resident girl scout?



that's right.
yours truely.



so hit me up a day before you want them so i can solicit things from my Rodeo in the HHS parking lot.

unless, of course you're not a student. in which case, you need to start bugging me via cell and arranging pick-up and/or drop off times and places.

i think they're $3.50/ box this year....


yeah. price rose last year. suckysucky.


but let me know, Thanks."
"eventtime","2005-01-12 18:34:00"
"current_moodid","103"
"url","http://midnighthunder.livejournal.com/74874.html"
"userid","9996"
"itemid","291"
"event","so i've had two days off school. great.

and i've been yelled at by more people than you'd imagine, for some of the stupidest reasons i can think of.


sweet.



so many times i've wanted to tell one person or another to jump up a rope....

so many people that just make me feel like i'd be doing them a favor by not existing.

so people i wonder if i even exist to in the first place.


throw on top of it all facing potential suspension at work for something i can't help, along with extensive and continual failure to find a new job.


i can't remember the last time i updated, and so much for a decent resuming entry.

so it goes."
"eventtime","2005-01-06 20:26:00"
"url","http://midnighthunder.livejournal.com/74619.html"
"userid","9996"
"itemid","289"
"event","<div align=center><form name=""quizform"" target=""_new"" action=""http://www.kwiz.biz/showquiz.php?quizid=17807"" method=""post"">
<table border=1 bordercolor=#000000 bgcolor=""#90BED5"" cellspacing=0 cellpadding=2>
<tr><td colspan=2 align=center bgcolor='083360'><a href='http://www.kwiz.biz/showquiz.php?quizid=17807' target='_new' style='text-decoration: none;'><font style='color : #ffffff; font-family : Arial, Helvetica, sans-serif;' color= '#ffffff'><b>What The Hell Happened Last Night?</b></a></font></td></tr>
<tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'>LJ Username  </td><td bgcolor='#D8F3F3'><input type='text' name='in0' size='32' maxlength='64' value='midnighthunder'></td></tr><tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'>What did you drink? </td><td bgcolor='#D8F3F3'><input type='text' name='in1' size='32' maxlength='64' value='Schmirnoff Twisted'></td></tr><tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>You wake up in the morning next to:</b> </td><td bgcolor='#D8F3F3'><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>1of_a_kind_vtec</b></font></td></tr><tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>...who is wearing:</b> </td><td bgcolor='#D8F3F3'><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>an air stewardess uniform</b></font></td></tr><tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>...and rolls over to you to say:</b> </td><td bgcolor='#D8F3F3'><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>Are you putting the kettle on?</b></font></td></tr><tr><td><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>...and then:</b> </td><td bgcolor='#D8F3F3'><font style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><b>hugs you for ever and ever until you die</b></font></td></tr><tr><td colspan=2 align=center bgcolor=#083360><input type=""submit"" name=""submit"" value=""Try Your Answers!""></td></tr>
<tr><td colspan=2 align=center><font size=-1 style='color : #000000; font-family : Arial, Helvetica, sans-serif;'><B>This <A href=""http://www.kwiz.biz/"" style='color : #000000;'><font style='color : #000000;' color=black>quiz</font></a> by <a href='http://www.kwiz.biz/userprofile.php?userid=21616'><font style='color : #000000;' color='#000000'>joneccleston</font></a> - Taken 142238 Times.<img src=""http://images.kwiz.biz/kwizcount.gif"" width=""1"" height=""1"" border=0>
</font></a></b></font></td></tr></table><font style='font-family : Arial, Helvetica, sans-serif; font-size: 9pt;'>New - <A href='http://www.datingtips.ws/' style='text-decoration: none;'>Help with love and dating!<a/></font></div>
</form>"
"eventtime","2004-12-21 16:45:00"
"current_moodid","44"
"url","http://midnighthunder.livejournal.com/74187.html"
"userid","9996"
"itemid","288"
