"names","values"
"itemid","40"
"event","<font color=""#3399ff"">do you have any clue what it is like to be so afraid to feel?&nbsp; to be so afraid to show emotions or open yourself up for someone.&nbsp; its like you are putting your life in their hands.&nbsp; im just terrified of being hurt again.&nbsp; im so afraid to feel what is in my heart and to acknowledge it.&nbsp; im so in it deep its sick.&nbsp; if you put all the other guys together they wouldnt add up to what i feel now.... not even what i thought i felt for roger.&nbsp; Im so afraid of losing him.&nbsp; im all across the board and it sucks that im thinking in the way that im going to lose him and that i have to enjoy everything while it lasts.&nbsp; ugh.&nbsp; if there were just a way to know.&nbsp; and i want to tell him, ""if you know you are going to hurt me or break my heart tell me to hit the road now because i dont think i could handle that again.""&nbsp; and you know how they say you know then the person is THE ONE.&nbsp; well i know it and it hurts.&nbsp; the first person that comes along and we were friends first and he respects me and has never given me a reason to doubt him... i would drop everything for him... and 5 years down the road and we arent together but he comes to me and says he wants me i would drop it all and run back to him, i could care less if he were a bum and i were a lawyer or whateve3r the case may be.&nbsp; love has no barriers.&nbsp; i dont know what to listen to anymore.&nbsp; my hormones are killing me.&nbsp;&nbsp;he doesnt know what i would do just to hold him.. i hate that i dont get to see him everyday.&nbsp; but when it comes down to it i know that i am the one sleeping so close to him on the weekends that i can feel his heat and all i have to do is roll over to see his face or catch him looking at me.&nbsp; it could be 95 degrees outside and just one look at him and i can get the chills.&nbsp; my feelings are so deep.&nbsp; i honestly think that we were meant to be i just wish i could be normal and have patience to wait it all out.&nbsp; or that things would go a little faster.&nbsp; i mean i dont think things can go faster than they did but thats a whole different story.&nbsp; and if he doesnt think we are going to be together then he shouldnt tell me that little things like getting the mail spark thoughts of what it would be like to be married to me or that he sat with my mom and thought wow one day that is going to be his mother in law.&nbsp; the horrible part is that i know i am one jealous possessive vengefull bitch.&nbsp; girls past present and future beware.&nbsp; god please grant me the serenity and patience do deal with this because i think my head and heart are going to simultaniously combust just thinking about it.&nbsp; he is so different than what i am used to.&nbsp; HES ITALIAN number 1 lol.&nbsp; and no he isnt a tan blue eyed colombian with big lips. wow that is sooo over.&nbsp; i mean it sickens me that i couldnt even imagine myself with anyone else i dont even look.&nbsp; all i can hope for is a happy future for him.&nbsp; oh shit im going to cry so i better stop no0w.<br /><br /></font><font color=""#cc99ff"">i love you</font>"
"eventtime","2006-11-14 01:38:00"
"current_moodid","6"
"url","http://mio-cuore.livejournal.com/10476.html"
"userid","10090"
"itemid","38"
"event","Ok so its Sunday.... I was supposed to get my period YESTERDAY! and i havent gotten it yet, = THIS SUCKS!&nbsp; SO yeah anyways lol... GUIDANCE WOULD BE NICE LOL!"
"eventtime","2006-10-15 16:58:00"
"current_moodid","114"
"url","http://mio-cuore.livejournal.com/9855.html"
"userid","10090"
"itemid","37"
