"names","values"
"itemid","108"
"event","GRAB THAT LIGHTER, LIGHT THAT DUTCH.  U R ALWAYS<br>PREPARED TO SMOKE. U DON'T NEED ANYBODY TO GET<br>RIGHT, ACTUALLY YOU'D PREFER IT THAT WAY.
<br><br><a href=""http://quizilla.com/users/naughtydee/quizzes/HOW%20BIG%20OF%20A%20POTHEAD%20R%20U%3F/"">HOW BIG OF A POTHEAD R U?</a><BR> <font size=""-2"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>"
"eventtime","2005-11-24 16:12:00"
"url","http://mirasoot.livejournal.com/27764.html"
"userid","10101"
"itemid","107"
"event","Well, Katie and I broke up about a 1 month 10 days ago.  I am still very hurt, but I hurt becuase I know I hurt Katie.  I still chat with her sometimes about life, and we had to communicate for her to move out of the apartment.  I am glad that we can still chat...and not fight.  I would love to meet her again in my lifetime, hopefull sooner then later.  I know I did ALOT wrong, and I didnt do ALOT right, but I will fight till my death to treat her like the princess she is.  I miss everything about her...I only wish she knew it."
"eventtime","2005-11-24 16:09:00"
"current_moodid","92"
"url","http://mirasoot.livejournal.com/27486.html"
"userid","10101"
"itemid","106"
"event","So as usualy my mother has to ruin everything.  I was so excited to have an adult Thanksgiving, meaning, I was behaving, as well as my mother.  Things started out just fine until she did her usual I have to make everyone as unhappy as I am rutine.  I brought the wrong AV cable, so my mom cannot hook up her TV right, big fucking deal, she has to go one more day without TV.  But nooo....she has to make a big fucking deal out of it.  She started saying how she has no handy man around to do her things, and I was like ***roll my eyes*** (she just got divorced)  now she is going to play that card!!! So I went out of my way and went to Walgreens and some other stores, none of which were open or had the proper cord.  I come back to her condo eithout the cord, and all hell breaks loose.  She bitches about how nothing can get accomplished if she counts on me, and all that jazz.  I said ""I dont have to be treated like this, I am leaving"" and my grandparents were so upset because I was leaving, but I am sorry I dont have to be disrespected on a day I am supposed to enjoy.  So my mom tried to keep me there by saying dont leave, but I was going to leave no matter what. I walked to the elevator, and my grandmother begged me to stay, but I said I am sorry, I must leave, I will visit soon, and I left.  My heart was so sore from arguing with my mother, I just wanted a fun Thanksgiving minus the drama.  I guess I cannot escape the DRAMATIC life of my mother.  Oh to make things worse, my sister was going to be a bit late to my moms house, so I left before she even got there, and now my sister as mad at me for my mothers enragement.  Please, is TV important enough to destroy a family?  The love for my mother only hangs on by a thread, it is wearing very thin.

***walks away still teary eyed***"
"eventtime","2005-11-24 15:53:00"
"current_moodid","24"
"url","http://mirasoot.livejournal.com/27346.html"
"userid","10101"
"itemid","105"
