"names","values"
"itemid","47"
"event","lets start with the date...its september 11th...well it was four minutes ago...everything i have seen on the television has had something to do with the day...which is good to have a day rememberance for what happened. and its even okay to have commercials, shows and movies about it, but what my problem is with the commercials and what not, is that they are all about patriotism and how everyone was all about america when this happened.

i can honestly say that i do appreciate this country for what i have and the opportunities it presents me, but i can also honestly say that i am not patriotic...pretty much at all. i find it hard to be patriotic and feel a part of something that is so messed up. this country is the butt of all jokes politically. it is embarrasing to be run by a group of people that have done nothing good for us...at all. not just that though...people are murdered every single day, people are robbed constantly, there is an everlasting flow of corruption in todays world, and in the places that we as young people are supposed to grow up and manage. i dont want to be a part of that...its the problem.

so when i think of patriotism, i think of a sports team. maybe because i was watching a 9-11 football sandwich commercial and i remembered what it feels like to be part of a close team and feel unified with them when you are on the field defending your school or playing for your pride. its definitely a great feeling, but a sports team is only minor scale. 

when 9-11 happened 5 years ago, how unified did you feel? were you feeling extremely patriotic? how patriotic are you now, how about before? this country needs to open their eyes that if we want to succeed as a human race, there can't be 1 out of who knows how many of us, trying to get ahead by somehow harming others. theres always a more greedy person, or one that just gets a kick out of killing...theres endless types now...some of the shit people come up with is just fucked up. unfathomable to most people...yet isn't that what brought on this patriotism? an unfathomable act that actually happened. it kicked everyone of us in the face and we got up and said Hooray America...well i say hooray me, and hooray you, and hooray the people i dont know. hooray for all of us that know what life is about and know that the only way this country and this world will ever change, is if we realize that peace lies within our own self exploration."
"eventtime","2006-09-12 00:04:00"
"url","http://n1pntguard.livejournal.com/12226.html"
"userid","10711"
"itemid","46"
"event","H.
Heart.
Start.
We knew what you meant, 
as the clouds passed the time that we spent
opening the blinds while we put together our minds
to find what it is that we will call our business
when our feet hit the ground and no one else is around 
to make a decision or two for you anymore
in this world that they say is real
but whats the big deal i say.
Everyday is a day i will call today
and as long as there is that 
i will tip my hat to the view in this place
separated from the rat race thats so rehearsed from pace to pace
to live the way i want because i can
and thats my plan for now until i figure out how
i will survive and stay alive in this life
and sustain my being while seeing what is before us
unexplicable, unequivocal beauty and wonder over and under
the land, sand, and water that makes up most of this host
planet with a moon that lights up the night for us to sit
and stare at its glare down here 
where we sat to start these thoughts 
H.
Heart.
Stop."
"eventtime","2006-09-05 00:50:00"
"url","http://n1pntguard.livejournal.com/11838.html"
"userid","10711"
"itemid","45"
