"names","values"
"itemid","9"
"event","woot!
just finished my last exam!!!! 
im so glad lol. well ive still got art but thats not a real exam =]] im just so relieved ^_^
whatching tims burtons the corpse bride
i love this film =]
so yes i think i might go to bed after this cos i didnt get back till ten from lord of the flies. the performance went so well though =] alex's death as simon was so realistic =]] lots of pools of blood xD
cant wait till tonight =] tho its the last performance and im kinda sad its gonna be over =[ its a shame cos ive made loads of new mates there
hmm oh well.. it was fun whilst it lasted
meh im gonna sleep now til 4
nite lol
xxxx"
"eventtime","2007-01-23 10:50:00"
"current_moodid","31"
"url","http://ness-harrison.livejournal.com/2444.html"
"userid","10880"
"itemid","8"
"event","what a fun place to go on a thursday afternoon with no exams.... squire... yes thats the gardening shop...

before any of you get any strange ideas i do actualy have a good reason for going there at 12:30 in the day. the performance of Lord of the flies is on monday and me and jaeg need to buy these screen things for the set.....

so yes im home now.. and then im going back to skl to meet up with jaeg then going to squires...

only one problem with that... how the hell are we gonna carry 6 foot screens on the bus!!
xxxx"
"eventtime","2007-01-18 11:10:00"
"current_moodid","6"
"url","http://ness-harrison.livejournal.com/2229.html"
"userid","10880"
"itemid","7"
"event","b25seSBvbmUgZXhhbSB0b21vcnJvdyA9XV0gYW5kIGl0cyBvbmx5IGFuIGhvdXIgbG9uZyBiaW8gcGFwZXIgPV1dDQp0aGVuIGkgY2FuIGNvbWUgaG9tZSBhbmQgcHJldGVuZCB0byByZXZpc2Ugd2hpbHN0IGRyYXdpbmcgb3IgdHJ5aW5nIHRvIHdyaXRlIGEgbmV3IGZhbmZpYyA9XV0NCg0Kd2lsbCBwcm9iYWx5IGxvb2sgYXQgYSBiaXQgb2YgbGF0aW4uLi4gc2VlaW5nIGFzIGkgZG9udCBrbm93IGEgd29yZCBvZiBwbGlueSBvciBzYWxsdXN0IG9yIHdoYXRldmVyIHRoYXQgZ3V5cyBuYW1lIGlzIMKsX8KsDQoqc2lnaCoNCndlbGwgcHJvYmFsbHkgZ29ubmEgZ28gdG8gYmVkIHNvb24uLi4gdW5sZXNzIGkgd2FudCB0byBmYWxsIGFzbGVlcCBpbiBteSBleGFtIHhEDQoNCnh4eHh4"
"eventtime","2007-01-17 22:27:00"
"current_moodid","31"
"url","http://ness-harrison.livejournal.com/1869.html"
"userid","10880"
"itemid","6"
