"names","values"
"itemid","115"
"event","i have a new livejournal : <lj user=""_makebelieve89"" />&nbsp; add me and i'll add you back.. um yeah it will definitely be friends only!"
"eventtime","2004-10-21 22:23:00"
"current_moodid","84"
"url","http://newyorkafolife8.livejournal.com/29645.html"
"userid","10925"
"itemid","114"
"event","DAMN! homecoming was fucking awesome! it was un-fucking-describable.. i danced way too much, way more than i've ever danced in my life oi! well.. anyway i'm at morg's house now she slept at my house last night  we went to homecoming with a limo which was sweeeet i loved everyone that was in the limo. and renee and i were all over TJ like woah! i hate how someone was trying to dance like i was so i just kept cutting her off and danced way better! ahah i can't wait til' my partay! that's going to be crazay!! well i'm going to go friday was just a perfect night i can't explain i guess if you were with me you would know 

oh yeah 4 1/2 til' month i can get my license and a car.. tee hee much love everyone good luck with everything you want to accomplish :)"
"eventtime","2004-10-16 14:30:00"
"url","http://newyorkafolife8.livejournal.com/29404.html"
"userid","10925"
"itemid","113"
"event","Man! Angii's party was ""bumpin"" sorry, but in the beginning it was eh' then it became aaaaalright!!!! yay-ya it was definitely fun right?? - yes. she got thrown in the pool how many times ahah noice! everyone got lapdances and stuff women kids and men of all ages and sizes tee hee this was better than i expected.. i love it! thanks again angii you better dance at my party or else.. :) i can't wait til' homecoming that's the next best thing oh yeah oh yeah then my P-A-R-T-A-Y! mhhhm that's gunna be slaaamin well gotta go now because i don't feel like writing any more. if you were there tonight you know what happened.. ;) much love everyone."
"eventtime","2004-10-09 23:39:00"
"current_moodid","106"
"url","http://newyorkafolife8.livejournal.com/29103.html"
"userid","10925"
"itemid","111"
"event","<P><FONT color=#009900 size=7>I WISH I HAD SOMEONE TO <U>REALLY</U> TALK TO.. <FONT size=1>oh man, what do i do? what do i do?</FONT></FONT></P>"
"eventtime","2004-10-07 21:59:00"
"current_moodid","129"
"url","http://newyorkafolife8.livejournal.com/28517.html"
"userid","10925"
"itemid","110"
"event","um, lately i've been busy. this saturday is friggin crazy. sheeeeesh! um, i need to wake up early to go to Alli's house for a world history project and that's from around 9/10-??. then my mom is going to the place where i'm having my sweet 16-kind of like just to set up some stuff, like the food about how many people. i think i'm aloud to have 60 PERFECT! then i need to go to morgan's house because i want to do it on Powerpoint and she has it and from there... ANGII's partay! wahoo. so yeah definitely a busy saturday then sunday needs to be any extra homework and laundry. oh yeah my mom got promoted from being a bank teller to a loan officer. double the money man! she even offered to pay me for doing laundry, but as sincere as i am i didn't accept. i thought it was wrong. but yeah i'm happy i'm taking lessons this saturday at least i wanted to possibly saturday. and now with homecoming coming up i need to get my eyebrows done and a pedicure.. aah that'll feel good. i need one. i've been a little stressed lately. um, every wednesday so far i have and will be going to my friends youth group it's really very fun and i see my fwends there so that's cool. we sing and praise the lord! yay-ya well.. i'm getting ready for bed. talk to you lata"
"eventtime","2004-10-06 22:08:00"
"current_moodid","64"
"url","http://newyorkafolife8.livejournal.com/28309.html"
"userid","10925"
"itemid","109"
"event","walking home today was fun with John and joanna i kind of lost morgan and jason but whatever they have each other. what is meant to be will be that's all i have to say. wow! tonight was really fun i wasn't planning on going hence i didn't know about it but i'm glad i did. i went to my friend, Kianni, youth group meeting. we sang and talked about the Lord and got cool black bands - which i'll wear tomorrow - and semi-celebrated Ashley's birthday. (I know her) we had cake and pretzels and drank soda yum yum yummy in the secluded room it was just us girls and we talked about our problems i love doing that it makes me feel really gooood ;) well next week Kianni and i will be attending Rissals meeting. she better introduce us to everyone (including that hott guy!) lol morgan .. i actually saw you today how exciting mhhhm it didn't even feel like a wednesday today definitely like the weekend or something - at least to me. some people i saw tonight were people such as mauricio and girardo and gustavo and ashley. cool cool 

to switch the topic i can't wait til' this weekend. friday i'm going out with renee i'm happy we're making TIME for eachother definitely definitely and then saturday morning i'm wanting to go dress shopping for homecoming and wanting for morgan to come - if she has time - but i'm glad her and jay are together JAY: the way you talk about her is just unexplainable sweeeet look:

Me: mmkay. how are you?
Jay: IM WONDERFUL

um well i guess that's all for today. it started off really very bad but then i saw reeeneee and it got soo much better. that was the third time i've seen her this year. and kathyrn to i miss her we see each other only twice a day that's not a lot to converse about certain things but whatever at least i have both lunches with her... I'M OUT!"
"eventtime","2004-09-29 21:08:00"
"current_moodid","4"
"url","http://newyorkafolife8.livejournal.com/27937.html"
"userid","10925"
"itemid","108"
"event","i'll like to start off by saying, i pray that my teachers' wife gets concieved > they have tried so hard and i believe he deserves it. pray with me if you'd like.

well, anyway everyday i try to go walking. not just for the excercise, but because i get to talk to someone about my problem. hopefully she won't tell anyone.. but it's cool. we walk and sweat a little bit, but before we know it we're home. thanks rissal i appreciate it. since i'm off work til' next thursday, maybe we can try to go everday but wednesday.. mmkay?!!?

Mowgan > i have a note for you, but since you leave me afterschool so early, i don't get to see you. i believe you told me you also had one for me.. can't wait! heh um love you 

well.. when something cool/interesting happens i'll let you know. oh yeah i'm getting another job so i'm going to have two jobs. buh bye ya guys"
"eventtime","2004-09-28 21:23:00"
"url","http://newyorkafolife8.livejournal.com/27887.html"
"userid","10925"
"itemid","107"
"event","<P><FONT size=7><FONT color=#3366ff>H</FONT><FONT color=#ffcccc>A</FONT><FONT color=#ff0000>P</FONT><FONT color=#ffff00>P</FONT><FONT color=#009900>Y</FONT> <FONT color=#33ff33>B</FONT><FONT color=#6633ff>I</FONT><FONT color=#33ffff>R</FONT><FONT color=#cccccc>T</FONT><FONT color=#3366ff>H</FONT><FONT color=#ffcccc>D</FONT><FONT color=#ff0000>A</FONT><FONT color=#ffff00>Y</FONT> <FONT color=#009900>T</FONT><FONT color=#33ff33>O</FONT>&nbsp;<FONT color=#6600cc>G</FONT><FONT color=#33ffff>U</FONT><FONT color=#cccccc>C</FONT><FONT color=#3333ff>C</FONT><FONT color=#ffcccc>I</FONT><FONT color=#ff0000>.</FONT> </FONT><FONT size=1>(MY DOG) </FONT></P>
<P>&nbsp;</P>
<P><FONT size=7><FONT color=#ff0000>H</FONT><FONT color=#ffff00>E</FONT> <FONT color=#006600>I</FONT><FONT color=#33ff33>S</FONT> <FONT color=#6600cc>N</FONT><FONT color=#33ffff>O</FONT><FONT color=#cccccc>W</FONT> <FONT color=#3366ff>3</FONT> <FONT color=#ffcccc>Y</FONT><FONT color=#ff0000>E</FONT><FONT color=#ffff00>A</FONT><FONT color=#009900>R</FONT><FONT color=#33ff33>S</FONT> <FONT color=#6600cc>O</FONT><FONT color=#33ffff>L</FONT><FONT color=#cccccc>D</FONT><FONT color=#3366ff>!</FONT> </FONT></P>
<P><FONT size=7></FONT>&nbsp;</P>
<P><FONT size=1>Plus, my mom is bitching at me for my sweet 16. For three months i've been saying a specific date.. three months later (now) that date isn't available. not my fault. at work buh bye : /</FONT></P>"
"eventtime","2004-09-23 16:46:00"
"current_moodid","110"
"url","http://newyorkafolife8.livejournal.com/27499.html"
"userid","10925"
"itemid","106"
"event","<P>I <FONT size=7>&lt;3</FONT> MOOGIE!</P>
<P>&nbsp;</P>
<P>&nbsp;</P>
<P>&nbsp;</P>
<P>I <FONT size=7>&lt;3</FONT> MOOGIE!</P>
<P>&nbsp;</P>
<P>&nbsp;</P>
<P>&nbsp;</P>
<P>I <FONT size=7>&lt;3</FONT> MOOGIE!</P>"
"eventtime","2004-09-19 01:15:00"
"current_moodid","44"
"url","http://newyorkafolife8.livejournal.com/27284.html"
"userid","10925"
"itemid","104"
"event","tonight was the shit... if you were there and you agreed tonight was fcuking awesome! - let me know! i went to pompano indoor again and it was amazing nine month anniversary sang my song woah! that's a little nuts! my song is: devil in jersey city by coheed and cambria. boy when i heard them as morg was standing next to me i was fcuk yeah that's my song REPRESENT! i saw Matt (nick) and everybody i guess i didn't mind seeing. i saw angii for the first time since the last day of school last year. fcuking nuts ok.. because i didn't know she was going to be there. and i also didn't know that michael hernandez was going to be there. ::HIGH FIVE:: tonight was a little stinky on the way home i hope you guys take shower 3 times a day tomorrow. and morg don't forget about sneakers air freshner hehe morgan is my GREAT! i love you soo much i read things sometimes to tell friends that you love that before it's too late. so i fcuking love you morgan and i hope i never lose you. and that goes to all my closest friends. 

ELBOW!! (joke if you know it HOLLA) 

well.. i'm going to go ""it's late i'm faultering. """
"eventtime","2004-09-19 00:44:00"
"current_moodid","15"
"url","http://newyorkafolife8.livejournal.com/26705.html"
"userid","10925"
"itemid","103"
"event","tonight was fcuking awesome! me and gang went to Don Carters. we got there and were waiting for some people to show up and they eventually did :) from what felt like forever! after like an hour being there we started playing and time after time i got betta and betta. so then i won! um mason won the first game because he just did then i kicked it off the next game. every time i bowled i ended up with a pink pin (if you leave that one standing alone you've earned a free game) so i ended up getting a free game but i'm saving the card til' next friday. i've been there four fridays in a row! that' nuTs! that was my night. tomorrow i have a little party to go to from 3.30 - 5.30 at Don Carters again.. woah! then PIS with Morgan. yay-ya. i must go now i just thought i'd tell you me evening. it was awesome! some guys were madd drunk and some were just HOTT! and of course i talked to them. i'm sure mason liked it that i was dancing all over him .. ooh good times good times 
talk to you in a few"
"eventtime","2004-09-17 23:49:00"
"current_moodid","14"
"url","http://newyorkafolife8.livejournal.com/26384.html"
"userid","10925"
"itemid","102"
"event","<img src=""http://images.quizilla.com/M/Medox/1040032084_CWINDOWSDesktopbetty.gif"" border=""0"" alt=""You're Betty Boop!""><br>Bettie Boop
<br><br><a href=""http://quizilla.com/users/Medox/quizzes/Who%20's%20Your%20Inner%20Sexy%20Cartoon%20Chick%20%3F/""> <font size=""-1"">Who 's Your Inner Sexy Cartoon Chick ?</font></a><BR> <font size=""-3"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>
  


*STOLE THIS FROM ASH* I HAVE BETTY BOOP SLIPPERS*FUNNY!"
"eventtime","2004-09-16 22:02:00"
"current_moodid","126"
"url","http://newyorkafolife8.livejournal.com/26120.html"
"userid","10925"
"itemid","100"
