"names","values"
"itemid","26"
"event","and I don't mean blue as in upset but instead blue as in mood ring blue as in 'normal' so to say.  My mood ring should know me better than that after one full day of interacting with my body.  Well, I'm not in the mood to write after all. hmmm...interesting

Guess I'll go ahead and start planning my card out...victory is mine!"
"eventtime","2005-10-28 01:31:00"
"current_moodid","31"
"url","http://nofood4u.livejournal.com/6688.html"
"userid","11091"
"itemid","25"
"event","and now I'm on campus again.  Had Dr. Rhodebeck's class today and did some group work after class.  I really should attend that class every day from now on.  It's getting quite interesting.  Had a good weekend.  Thursday, I went out with Thomas and Jessie to The Pub on fourth street.  Jessie really liked Thomas and said he reminded her of JW.  Thomas is similar to him in many ways but not in others, but I can see where she gets that.  We left there and went to Howl at the Moon where I proceeded to get wasted.  Apparently, with my current medication, I can't handle alcohol so easily.  In fact, I didn't really have all that much to drink and somehow ended up puking anyway.  I remember Thomas kept leaving me to go hang out with Kirby and apparently I text messaged Thomas alot because I was feeling lonely without him.  I remember requesting songs and they kept playing replacement songs because they didn't know mine, which pissd me off.  I guess that's when I started cursing at the piano players and embarrassed myself and my friends around me.  Oh well, it was fun to me.  Then, out of nowhere, Brad comes up and I give him a hug like I haven't seen him in years even though I had just hung out with him that week.  He was with Erin, Greg's ex fiance, who has an interest in Brad.  I'm not so sure that she really likes the idea of dating Brad for the right reasons, but I'll let him figure that out.  It's wierd how he feels he can tell me how they had sex but he doesn't want to hear that I even have a boyfriend.  He quickly changes the subject when Patrick's name comes up.  

So, Thomas and I left Jessie and Ricky, which I CANNOT believe she is dating him again.  Ricky is friends with Roger, who quit calling me after my whole birthday incident.  So, I guess since she's desparate now, she needs him around again.  Either way, it's her life and I won't judge her.  So, now that I have a better recollection of what really happened, I am not so sure I like what I did.  I made an attempt to kiss Thomas a few times at Saddle Ridge that night.  That's not good because I think at the time it felt right but I was also drunk.  I know that I'm crazy about Patrick but I guess I slipped that night.  Now, I feel like I put Thomas in this whole funk again.  The sweet thing is that Thomas really took care of me that night.  He drove me home with my head on his sholder, he helped me throw up in some bank's parking lot, he didn't try to take advantage of me, he even protected me from my potential actions by taking me to Jen's as opposed to taking me to his place.  For that, I should probably be taking him out as opposed to him taking me out.  

So, the next day, I drag myself into work after having gotten two and a half hours of sleep.  I was sick at work all day, and then I went to play disc golf with Jen and JW and I took them out to eat to Rufad's, our favorite place.  Thomas and I went to see Elizabethtown (his first, my second) and he paid even though I tried to beat him to it.  While I do like it when a guy pays for me, he didn't have to do it.  I owed him a movie ticket.  Maybe he'll take me up on it...  Anyway, he got the same stuff I got from the movie, and then a little more than me with our different situations that we're currently in.  I love that movie.  I don't care what the critics say.

Saturday, I woke up with butterflies in my stomach.  I couldn't sleep past 9:30.  Mom, Jordan and I watched tv together and I got ready and packed.  I left Louisville about 3 and didn't make it to Indy until 6 or so.  I was so annoyed.  I was in a damn traffic jam around Seymor for over an hour.  It was awful waiting that long.  Then Patrick called me about 5 (our time) and said he was thirty minutes from his apartment and I explained that I was still in traffic.  I was supposed to go to Brown County that day with my family, but everyone cancelled at the last minute.  So now, we're all going to go either Nov. 5 or 12.  That gives me a reason to come and see him anyway, but it won't be for another two weeks, once again.  :(  

So, as soon as I get there we were back to normal.  It's like we left off where we were.  I hold on to that time because it's so precious to me.  To sit there in his lap is what I look forward to.  He just wraps his arms around me that's all I need.  I look forward to those moments.  I like that he can just pick me up and we just start kissing.  I think I like guys his size for that particular reason.  We watched Spanglish, which was okay, and then we were in bed by ten.  We woke up randomly at like five or six in the morning and start talking and other stuff.  I find out that he is a virgin after all, which I freaked out about.  It explains alot.  He's had girlfriends, and I'm not exactly sure what he's done with them but I'm not sure if he's waiting for marriage or what.  I didn't really care to ask.  I'll talk about it with him this week.  So after that we just hung out in his bed for a while and talked.  We got up and got ready and went to breakfast. Then we came back to watch Sin City, which I liked mainly for the cinmetography.  Then, I left.  So, he calls me after I leave and somehow we became boyfriend and girlfriend after that call.  Really funny...  He's just so random.  I'm happy that we figured that out.  He also said he plans on meeting my family soon.  I can't believe this is all falling into place.  I really think he's the one."
"eventtime","2005-10-24 15:20:00"
"current_moodid","86"
"url","http://nofood4u.livejournal.com/6451.html"
"userid","11091"
"itemid","24"
"event","and I'm up early trying to get my day started.  Saw Elizabethtown again last night with Thomie.  As always, we battled to the very end on who would pay.  That craphead never lets me pay.  I hate that.  Thomas liked the movie for the same reason I did.  We both like the whole idea that two people may be completely opposite of each other but yet they somehow fit.  It was very sweet, even after the second viewing, and I can't wait to buy that movie.

Got a lot to do today; tanning bed, shower, purse shopping, and so on. Better get a move on.

***All of my hugs to you Thomie!***"
"eventtime","2005-10-22 11:30:00"
"current_moodid","4"
"url","http://nofood4u.livejournal.com/6224.html"
"userid","11091"
"itemid","23"
"event","I woke up happy today because I realized Saturday is two days away.  Woohoo!  Of course, it will pass by in morph speed or something...which sucks.  But that's life for now.  Anyway, I am sooo excited.  It's like I woke up with a smile on my face this morning.  Life, as I know it, is going good."
"eventtime","2005-10-20 13:34:00"
"current_moodid","66"
"url","http://nofood4u.livejournal.com/6112.html"
"userid","11091"
"itemid","21"
"event","I am in love with the idea of being in love.  I realized that tonight.  I want to be in love so bad I can't stand it.  I loved that movie.  It made me realize that good things can happen to people and love, maybe even true love, does exist.  Why is it that I know what I want and I feel so alone?  After seeing the movie tonight, I just wanted to drive. Straight to a specific destination and never come back. Never.  I'm so taken by that movie right now that I don't know what to do. I want my very own Drew Baylor from the movie. I just keep thinking about how next weekend will be here sooner than I know it.  It just bothers me that I won't see him for a whole 24 hour period.  And then, after that, unless something happens differently, I wont see him for another three weeks after that because of both of our schedules. I just hate uncertainty.  It's still uncertain because of the little time we've had, the fact that we rarely talk because I work a lot and he does too.  But every time we do talk or meet up, it's perfect.  I would rather have that than be with someone who is available all the time but doesn't fit.  That, I am certain of.  I just hate the in between time.  I also decided that I don't care if I'm head over heals about someone.  Risks are something I'm willing to take and if I get hurt, than ultimately, I'll know it wasn't meant to be.  I am confident that while it may hurt if things don't work out, it's always for a reason and that is a comforting thought.  

Either way, here I am, tired again.  I have to be at work at eight.  Guess I'll make it somehow.  In the meantime...I'm going to bed"
"eventtime","2005-10-15 00:53:00"
"url","http://nofood4u.livejournal.com/5506.html"
"userid","11091"
"itemid","20"
