"names","values"
"itemid","108"
"event","Well well well....it seems I've become bored to the point of writing in this thing again.  Lucky you.

So what the fuck has been going on lately?

Hmmm

Still single...but thats a given.  Im still all about Joanna, and I pretty much let her know I had a thing for her.  I dont think its going anywhere, but Im not stressing it.  Hopefully I'll be able to see her this weekend.

I feel so horrible for her.  She became pregnant again...and broke up with the father of the baby.  Well...she had a miscarrige (for reasons I'll withhold) and shes pretty torn up about it.  This path month as been hell for her...and I just want to be there for her and help her out with whatever she needs.  Shes just so sweet, and I want her to feel comfortable and try to forget about all this mess...

My friend Mandi in VA also got pregnant around the same time Joanna did.  Her boyfriend is currently in Iraq, but he's excited about it, and when he comes home around May or so....they're getting married.  Im really happy for her...Mandi is fucking awesome.  I'll admit though, I think it all moved WAY too fast for her.  Shes such a party girl, and it all just STOPPED.  Now shes preggos and about to get married.  Fucking crazy.  But I wish her the best.

Im currently attending college prep courses...mainly to get the fuck away from my company for awhile.  I cant stand being around these fucks.  And these courses have made me realize how bad my ADD really is, and if I wanted to do college at all, I'd have to get medication for it.  I mean...its fucking BAD.  I cant pay attention for shit.  And my mom tried to tell me I didnt have it..pshh...


5 more months until this is all done for.  Im so excited.  I still dont know if Im going to Cali in April for training or not...we have an assload of new guys, so I dont know if they'll have enough flight space.  But they want all us senior guys to train them up...so we might have to go.  I've taught them a few classes on this and that....hopefully they've learned a little bit from me.  They're gonna need it, because Iraq is no fucking joke.

Im gonna end this now, because I cant think of anything else to say.  Im sure I'll think of something later.

Au revior."
"eventtime","2006-02-16 20:09:00"
"url","http://nostalgia-kills.livejournal.com/27888.html"
"userid","11128"
"itemid","107"
"event","My words wont stop once this ink runs out...
lacerating my tongue screaming I love you a thousand times only to fall on deafened ears.  
This one-sided romance plays over and over again in my head.  
You're too beautiful to comprehend.  
I'd take away those scars if you gave me the chance."
"eventtime","2006-01-13 12:05:00"
"url","http://nostalgia-kills.livejournal.com/27585.html"
"userid","11128"
"itemid","106"
"event","I forgot to mention....I went to the Burning Season show 2 nights ago here in NC.  A few other bands played that were pretty good...cept the first band..they blew ass.

I met some of the members of If Hope Dies at the Subway right across the street.  It was pretty nuts, cuz I was just listening to them earlier that day at the gym.  Craziness.

I brand a friend of mine in my platoon that really doesnt even listen to that music.  A bunch of people were in the pit doing their ""2 step"" hardcore breakdown-style dancing or whatever you want to call it...and my friend ""didnt like one of the guys"", so he was gonna spear him.  I told him if he got jumped for doing that, I wouldnt help him in the fight.  Then he started talking all this shit to me, so I snapped and got in his face and called him out cuz he pissed me off so bad.  Like...right in front of everyone.  The security guard came up and was like ""whoa whoa whoaaaaaa!""  I eventually calmed down, but if he said one more word, I was gonna take him out in the parking lot and beat the shit out of him.

There were barely any people at that show...I guess those bands arent very well known in the Carolinas, because there are too many fucking rednecks and shit here.  But it was still a good time.  AND I FINALLY GOT MY BURNING SEASON CD IVE BEEN LOOKING FOR!  So I was happy.


I got about 4 hours of sleep that night...woke up....did part of a 5 mile ""mud run"" (where you just run through the woods and through puddles of mud and shit), then we had to do ground fighting, and I got slammed pretty hard on my back and now its all fucked up.  It hurts like a fucking bitch.  So yeah...that sucks.


the end."
"eventtime","2006-01-12 18:42:00"
"url","http://nostalgia-kills.livejournal.com/27268.html"
"userid","11128"
"itemid","105"
"event","Hmmm...so whats been going on?

Well, last weekend was fucking AWESOME.  I had a lot of fun.

Friday night I hung out with Joanna and a few of her friends.  We went to some house party in Kensington with a bunch of ghetto white-boys.  When I walked in, I was like ""oh god..."" but they were actually pretty chill, so I still had a good time.  hahaha..I went in the kitchen to get a drink, and some slut was giving this guy head in the corner of the kitchen.  HAHAHA...I was like ""um....""

Joanna didnt feel so well during the end of the night...she was pretty drunk.  I thought she was gonna puke...haha...we actually had to pull over once so she could get some fresh air.  Poor Jojo.

After hanging out with her, Im pretty much all about her again.  I guess when Kristie came along, I saw more of a chance hooking up with her than I did with Joanna.  So I guess Kit just kinda pushed Joanna out of my head I guess.  But to be honest, I when I thought about it, Kristie didnt seem like really great girlfriend material.  I mean, shes hot as fuck, and I had a lot of fun with her, but there was just something that wasnt right.  Oh well, I dont have to worry about it again.  

I really cant stop thinking about Joanna...I can't get her out of my head.  She honestly, has to be one of the greatest women I've ever met in my life.  Her personality tops her looks...and thats really hard because shes absolutely gorgeous.  Shes just so much fun to be around and talk to, and has all these amazing traits, and thinks almost like I do.  I'd almost go as far as saying we're pretty ""compatible"", but Im not gonna let myself think that.  A couple of things that happened Friday night led me to believe she might be somewhat attracted to me....but that could have also been alcohol enduced...hahaha.  Im not gonna go into details because its long and confusing...but just certain events led me to think that, and with good reasoning.

I dont know...shes still seeing this guy...they've been seeing each other for months.....but she doesnt technically count him as a ""boyfriend"" she says.  LoL....I dont know what the hell that means.  But if she was single...man...I'd go for it in a split second.  I mean, if I see any chance whatsoever, Im going for it.  Because shes just too amazing not too.  And Im usually not too ballsy or straight forward with women, cuz Im kind of shy, and I dont know what to say to them.  But her...shes different.  I just feel so comfortable around her...shes pretty much all I could ever ask for in a girl.  And she has kind of a shitty past with her ex's, and I dont see how they could have done the things they did to her.  Shes just too sweet.  



Anyway...moving on...

Saturday night was Jenns Bday party...so I finally got to meet her!  Shes very cool, and she has a lot of cool friends I got to meet.  We had a fucking BLAST....everyone was trashed.  We had like...bed jumping contests....me and this dude would jump off one bed and onto another one, then smack into the closet door...HAHAHAHHAA.....this is after a few rounds of beer pong, mind you.  I think we broke the closet door a little.

It was her friend Beths first time drinking, so she got really wasted, passed out, and puked all over herself.  Me and Shawn wrote allllllll over her face....HAHAHAA...it was glorious.  

Shawn and Jenn were pretty much hooked up that night.  I -knew- Shawn would try to hook up with someone.  Despite how much he talks about ""being faithful to Amanada"" and saying that they're ""just on a break"", I know its all bullshit.  I know they broke up for good, and he's just in denial.  Cuz if he was soooooo in love with her......in love with her enough to go buy her a fucking 1500 engagement ring that he COULDNT EVEN AFFORD.....then he wouldnt be hitting on all these other women.  Whatever, he'll fucking learn someday.  He's just such a bullshit liar, and I cant fucking stand it.  So Im just gonna start calling him out on all his lies till he gets mad about it and/or stops lying so much.  You can see right through him..he's bad at it.

Anyhoo...the next day I woke up on the floor with the stiff neck of DEATH.  Jenns friend Jessica was gonna pour water on me to wake me up...but I heard them talking, and I heard her stop right next to me, so I woke up real fast and grabbed her leg.  hahaha

Before we left...I had this great idea to flip over EVERYTHING in the room.  Pictures, furniture, telephones, alarm clocks...EVERYTHING i could.  It was so fucking funny.  The cleaning ladies were right outside our room when we were gonna leave...so we just booked it to the car and left to Dennys.  Jenn asked me what my sausage patty was....she was like ""it looks like a little burger""...HAHAHAHHA OMFG...SHELTERED!!!!!  

After Dennys...we all went out to see ""Hostel"".  A lot of people told me it sucked...but I thought it was pretty good.  There were some NASTY fucking parts in it..I was like ""holy shit EW!"" 

After the movie, we drove Jenn to go pick up her car.  Apparently while we were driving, the manager of the hotel we stayed at called Jenn flipping out because we ""broke everything.""  We were like ""Its not broke!  Just upside down!  Flip it over!""  The guy kept telling Jenn to come back to Waldorf to talk to him, or else he'd call the cops.  She was like ""I cant come, Im too far.""  So he said he was calling the cops.  She was just like ""fine!""  hahahahhahaa

I dont think anything ever happened with that.  At least I hope not.  Fucking hotel losers.

Anyway...Im going to TN with my friend this weekend.  I've been wanting to visit there for awhile now cuz he kept telling me how fun it was and shit...so I was like ""fuck it, lets go.""  If should be a good time...I dont think he'd let me down.  Plus he has an assload of guns we're gonna go out and shoot and stuff.  Helllllllz yeah!

Alright...this has got to come to a close...Im sick of typing."
"eventtime","2006-01-12 18:10:00"
"url","http://nostalgia-kills.livejournal.com/26919.html"
"userid","11128"
"itemid","104"
"event","Someone buy me the ""Zen of Screaming"" DVD!!!  www.melissacross.com

Shes a vocal instructor for hardcore singers...and seeing as I plan on making a band when I get out, I -really- want that DVD so I can work on my vocals.  Plus it will give me something to do at the barracks....hahaha"
"eventtime","2006-01-05 19:32:00"
"url","http://nostalgia-kills.livejournal.com/26749.html"
"userid","11128"
"itemid","103"
