"names","values"
"itemid","25"
"event","<TABLE BORDER=""0"" BGCOLOR=""#000000"" CELLPADDING=""2"" CELLSPACING=""0"" ALIGN=""CENTER""><TR><TD VALIGN=""CENTER"" ALIGN=""CENTER""><TABLE CELLPADDING=""8"" CELLSPACING=""0"" BGCOLOR=""#CCCCCC"" WIDTH=""300""><TR><TD>
<TABLE BORDER=""0""><TR><TD VALIGN=""CENTER"" ALIGN=""CENTER"" WIDTH=""30""><TABLE BORDER=""0"" BGCOLOR=""#000000"" CELLPADDING=""1"" CELLSPACING=""0""><TR><TD VALIGN=""CENTER"" ALIGN=""CENTER""><TABLE CELLPADDING=""0"" CELLSPACING=""0"" BGCOLOR=""#006633"" WIDTH=""15"" HEIGHT=""15""><TR><TD NOWRAP> </TD></TR></TABLE></TD></TR></TABLE></TD><TD VALIGN=""CENTER"" ALIGN=""CENTER"" WIDTH=""30""><TABLE BORDER=""0"" BGCOLOR=""#000000"" CELLPADDING=""1"" CELLSPACING=""0""><TR><TD VALIGN=""CENTER"" ALIGN=""CENTER""><TABLE CELLPADDING=""0"" CELLSPACING=""0"" BGCOLOR=""#339900"" WIDTH=""15"" HEIGHT=""15""><TR><TD NOWRAP> </TD></TR></TABLE></TD></TR></TABLE></TD><TD VALIGN=""CENTER"" ALIGN=""CENTER"" WIDTH=""30""><TABLE BORDER=""0"" BGCOLOR=""#000000"" CELLPADDING=""1"" CELLSPACING=""0""><TR><TD VALIGN=""CENTER"" ALIGN=""CENTER""><TABLE CELLPADDING=""0"" CELLSPACING=""0"" BGCOLOR=""#66CC33"" WIDTH=""15"" HEIGHT=""15""><TR><TD NOWRAP> </TD></TR></TABLE></TD></TR></TABLE></TD><TD VALIGN=""CENTER"" ALIGN=""CENTER"" WIDTH=""30""><TABLE BORDER=""0"" BGCOLOR=""#000000"" CELLPADDING=""1"" CELLSPACING=""0""><TR><TD VALIGN=""CENTER"" ALIGN=""CENTER""><TABLE CELLPADDING=""0"" CELLSPACING=""0"" BGCOLOR=""#33FF00"" WIDTH=""15"" HEIGHT=""15""><TR><TD NOWRAP> </TD></TR></TABLE></TD></TR></TABLE></TD><TD VALIGN=""CENTER"" ALIGN=""CENTER""><FONT FACE=""arial,helvetica"" SIZE=""4"" COLOR=""#66CC33""><B>Green</B></FONT></TD></TR></TABLE><BR>
<FONT FACE=""arial,helvetica"" SIZE=""2"" COLOR=""#000000"">
You are a very calm and contemplative person. Others are drawn to your peaceful, nurturing nature.
</FONT>
<P>
<CENTER>
<FONT FACE=""verdana,arial,helvetica"" SIZE=""1"">
<A HREF=""http://quizme.stvlive.com/color/quiz.php"" target=""_blank"" style=""text-decoration:none; color:#66CC33;""><B>Find out your color at Quiz Me!</B></A>
</FONT>
</CENTER>
</TD></TR></TABLE></TD></TR></TABLE>

ohh snap, nigga im green"
"eventtime","2005-01-22 21:23:00"
"url","http://notgregbredenko.livejournal.com/6489.html"
"userid","11160"
"itemid","24"
"event","<img src=""http://img.photobucket.com/albums/v226/_allen/hazzard.jpg"" alt="""" align=""bottom"">

dukes of hazzard!!"
"eventtime","2005-01-10 10:33:00"
"url","http://notgregbredenko.livejournal.com/6301.html"
"userid","11160"
"itemid","23"
"event","so first period me,mark and chris had mr truman and we fucked with him all period.i kept trying to hit him with a foam air plane but it kept missing. the i got this huge pinecone and threw it at him as hard as i could when he turned around.but it missed and hit the boardand he turned around and said""who trew dat,all you boys in the back get out!""and mark got in trouble for it.then i went to throw another pinecone and was randomly hit with a fitted!?what the hell? so this black kid from english is going to give me a dollar for it.now i gotta do a dialog for some niggers and a spic and it has to be 2 whole fucking pages long, fuck that!"
"eventtime","2005-01-10 10:25:00"
"current_moodid","99"
"url","http://notgregbredenko.livejournal.com/6112.html"
"userid","11160"
"itemid","22"
"event","PEZPTlQgc2l6ZT03PjxTVFJPTkc+PElNRyBzcmM9Imh0dHA6Ly9pbWcucGhvdG9idWNrZXQuY29tL2FsYnVtcy92MjI0L21hZF9tYWRkeS9zaGlpaWlvdC9tZWRhdmV5LmpwZyI+Jm5ic3A7Kw0KPElNRyBzcmM9Imh0dHA6Ly9pbWcucGhvdG9idWNrZXQuY29tL2FsYnVtcy92MjI0L21hZF9tYWRkeS9zaGlpaWlvdC9zaW5lYWRuaWdnYTEuanBnIj4mbmJzcDsrDQo8SU1HIHNyYz0iaHR0cDovL2ltZy5waG90b2J1Y2tldC5jb20vYWxidW1zL3YyMjQvbWFkX21hZGR5L3NoaWlpaW90L2FsbGVuem1vbmtleTEuanBnIj4mbmJzcDs9DQo8L1NUUk9ORz48Rk9OVCBmYWNlPVN5bWJvbD48Rk9OVCBjb2xvcj0jZmYwMDAwPjxTVFJPTkc+Jm5ic3A7wqkmbmJzcDsgwqkmbmJzcDsgwqkmbmJzcDsgwqkmbmJzcDsgwqkmbmJzcDsgwqkNCg0KDQoNCg0KPC9TVFJPTkc+Jm5ic3A7Jm5ic3A7Jm5ic3A7Jm5ic3A7Jm5ic3A7Jm5ic3A7Jm5ic3A7Jm5ic3A7Jm5ic3A7Jm5ic3A7Jm5ic3A7Jm5ic3A7Jm5ic3A7IDwvRk9OVD48Rk9OVCBmYWNlPSJBcmlhbCBOYXJyb3ciIGNvbG9yPSMwMDAwMDAgc2l6ZT0yPnllYSwgd2UgZXF1YWwgbG92ZSBiaXRjaGVzLjwvRk9OVD48L0ZPTlQ+PC9GT05UPg=="
"eventtime","2005-01-06 12:36:00"
