"names","values"
"itemid","3"
"event","0JrQvtGC0L7RgNGL0Lkg0LTQtdC90Ywg0L/Ri9GC0LDRjtGB0Ywg0YHQtdCx0Y8g0LfQsCDRiNC60LjRgNGP0Log0L/QvtC00L3Rj9GC0Ywg0YEg0L/QvtGB0YLQtdC70LgsINGH0YLQvtCxINGH0LDRgdC40Log0L/QvtCx0LXQs9Cw0YLRjCDQvdCwINGD0LvQuNGG0LUg0L/QtdGA0LXQtCDRgNCw0LHQvtGC0L7QuSHQndC4INGE0LjQs9CwISEh0JPQu9Cw0LfQsCDQv9GA0L7RgdGC0L4g0L3QtSDQvtGC0LrRgNGL0LLQsNGO0YLRgdGPLCDQsCDQvNC+0LfQs9C4INC+0YLQutCw0LfRi9Cy0LDRjtGC0YHRjyDRh9GC0L4t0YLQviDQv9C+0L3QuNC80LDRgtGMIdCg0YPQutC4INGB0LDQvNC4INCx0LXRgNGD0YIg0LHRg9C70YzQvdC40Log0Lgg0L/QtdGA0LXRgdGC0LDQstC70Y/RjtGCINC10LPQviDQvdCwINGH0LDRgSDQstC/0LXRgNC10LQuLi7QryDRgdC+0LLQtdGA0YjQtdC90L3QviDQvdC1INCyINGB0L7RgdGC0L7Rj9C90LjQuCDQv9C+0LTQvdGP0YLRjNGB0Y8sINCwINC/0L7QsdC10LPQsNGC0Ywt0L/QvtC/0YDRi9Cz0LDRgtGMINC+0YfQtdC90Ywg0YXQvtGH0LXRgtGB0Y8h0JLQtdGH0LXRgNC+0LwuLi46KSk="
"eventtime","2006-06-15 16:00:00"
"url","http://oggi-morosko.livejournal.com/851.html"
"userid","11292"
"itemid","2"
"event","0JzQu9C40L0uLi7QvdGDINC4INC00LXQvdC10LouLtCT0L7Qu9C+0LLQsCDRgtGA0LXRidC40YIsINCy0YHQtSDQtNC+0YHRgtCw0LvQvizQvtGC0LTRi9GF0LDRgtGMINC90LDQvCDQvdCw0LTQviwg0LLQuNC00LjQvNC+LCDQvtGC0LTRi9GF0LDRgtGMLtCn0YLQviDQtNC10LvQsNGC0Ywg0LIg0LHQtdC30LLRi9GF0L7QtNC90L7QuSDRgdC40YLRg9Cw0YbQuNC4PyDQktC+0YIg0LrQvtCz0LTQsCDRgNC10LDQu9GM0L3QviDQvdC1INCy0LjQtNC40YjRjCDQstGL0YXQvtC00LA/0JHRjNGO0YHRjNCw0L/RgdGC0LXQvdGDLCDRh9GC0L4g0L3QsNC30YvQstCw0LXRgtGB0Y8uLi4NCjxhIGhyZWY9Imh0dHA6Ly9waWNzLmxpdmVqb3VybmFsLmNvbS9vZ2dpX21vcm9za28vcGljLzAwMDAxOXpnLyI+PGltZyBzcmM9Imh0dHA6Ly9waWNzLmxpdmVqb3VybmFsLmNvbS9vZ2dpX21vcm9za28vcGljLzAwMDAxOXpnL3MzMjB4MjQwIiB3aWR0aD0iMzIwIiBoZWlnaHQ9IjI0MCIgYm9yZGVyPScwJy8+PC9hPg=="
"eventtime","2006-05-16 18:28:00"
"url","http://oggi-morosko.livejournal.com/642.html"
"userid","11292"
"itemid","1"
"event","0JAg0Y8g0LLQvtGCINCyINCx0LjQu9GM0Y/RgNC0INC90LUg0YPQvNC10Y4g0LjQs9GA0LDRgtGMLi4u0L3QsNGD0YfQuNGC0LUg0LrRgtC+LdC90LjQsdGD0LTRjD/QkiDQn9GA0LXQvNGM0LXRgCDQodC/0L7RgNGCLCDQs9C+0LLQvtGA0Y/Rgiwg0YjQuNC60LDRgNC90YvQuSDRgdC/0L7RgNGCLdCx0LDRgCvQsdC40LvRjNGP0YDQtCvQsdC+0YPQu9C40L3Qsy7QoNCw0YHRgdC60LDQttC40YLQtSDRh9GC0L4t0L3QuNCx0YPQtNGMINC/0L7Qv9C+0LTRgNC+0LHQvdC10LU/"
"eventtime","2006-04-26 11:12:00"
"url","http://oggi-morosko.livejournal.com/313.html"
"userid","11292"
