"names","values"
"itemid","267"
"event","<lj-template name=""qotd"" id=""1423"" lang=""en_LJ"" />


Oh yes!  

My very first car was a 1992 Oldsmobile Achieva which I named Trooper because I was not at all a good driver and I put that car through a lot.  

My second car (after totaling Trooper) was a 1985 Oldsmobile Cutlass Ciera which I named Gilbert because the first night I drove it it broke down on Gilbert Rd.  The car was hilarious because the drivers seat was stuck in the reclined position so I looked like a total hood while I was driving it because I had to lean to the side to see out the windshield.  I had mardi gras beads hanging from the rearview and I put tiger stripped seat covers in it...it was pretty awesome.

My third car was a 1990 Chrysler Lebaron convertible which I named Sexy because, well, it was pretty damn sexy ;)

My fourth car was a 2002 Ford Focus named Gary because it reminded me of Spongebob's pet snail by the same name.

My current car is a 2008 Honda Pilot which I have named Betty, because she's black and she's badass so I named her after the song Black Betty by Ram Jam."
"eventtime","2010-05-10 20:31:00"
"url","http://phatsin8.livejournal.com/68362.html"
"userid","11821"
"itemid","266"
"event","<lj-template name=""qotd"" id=""1088"" lang=""en_LJ"" />

So this year I am being forced, yes FORCED, to dress up.  Not for Trick or Treat or some Halloween party mind you but for my District Training Meeting on October 14th.  You may wonder why this is so terrible...you might even now be saying to yourself, ""wow, what a @#$ing whiner! I wish I got to dress up for my company meetings!  That sounds like fun!"" Well it isn't and you're all kinds of wrong.  Here's why:

1.  My training meeting is in KY which is roughly a 3 hour car trip from where I live.  This means that I either have to ride to the meeting in my costume for 3 godforsaken hours or wait until I get to my bosses house (yes, we have it at his freaking house) to change into said costume.

2.  We have to wear the costume for the entire day of the meeting.  This means that whatever I'm dressing as has to be A. comfortable and B. require NO make-up

3.  This is an actual meeting with my boss and my peers, OH! and a visitor from our corporate offices (who is also being forces to wear a costume) to boot, which means that I have to be completely conservative in whatever I choose.  I am one of only three female managers in the group and by far the youngest manager by almost 10 years, one wrong move here and I will never live this down.

4.  As tempting as it would be after considering number 3 to perhaps just wear a full-head mask and something resembling a burlap sack to try and save myself as much attention as possible, I may actually have to do a presentation at this meeting, in my costume.  Oh yeah folks, the fun keeps on coming! So I must be able to see and be seen clearly and have full use of my arms and legs.

Now that I've established the horror that is going into this process let me tell you what I decided to go as....

A Candy Corn.

Harmless right?  It should be.  A white shirt, Orange skirt (maybe a petticoat), and yellow leggings.  I also found some really cute candy corn shoes online that I want to get...

Then I called one of my fellow managers today...you know, one of the male managers that is roughly 10 years older than I am and when I told him my costume idea he asked if it was going to be edible *hand to forehead* 

There is no winning.  Also, why is it that every costume available to purchase anymore only seems to come in three options?  Naked Slut, Almost Naked Slut, Slut, and Witch?  Seriously, WTF?"
"eventtime","2009-10-02 16:55:00"
"url","http://phatsin8.livejournal.com/68178.html"
"userid","11821"
