"names","values"
"itemid","93"
"event","This blog is primarily devoted to following the career of Mitch Pileggi, The X-Files, and what The X-Files alum are up to now.
<span style=""font-size:1.4em;""><b><span style=""color: rgb(255, 0, 119);"">*If you take something from here and repost it, please add a credit. Thanks.</span></b></span> Now that XF is restarting, there will be quite a bit of publicity. Will try to keep up.
WEBSITE <span style=""color: rgb(51, 204, 204);""><a href=""http://mitchpileggi.net/main.html""><span style=""color: rgb(0, 0, 255);""><span style=""font-size: medium;"">mitchpileggi.net</span></span></a><span style=""font-size: small;""><a href=""http://community.idealistshaven.com/forums/index.php""><span style=""color: rgb(51, 102, 255);""> &nbsp;&nbsp; HAVEN</span></a> </span><span style=""color: rgb(255, 0, 0);""><span style=""color: rgb(255, 0, 255);""><span style=""font-size: small;""> </span></span></span> <a href=""http://network.biglight.com/""><span style=""color: rgb(0, 0, 128);"">BigLight</span></a> ; <a href=""http://www.x-fileslexicon.com/""><span style=""color: rgb(153, 51, 0);"">The X-Files Lexicon</span></a>.
<span style=""font-size:medium;""><b>*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*</b></span></span>
<span style=""font-size:1.0em;""><span style=""color: rgb(63, 120, 166);"">TWITTER David Duchovny</span></span><span style=""font-size:0.9em;""><span style=""color: rgb(63, 120, 166);""> &nbsp;&nbsp; </span><a href=""https://twitter.com/GillianA"" target=""_blank""><span style=""color:#c42351;"">Gillian Anderson</span></a><span style=""color:#c42351;""> </span> &nbsp; <a href=""https://twitter.com/robertpatrickT2"" target=""_blank""><span style=""color:#347013;""> Robert Patrick</span></a> &nbsp;&nbsp;&nbsp;&nbsp; <a href=""https://twitter.com/philiater1"" target=""_blank""><span style=""color:#4d30bf;""> </span></a></span><span style=""color:#4d30bf;""><a href=""https://twitter.com/philiater1"" target=""_blank"">PHILIATER1</a> &nbsp;&nbsp; My Tumblr</span>
https://instagram.com/mitchpileggi2/&nbsp; https://twitter.com/mitchpileggi1
~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*
<span style=""font-size:1.0em;""><a href=""http://www.sundancechannel.com/series/rectify"" target=""_blank"">Rectify please watch-my friend Melissa Bernstein is the producer</a></span>
~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*
<span style=""font-size:1.0em;""><span style=""color: rgb(199, 12, 40);"">#TheXfiles
****************************</span></span>
<span style=""font-size:0.9em;"">http://www.ebay.com/sch/nfinccharity/m.html</span> <b><span style=""color:#24a800;"">Doodle 4 NF in May</span></b>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
<a href=""http://ic.pics.livejournal.com/philiater1/1704107/163675/163675_original.jpg"" target=""_blank""><img alt="""" height=""78"" src=""http://ic.pics.livejournal.com/philiater1/1704107/163675/163675_900.jpg"" style=""float: left;"" width=""100"" /></a>On the set with Mitch Pileggi"
"eventtime","2019-05-25 07:13:00"
"url","http://philiater1.livejournal.com/23990.html"
"userid","11832"
"itemid","2427"
"event","<a target=""_blank"" href=""http://ic.pics.livejournal.com/philiater1/1704107/391436/391436_original.jpg""><img src=""http://ic.pics.livejournal.com/philiater1/1704107/391436/391436_300.jpg"" alt="""" title=""""></a>"
"eventtime","2016-05-18 23:49:00"
"url","http://philiater1.livejournal.com/621558.html"
"userid","11832"
