"names","values"
"itemid","205"
"event","- go to Google Images<br />- search for your answer<br />- pick one image from the first page<br />- post<br /><div class=""ljcut"" text="".....""><br /><br /><br />1. The age you will be on your next birthday:<br /><img alt="""" src=""http://www1.istockphoto.com/file_thumbview_approve/1374310/2/istockphoto_1374310_twenty_four_pea_soup_cans_vector_illustration.jpg"" /><br /><br /><br />2. A place you'd like to travel:<br /><img alt="""" src=""http://www.travellersworldwide.com/Images2000/photos-russia/general/russia.jpg"" /><br /><br /><br />3. Your favorite place:<br /><img alt="""" src=""http://www.destination360.com/north-america/us/new-york/images/s/new-york-city.jpg"" /><img alt="""" src=""http://seriocomic.com/wp-content/uploads/2006/11/thebeach.jpg"" /><br /><br /><br />4. Your favorite object:<br /><img alt="""" src=""http://cc.wsd3.org/media/images/piano_keys.jpg"" /><br /><br /><br />5. Your favorite food:<br /><img alt="""" src=""http://www.ece.purdue.edu/%7Eace/water2/samplepix/vw2d-1/fruit-marked.jpg"" /><br /><br /><br />6. Your favorite animal:<br /><img alt="""" src=""http://www.infovisual.info/02/img_en/053%20Morphology%20of%20a%20bird.jpg"" /><br /><br /><br />7. Your favorite color:<br /><img alt="""" src=""http://blogs.business2.com/greenwombat/images/2007/05/10/big_green.jpeg"" /><br /><br /><br />8. The town in which you were born:<br /><img alt="""" src=""http://206.173.89.51/debbie4homes_com/section_143395/debbie%20pressly.jpg"" /><br /><br /><br />9. The town in which you live:<br /><img alt="""" src=""http://theshulmans.com/files/67600/tucson-image.jpg"" /><br /><br /><br />10. The name of a past pet:<br /><img alt="""" src=""http://fragilityproductions.googlepages.com/Casey2.jpg/Casey2-full.jpg"" /><br /><br /><br />11. The first name of a past love:<br /><img alt="""" src=""http://geomaps.wr.usgs.gov/socal/geology/transverse_ranges/joshua_tree/images/joshua_tree.jpg"" /><br /><br /><br />13. Your nickname/screenname:<br /><img alt="""" src=""http://i2.sitepoint.com/graphics/guerilla_project_cycle_red.png"" /><br /><br /><br />14. Your first name:<br /><img alt="""" src=""http://www.mysteriouspeople.com/alexandra320.gif"" /><br /><br /><br />15. Your middle name:<br /><img alt="""" src=""http://www.marvel.com/universe3zx/images/thumb/6/6a/JeanGrey442.jpg/440px-JeanGrey442.jpg"" /><br /><br /><br />16. Your last name:<br /><img alt="""" src=""http://scotlandvacations.com/images/Kier%20Hardie.jpg"" /><br /><br /><br />17. A bad habit of yours:<br /><img alt="""" src=""http://images.jupiterimages.com/common/detail/51/17/23521751.jpg"" /><br /><br /><br />18. Your first job:<br /><img alt="""" src=""http://www.mikesblender.com/coldstone%20stone.jpg"" /><br /><br /><br />19. Your grandmother's name:<br /><img alt="""" src=""http://www.dorisday.net/Doris-Day.gif"" /><br /><br /><br />20. Your major in college:<br /><img alt="""" src=""http://techprep.dtcc.edu/images/photos/undecided.jpg"" /></div>"
"eventtime","2007-11-12 16:10:00"
"url","http://project-self.livejournal.com/52658.html"
"userid","12272"
"itemid","204"
"event","this city's buses moan like mechanical elephants slowly moving and puttering along."
"eventtime","2007-09-25 12:44:00"
"url","http://project-self.livejournal.com/52264.html"
"userid","12272"
"itemid","202"
"event","<p>. i.
i want to break the rules; i want to discover what each sentence has to offer and feel his syllables pulse against my neck because although the reality of his years might call him a boy in my mind he is a man.
<p><p><p>
ii.
she flings the pans into the hallway and throws the pots to the floor. she is tired of whispering."
"eventtime","2007-05-25 10:25:00"
"url","http://project-self.livejournal.com/51898.html"
"userid","12272"
"itemid","201"
"event","i'm starting to feel as though there isn't enough time left. for what? not sure.. but god damnit if i need to start doing something.

need to make a conscious effort to write something... anything.. daily.
take at least one photograph everyday.
play piano at least 4 hours per week.
get up early to walk the dog every morning. spend more time in parks, but what about sweeping twice a week and mopping once a week and all of my other duties? how do i fit it all in?

summer (and beyond)list:
go to the mountains
picnic
fly a kite
ride to sabino canyon. or A Mountain?
camping
find abandoned buildings for picture taking
go bowling
play air hockey. where can you do that in tucson?
more shuffleboard
deatil & buy new parts for my bike.
comic con!
weekend trip to ca.
convince people to visit me.
learn spanish.

to be continued."
"eventtime","2007-05-24 09:06:00"
"url","http://project-self.livejournal.com/51457.html"
"userid","12272"
"itemid","200"
"event","i'm so sick of everything.

do you realize that everyone you know someday will die and instead of saying all of your goodbyes let them know you realize that life goes fast"
"eventtime","2007-01-18 14:01:00"
"url","http://project-self.livejournal.com/51267.html"
"userid","12272"
"itemid","199"
"event","so christmas went well, i think. i always feel awkward on these types of holidays. i think it's mainly because christmas doesn't mean much to me at all.  i don't have any religious attachments to it, and i honestly think that the whole buying shit of christmas is disgusting. it's an empty materialistic holiday.  people go into major credit card debt just to make sure that their children and family have a ""good"" christmas and it has no basis whatsoever.  the amount of money that is spent is obscene.  it is a holiday approved by congress for the consumer nation.  it's a bunch of commercial hype.

not to say that alec and i didn't exchange gifts.  but we exchanged them more around the end of november instead of two days ago.  i got a nintendo ds and i bought him a used road bike.  we've also exchanged quite a few things since then.  i'd really like to break free from the christmas celebrations.  which is hard, especially when you family that is 100% into it.  i just find it to be ridiculous.  i know, i know, i'm a grinch, blah blah blah.  but the whole thing feels fake and contrived and i want no part of it.

we spend time with alec's father on saturday which was really nice.  he left later that evening for utah.  we spend xmas day with alec's mom, liz, and emily.  we cooked them lunch (which was awesome) and played poker.  it was good.  i'm just glad it's over."
"eventtime","2006-12-27 08:13:00"
"url","http://project-self.livejournal.com/51067.html"
"userid","12272"
"itemid","198"
"event","scrambling for ideas for presents for family.  i wish i had more than three days off of work.  i'm terrified of the idea of going to the mall tomorrow for last minute presents.  i hate shopping so close to xmas, and the people make it worse.  i'm looking forward to be shoved, beaten up, pushed out of line, merchandise taken from my hands, etc.  i'm expecting the worst, but not much more will happen than being shoved a few times, i'm sure.  this time of year really does bring out the worst in people.<p>
this whole jonathan thing is fucking me up. i'm doing better this week than i was last week, and the week before that, but i have no choice but to be better.  i easily could have been stuck in that rut forever.  i just can't believe what happened.  that it can all come and go so quickly.  with no last chances.  no anything.<p>
in other news: i am missing friends and family a lot this week. i hope everyone is well and that i will get to see you soon."
"eventtime","2006-12-22 10:26:00"
"url","http://project-self.livejournal.com/50797.html"
"userid","12272"
"itemid","197"
"event","i got a new (used) bike.  it looks similar to this: <p>
<img src=""http://aebike.com/dir/319/images/classifieds/images//ad_68_154.jpg"">

it's fast. it's lugged steel, and i think it was made in 1986.  i'm excited.  i need new pedals and i need to wrap the handlebars.<p>
school is almost over and i will be happy once it is.  damnit.  what a semester. what a year.  i don't even know how to reflect on time passed when it feels like the entire year is still here, squished up in a little ball all happening at once.  last i checked, it was still january.<p>
let's drink and inhale the disease and exhale it all again just like that."
"eventtime","2006-12-14 09:39:00"
"url","http://project-self.livejournal.com/50637.html"
"userid","12272"
"itemid","196"
"event","we had alec's dad's car over the weekend.  i was supposed to pick him up from the airport at five yesterday, but his flight was delayed because of weather (he was flying from chicago).  he didn't end up getting in until after 1:00am and i didn't get to bed before 2.  needless to say i'm exhausted.  i can't wait to go home, cook some halibut and then lay on the couch until it's time to go to bed.  i need sleep tonight.  it doesn't help either that i've had a bit of trouble sleeping lately anyway.  there's something that's keeping me up and i haven't decided yet if it's my head or something totally external.

i have a fish on my desk.  his name is hank.  i have a snail too, but he hasn't a name.  they keep me company while i'm at work.  i also have a bamboo plant and some orchids.  i like my desk.

i don't have any pictures of my life.  it's quite sad.  i need to get on that. pronto.

alex should come visit me because i'm sick of her staying away.  IT HAS BEEN TWO MONTHS and i was only supposed to wait for two weeks.  ugh.

i don't really have all that much to say."
"eventtime","2006-10-03 11:43:00"
"url","http://project-self.livejournal.com/50350.html"
"userid","12272"
"itemid","195"
"event","i went to a baby shower.  with a keg.  wha??  it was fun though!

brew battle to commence on november 18th.  i think this is just an excuse to have a homebrew party where all we do is drink home-made beer.

i really need to charge my camera battery so that i can't start taking some pictures of the crazy nights we have together.

i really really really really need to find a new house to move into... this place is just too expensive and too big for just alec & i and bandini.

bleh.  new york in october.  and maybe maybe maybe los angeles soon?  please?  it can't be that expensive.  i need to just go for a three-day weekend."
"eventtime","2006-10-02 08:50:00"
"url","http://project-self.livejournal.com/49944.html"
"userid","12272"
"itemid","194"
"event","i bought plane tickets to new york for the end of october. yay.

now im broke.  boo.

last night we watched eraserhead and we haven't cooked in a week because we've been out out out and on the run.

last weekend was my birthday and i had a great time and it's still not over because i still have 3 birthday dinners to attend to. oh dear.

i need to stop procrastinating."
"eventtime","2006-09-08 16:52:00"
"url","http://project-self.livejournal.com/49703.html"
"userid","12272"
"itemid","193"
"event","these past few days have found me off with extreme highs and lows but nothing in between. i have to contribute most of it to alex's departure from my state, and some other part of it to my bleeding vagina, and another large part of it to some major decisions and frustrations regarding what i want to do with and in this world.

and my god, it's not like alex is dead, although it has been feeling that way ever since she left.  i've been quick to cry but also quick to love and everything small just feels so huge and envelops me all the same.

i need to do something and i can't help but hate that it won't be something instant.  i'm going to school and i want to live life the way it was meant to be lived, i really just want to abuse it and feel it and be it, but i first need to figure out some purpose.  i can't let any more moments go by and i must, as a good friend once told me, live life as though i were writing a book of adventures.

but we were broken last night and we rebuilt and then we danced.

<center>
<img src=""http://www.poetrymagazines.org.uk/downloads/85F_am65_p028_s.gif"" />
</center>"
"eventtime","2006-08-24 08:35:00"
"url","http://project-self.livejournal.com/49415.html"
"userid","12272"
"itemid","192"
"event","les possibilites sont infinies aujourd'hui. enlevez-moi ce soir,
n'est-ce pas? me font ressembler a une ballerine de nouveau.
peut elle etre aussi merveilleux que je
savais que vous avez ete."
"eventtime","2006-07-25 09:32:00"
"url","http://project-self.livejournal.com/49257.html"
"userid","12272"
"itemid","188"
"event","my computer at my new place of work is so effing slow that after distributing the daily morning reports, i came back to my desk, clicked on the Excel application, opened a file, input data into three cells, and THEN my screen saver kicked in (from lack of use while distributing reports) AS I WAS USING IT.  this is going to drive me insane.  it must take 90 seconds to send documents as attachments.  UGHHH.

in other news, happy friday mother fuckers.  tonight i leave for phoenix to stay in a five star resort in a ritzy part of town for freeeeeee.  hello excellent dining, pools and hot tubs.  i'm coming to you."
"eventtime","2006-04-21 09:51:00"
"url","http://project-self.livejournal.com/48241.html"
"userid","12272"
"itemid","187"
"event","friday!  tomorrow i'm hiking here.  

<img src=""http://www.swlink.net/~ttidyman/images/photos/7falls/7falls2.jpg"">

hours of up up until we rest at the water with a picnic of sandwiches and wine."
"eventtime","2006-04-07 11:16:00"
"url","http://project-self.livejournal.com/48099.html"
"userid","12272"
"itemid","185"
"event","it hailed yesterday at our house and our frontyard was covered with ice.  it snowed in oracle, a small town just north of tucson yesterday, so we drove to it.  the day before spring yet the first hint of winter.  we hiked the arizona trail and came upon a rocky cove to smoke a little and drink a while before we headed back.  the cold stung my cheeks, but i was warm with all that walking up up up. and when we came back and up, we were confronted with a half-clouded horizon and an endlessly stretching desert.  i could picture myself out there, for the first time ever.  as the sun was beginning to set and the mountains were changing to purple, and the sky caught fire."
"eventtime","2006-03-20 11:06:00"
"url","http://project-self.livejournal.com/47598.html"
"userid","12272"
"itemid","184"
"event","two nights ago was animal collective. i sent them a request to come to tucson a few months ago, and after exchanging a few emails with geologist, he confirmed that they had scheduled a date. the show was lovely. there is something about their music that makes me want to be five, running hand in hand, barefoot, in fields of tall grass.

in other news, there is no other news and i want to live life passionately to all extremes.  read as: i want out of this town."
"eventtime","2006-03-17 11:21:00"
"url","http://project-self.livejournal.com/47344.html"
"userid","12272"
"itemid","183"
"event","i had an interview today for a job at the university medical center.  met with laurel hizer at 10:30a.  she prescreened my ass off and she liked what she saw - told me she'd get back to me soon for a follow-up interview with two directors of different departments.  gave me her contact information in case she takes too long.

got a call at 12:45p to schedule my interview with the directors.  wanted to meet with me tomorrow, but my coworker is out and i am chained to my desk from 12 to 5.  don't worry, she said, you're top of the list and they won't hire anyone without speaking to you.  will call you back with another date.  look forward to meeting you!

oh please please choose me.  i promise, i will be the best employee you ever had if you get me out of this toxic environment in which i am currently employed.

this weekend i get a new washer and dryer.  tonight is shrimp kabobs and drinks and tomorrow is my my coworker's boyfriend's surprise party.  i got him some of the best pot i've ever had. ever."
"eventtime","2006-03-02 13:23:00"
"url","http://project-self.livejournal.com/47077.html"
"userid","12272"
"itemid","182"
"event","ugh - working on moving.  we need to be in the new place by the first, but don't have to be out of our current place until the 15th.  i'm so tired of work and am glad it's friday."
"eventtime","2006-01-27 11:17:00"
"url","http://project-self.livejournal.com/46732.html"
"userid","12272"
"itemid","181"
"event","this weekend was fabulous.  i had such an incredible time and was happy to see so many wonderful people in one place.  thanks to everyone for everything."
"eventtime","2006-01-25 14:23:00"
"url","http://project-self.livejournal.com/46588.html"
"userid","12272"
"itemid","180"
"event","i ain't getting married without a bottle in both hands
and a ring that shows allegiance to anything but what we have"
"eventtime","2006-01-16 13:22:00"
"url","http://project-self.livejournal.com/46283.html"
"userid","12272"
"itemid","179"
"event","i need playlist help for next weekend."
"eventtime","2006-01-11 10:07:00"
"url","http://project-self.livejournal.com/45931.html"
"userid","12272"
"itemid","178"
