"names","values"
"itemid","24"
"event","But, I'm still not going to go.  I don't have a date (people would claim that is the sole reason for why I'm not going) but, I didn't have a date for Winter Wonderland and I almost didn't go then.  It took Amanda, Kelly, Leah, Alecia, Melissa, Julie, Jenny, Issie, and just about every girl I know to come up with logical ""reasons"" for <b>why</b> I had to go.  But, so many people here aren't going that it's not that big of a deal.  I mean really...is your so called ""reputation"" going to gag and choke on the utter embarassment of not being seen at some STUPID ""Underground Riverview"" home coming?  Get real.  Go Sharks, though.

I feel the demanding need to mention that Randi Robertson is going out with a hideous junior named Scooter.  What comes to mind when you think of the name Scooter?  Well, if you thought that a semi-short, bald, chunky, pastey white boy then you'd be most definetely correct.  I mean, Randi is very, very pretty and she could do so much better than that.  So I thought to myself ""maybe he has a good personality"".  About as good as cheese...except cheese looks better.  So I don't know if maybe it's just because he's a junior or what... Or maybe it's like that new movie coming out where this guy falls in love with this really fat girl and everyone around him sees her as she really looks but, he just sees her as he wants to see her (in this case Gwyneth Paltrow).  Who knows...

Congratulations <b>Kenzy</b> and <b>Anthony</b>!  Good luck, guys.

I think I'll end it here.  Might I say that I thought Mandi was going to be a total snob when I first met her (using those judging first impressions) but, she's totally cool.

<3 Chelsea"
"eventtime","2001-10-26 19:14:00"
"current_moodid","44"
"url","http://prosthetute.livejournal.com/6183.html"
"userid","12284"
"itemid","23"
"event","And you know you'll like them...

<b>1</b>.  The ground beneath my feet is strong...until it rains
<b>2</b>.  The cigarette after sex is better than the sex itself
<b>3</b>.  Fat women in red bikinis with cellulite
<b>4</b>.  Me and the neighbors dog
<b>5</b>.  Trying to pee when you don't have to
<b>6</b>.  The tooth fairy only comes when I fall asleep
<b>7</b>.  How Santa <b>really</b> rewards his reindeer
<b>8</b>.  Waking up to Sally the peg legged butch
<b>9</b>.  Men hate when they wake up in the morning and they've been sweating all night and their balls are stuck together
<b>10</b>. The purple jock strap
<b>11</b>. Dancing with my Uncle Earl
<b>12</b>. Ernie doesn't know his abc's (hidden track)"
"eventtime","2001-10-24 17:27:00"
"current_moodid","115"
"url","http://prosthetute.livejournal.com/6009.html"
"userid","12284"
"itemid","22"
"event","My dad and I were having this huge ass burping contest and burping our abc's.  It was funny as hell.  Whew, he can be a pain in the rear sometimes but...most of the time he's pretty cool.  He's like the chubby redneck kid that hangs around and plays those redneck games with you.  And he doesn't know jack diddly about computers or anything so he hardly ever knows what I'm up to.  Drawback?: poor memory.

Now my mom on the other hand only went to college for about two years but, she's incredibly smart.  Not like rocket science smart but...wordly/street smarts.  I love her to death but she's up my ass 24/7 and a real bitch most of the time.  She's cool alright but, whenever I fuck something up she ALWAYS finds out.  I hate it.  Drawback?: excellent memory when she wants it.

[Phone]

Okay guys, I'm back.  Not that you could tell I was gone but, alrighty.  I miss all my friends at CHS/PHU...I LOVE YOU GUYS ~*!^  When I get my car I'll be down there every other weekend I swear.

Here's me getting off of the bus:

<b>Jordan</b>: So...you're making a lot of friends here?
<b>Me</b>: Yeah...the people are pretty nice.
<b>Jordan</b>: Yeah...everytime I see you in the halls you're talking to someone
<b>Me</b>: Yeah
<b>Joran</b>: So...hm...you probably don't even remember my name.
<b>Me</b>: [blank stare] You have a name? (har har just kidding) Yes I do.
<b>Jordan</b>: Yeah okay
<b>Me</b>: It's Jordan
<b>Jordan</b>: Score...

Yeah well...it was pretty dumb, but he's such a sweetie.  Did I mention JK looked incredibly hot today? =D

I think I'm starting to piss off Todd =X


<3 Chelsea"
"eventtime","2001-10-22 17:43:00"
"current_moodid","99"
"url","http://prosthetute.livejournal.com/5873.html"
"userid","12284"
"itemid","21"
"event","Jenna and I had SO much fun in science class today =X.

We went around with these big ass test tubes down near our crotches and ""butt fucked"" kids in our class =X

It was classic<3

Chelsea"
"eventtime","2001-10-04 19:29:00"
"current_moodid","44"
"url","http://prosthetute.livejournal.com/5412.html"
"userid","12284"
"itemid","20"
"event","I so cannot take going to soccer anymore.  I ran two miles and did 4 sets of stadium sprints and I thought I was going to pass out and I ended up...heaving. =\ Not cool.  I ran with this girl who's been smoking for like 4 years and she's in better shape than I am =\ I'm just a chunky butt -eats my fatty food-

THANKS A LOT DREW ! THANKS FOR ALL YOUR MORAL SUPPORT <^>.

Anywho, school is going okay.  If my mom and dad hadn't messed up and brought me to school tardy, then I'd be able to exempt exams but nooo.  That would be too much to ask.  Not to mention I'm living in an old Plant City house because the Cardel fuckers haven't built our house yet.

GOD DAMNIT

<\3 Chelsea"
"eventtime","2001-10-03 17:16:00"
"current_moodid","23"
"url","http://prosthetute.livejournal.com/5150.html"
"userid","12284"
"itemid","19"
"event","God I can't stand coming up with a new name on AIM.  All you lamers have stolen the goodies !! -flicks you all off-

The names I wanted: cheapthrill, hardons, bedwetters, snodrah(if i couldn't get hardons).

The NAME [singular] I got: easy hardons . . . woo.

Ugh anyway.  I had soccer practice today but, after I jogged two miles I felt queasy because I'm anemic now and I couldn't go on.  My mom loved that.

I need more people to check in and read this shit.  Why do I even bother typing? =X

<3 Chelsea"
"eventtime","2001-10-01 18:09:00"
"current_moodid","110"
"url","http://prosthetute.livejournal.com/5084.html"
"userid","12284"
"itemid","18"
"event","Okay well here I am eating my Ramen and getting fatter by the second.  I think I'm going to invent a computer chair with a mini stairmaster built in.  I think I could make a lot with that.

Our third period (well, me, Christel, Mandi, Ms. E, and Amber) are all playing Hook-Up with Jesse and Sydney.  They're such morons and won't go out cuz they have gf's and bf's.

Anyway, I think Homecoming is coming up soon.  Should I go?  It's really not one of my things but, I would appreciate your input.

<3 Chelsea"
"eventtime","2001-09-29 12:05:00"
"current_moodid","1"
"url","http://prosthetute.livejournal.com/4853.html"
"userid","12284"
"itemid","17"
"event","Hm well, I'm extremely bored.  I realized today that I haven't actually entered a journal entry over two paragraphs long.  I look at <a href=http://livejournal.com/users/pokinatcha>Annie</a> and <a href=http://livejournal.com/users/lecylicious>Lecy</a> and they both have like 3 paragraphs of stuff to write about.  Is my life that boring or is theirs that interesting?  Hmm - well today I actually had to clean.  We were off for some Jewbie holiday like. . .Yom Kippur I think.  Gerry left back for Belgium.  She bought me this book by some guy named Lemony Snicket.  Kick ass name.  Well, Todd is supposed to be talking but I think he's bonding with his hand again. =d I have two new aims: <b>back room videos</b> and <b>xxx stage names</b> and if you don't get what they mean, ask Todd cuz, I don't feel like explaining it. His aim is:<br><br><p align=center><font size=7>sentenced</font></align><p align=left>

Yeah well. . .I think if I spaced this enough it would exceed a couple of paragraphs. . .=X.

Do me a favor and go to <a href=http://loserkids.com>Loserkids.com</a> and check out the plain black Atticus sweatshirt that I want ! Go ahead and buy it for me if you choose to do so<3

Chelsea *"
"eventtime","2001-09-27 17:16:00"
"current_moodid","40"
"url","http://prosthetute.livejournal.com/4597.html"
"userid","12284"
"itemid","16"
"event","If anyone uses Morpheus could they please help me out? I've been searching on this thing since like. . .9 o clock or something. Anyway, it's a pain in my bee hind.

Kyle and Amanda broke up !! =X
THE SKY IS FALLING !

I get tomorrow off for Yom Kippur(spelling?) and Alecia doesn't. =P Na na na boo boo

Go to: <a href=http://angelfire.com/goth/peee/aaa.html>MY MAIN PAGE</a> and tell me how it looks so far before I put it on the actual main page =X"
"eventtime","2001-09-26 21:54:00"
"current_moodid","44"
"url","http://prosthetute.livejournal.com/4277.html"
"userid","12284"
"itemid","15"
"event","Well, Todd's not posting on here anymore cuz he had to go and be a Jew. <^> Ugh. Okay, well you all can kiss my white Florida ass and I'll talk to you later

Chelsea"
"eventtime","2001-09-18 18:05:00"
"current_moodid","110"
"url","http://prosthetute.livejournal.com/3987.html"
"userid","12284"
"itemid","14"
"event","It sure is nice not to have to post on a site with my name on it o.O. I love ya my little posting bitch<3

Today was pretty boring. We got a new kid in two of my classes and he's pretty decent but, always open to scrutiny. Who knows...maybe I'll be nice and give him a chance...

Fat chance...

I need a job, I need a job, I need a job. Help a sistah? -ghetto-     >.< Hasta la pasta, baby !"
"eventtime","2001-09-18 17:19:00"
"current_moodid","119"
"url","http://prosthetute.livejournal.com/3600.html"
"userid","12284"
"itemid","13"
"event","i really have nothing to say so maybe a little conversation with nicole will do?

sentenced: nerd...
baby nikki: nerd!
sentenced: nerd
baby nikki: wut u dewin
sentenced: looking at porn?
baby nikki: oh god!! lolz
sentenced: what you doin sexy
baby nikki: nothin im at rachelz house w. aimee heather jess and vanessa and rachel
sentenced: lesbians
sentenced: wheres your nigger boyfriend
baby nikki: hes at his house he called me tho <33 lolz
sentenced: phone sexxin ant
sentenced: i know your tricks
baby nikki: lmao
sentenced: first your sexxin by email
sentenced: then by phone
baby nikki: hell yea bitch
baby nikki: are u guyz playin football at the island?
sentenced: i think we are playing at grice
sentenced: at 1
baby nikki: at grice ! c*mon now i cant go!
sentenced: its like 15 on 15
sentenced: thats way too many for the island
baby nikki: omg..
baby nikki: u mean 15 vs 16 cuz im playin
sentenced: i dont think youd want to
sentenced: people would all be grabbin up on that sexy ass
baby nikki: lmao aww lolz
baby nikki: im jk im not playin..but ant likes my ass cuz he always grabz it now
sentenced: thats cause ants really gay
sentenced: but your so sexy hes just gonna concentrate on your ass
baby nikki: loklz well i wish he wud concentrate askin me out and hookin up wif me!
sentenced: ant=nigger
sentenced: he does everything ass backwards
baby nikki: hez not a nigger todd!
baby nikki: hes my nigger okay!
sentenced: lmao
baby nikki: but hes realli not a nigger
sentenced: duh?
baby nikki: he dont act black! and he duaznt dress black!
sentenced: calm down nicole
baby nikki: lolz
sentenced: gettin all defensive
baby nikki: thatz rite.. lolz cuz i wud hope he wud stick up 4 me
sentenced: how come you get to have a lesbian party and we cant see
baby nikki: lolz cuz im nota  lez
sentenced: so
sentenced: just pretend
sentenced: =]
baby nikki: do you think ant would mind if i said were together
sentenced: hed probably do whatever you told him
sentenced: cause hes a little bitch
baby nikki: lolz yep hez my bitch! lmao im jK
sentenced: dont lie
sentenced: hes your bitch
baby nikki: lolz <33
sentenced: nicoleee
sentenced: we hafta deal columbian cocaine
sentenced: and become millionaires
baby nikki: lmao 
sentenced: where are your friends at
baby nikki: they are on the couch talking
sentenced: then why are you on the computer
baby nikki: cuz i wanna be on the comp lol!
sentenced: are they kissing?
baby nikki: no todd thay arent!
sentenced: dont lie
baby nikki: ok wutever
sentenced: nicoleeeeeee
sentenced: take some pictures with your friends again
baby nikki: i will later okk
sentenced: so really do you know where ant is
baby nikki: hes not at jeremyz! hes at his real momz house! by west!
sentenced: whys he there
baby nikki: his mom wanted him 2 sleep hom2 nite
sentenced: hes probably crying
baby nikki: why he cryin!
sentenced: cause hes not getting any pussy from you
baby nikki: ohh lolz
baby nikki: lmao i gg bye huni lovez yahh
baby nikki signed off at 11:51:09 PM. 

and thats all i hafta say about that."
"eventtime","2001-09-15 23:56:00"
"current_moodid","99"
"url","http://prosthetute.livejournal.com/3523.html"
"userid","12284"
"itemid","12"
"event","iunno chelsea said to go post right now and when a girl tells you to do something youre suppose to listen =x  anyways we were having a conversation about fucking my friends mom and his sister at the same time and that was rather amusing.  and the cops came to my house today.  i dont know why though ;d  and i love chelsea cause shes so coo<333"
"eventtime","2001-09-14 23:40:00"
"current_moodid","24"
"url","http://prosthetute.livejournal.com/3149.html"
"userid","12284"
"itemid","11"
"event","Well, I'm extremely bored. I got into Amnesty International. I can't believe the sons of biscuits who hijacked the planes and crashed into the World Trade Center and the Pentagon. Why someone would willingly do that I have no idea. Last night I was crying because of the fact that people on the plane had to die with the last thought that they KNEW they were going to die and never ever see their families and friends again. I can't even begin to comprehend how you deal with such a feeling.

Hmm... uh well, I can't talk about this anymore. If I need to talk to anyone about it, I have Drew who actually has some intelligent opinions (even if we don't completely agree) and doesn't make fun of me or ignore my opinions. Thanks for that, Drew<3. In school, not much has happened. I think we get our report cards in a couple of weeks. Scary =X.

Love you all bunches!

Chelsea


<p align=center>09 : 11 : 01

A day set in stone in our minds
R.I.P. for those who lost their lives
My prayers for those coping"
"eventtime","2001-09-13 16:21:00"
"current_moodid","48"
"url","http://prosthetute.livejournal.com/3028.html"
"userid","12284"
"itemid","10"
"event","Well, I'm extremely bored. I got into Amnesty International. I can't believe the sons of biscuits who hijacked the planes and crashed into the World Trade Center and the Pentagon. Why someone would willingly do that I have no idea. Last night I was crying because of the fact that people on the plane had to die with the last thought that they KNEW they were going to die and never ever see their families and friends again. I can't even begin to comprehend how you deal with such a feeling.

Hmm... uh well, I can't talk about this anymore. If I need to talk to anyone about it, I have Drew who actually has some intelligent opinions (even if we don't completely agree) and doesn't make fun of me or ignore my opinions. Thanks for that, Drew<3. In school, not much has happened. I think we get our report cards in a couple of weeks. Scary =X.

Love you all bunches!

<marquee>Ch<b>e</b>lsea</marquee>"
"eventtime","2001-09-13 16:15:00"
"url","http://prosthetute.livejournal.com/2690.html"
"userid","12284"
"itemid","9"
"event","well, i did your comments. *bow* yea, i'm great.. anyways girl.. good luck with.. *cough* people :X t2uL my beautiful big breasted best friend

<marquee><b>L</b>e<u>c</u>y</marquee>

<marquee><3mike<3</marquee>"
"eventtime","2001-09-08 16:12:00"
"current_moodid","90"
"url","http://prosthetute.livejournal.com/2507.html"
"userid","12284"
"itemid","8"
"event","Wow. It's been so long since I last wrote in here. I jacked the layout look from <a href=http://livejournal.com/users/lecylicious>lecy</a> except I used this cool green and she used -gag- purple. =X It's all good though<br><br>School is okay. Jesse introduced me to this guy Gabe and he seems like a really nice guy but, I'm kinda at that point where I don't want a boyfriend, I just want to be open to go out with guys and not be ""tied down"" but I want a guy friend that you do more with. Like a... friend with benefits? That would rock my socks.<br><br>Late last night I went to Scott's because he didn't want to go to the movies and he needed to tell me something. He's MOVING! MOVING! He is so cute and he looked so good last night and ugh. And now how am I supposed to learn to skate?! We were making such progress. This bites balls. I can't believe his mom want's to move to TEXAS! He's gonna die out there =[ No one skateboards in Texas, they all ride horses. Ugh.<Br><br>Well, this entry sucks. Mad love, b<3"
"eventtime","2001-09-08 16:03:00"
"current_moodid","24"
"url","http://prosthetute.livejournal.com/2102.html"
"userid","12284"
"itemid","7"
