"names","values"
"itemid","16"
"event","Me and Cara broke up like a week ago. Oh well its ok. I wasnt that attached to her so theres not hard feelings for me. We only seen each other a total of like 10 days since Feb. which was when we started to go out. She broke up with me cause she says shes not ready for a relationship. She also said that the distance was killing her. She went to school in Jersey. She says that when shes ready for a relationship I will be the first one to know. She said she loved me after she broke up with me. Which I found kinda weird. I am not going to sit around and wait for her to ask me back out shes not worth my time. I mean she kinda fucked with my feelings. I hate when people do that. I thought I loved her. But I really didnt it must have been infatuation. It couldnt have been real love it just couldnt. If it was it wouldnt have taken me around 3 days to get over her. If it was real love it would have taken alot longer then it took me. Ok I am now looking for someone else. I do have one person in mind but I am not sure if she like me like that or not. Ill just sit back and see where life takes me. If life doesnt take me to her then it just wasnt meant to be. How ever I will talk to her and stuff in the mean whiles. On April 8th Cara is supposed to sing. But I dont think I am going to go watch her sing. But hey I dont know. Maybe I will. Its not just up to me either its also up to her. I will never do anything that she didnt want that would hurt her. I mean I still care about her in the way I dont want her hurt. WHY DO RELATIONSHIPS HURT LIKE HELL?
                                   
   Some Poem I Found That I Like

Blood, blood, the sight of it excites me.
I'm such a mess, slippery, excuse me.
I spent all day writing die on the wall,
And my hands all bloody and my fingertips raw
To the bone bone.
Now I'm all alone and Malaki speakin to me,
Callin on the crow.
Mixed with the blood, on the third night,
Will allow the dead to walk again in the sunlight
~Jami Madrox, Dark Lotus - Gimme Dat Blood~ 
   Quiz
Take the quiz: <a href=""http://www.zenhex.com/quiz.php?id=6112"">""What kind of a person are you???????""<br><img src=""http://img1.zenhex.com/quiz2/6112/res2.jpg"" border=""0""></a><br><b>Fidget Bottom</b><br>You can never keep still, and mostly just wait for things to come to you!?"
"eventtime","2005-03-24 12:39:00"
"url","http://rainbowsurfer.livejournal.com/4204.html"
"userid","12565"
"itemid","15"
"event","<table>
<tr>
<td valign=""top"">
<h2>Men See You As Choosy</h2>
Men notice you light years before you notice them
You take a selective approach to dating, and you can afford to be picky
You aren't looking for a quick flirt - but a memorable encounter
It may take men a while to ask you out, but it's worth the wait
<b><a href=""http://www.yournewromance.com/howdomenseeyouquiz"">
How Do Men See You? Take This Quiz :-)</a></b>

<b><a href=""http://www.yournewromance.com/"">Find the Love of Your Life 
(and More Love Quizzes) at Your New Romance.</a></b>
</td>
<td valign=""top"">
<img src=""http://www.quizdiva.net/ynr2/see-choosy.jpg"">
</td>
</tr>
</table>"
"eventtime","2005-02-14 21:54:00"
"url","http://rainbowsurfer.livejournal.com/3928.html"
"userid","12565"
"itemid","14"
"event","<table>
<tr>
<td valign=""top""><img src=""http://www.quizdiva.net/ynr/blaze.jpg"">
</td><td valign=""top"">
<h2>You Should Read Harelquin Blaze</h2>
As for romance, you like it hot and steamy - nothing held back.<br>
Forget the love story. A book needs to sizzle to keep your attention.<br>
Harlequin Blaze will get you going with hot girls, hot guys, and hot storylines
<br><br>
<b><a href=""http://www.yournewromance.com/freebookquiz.html"">
Which Free Books Should You Read? Take This Quiz :-)</a></b>
<br><br>
<b><a href=""http://www.yournewromance.com/"">Find the Love of Your Life 
(and More Love Quizzes) at Your New Romance.</a></b>
</td></tr></table>"
"eventtime","2005-02-14 21:50:00"
"url","http://rainbowsurfer.livejournal.com/3614.html"
"userid","12565"
"itemid","8"
"event","I am just sitting here at home right now when I am supposed to be in school. Well it really doesnt matter if I do go to first period or not. Well since my teacher is a bitch and is not giving me credits. I just go to class when I want to. When I dont feel like going to class I just dont. I go to all my other classes. I mean cause my teachers in those subjects are not bitches. I get credits for those classes. I am still just a lil tired. Well its kinda weird that I am tired cause I went to bed at like 6 at night last night. My mom knows that I cut and she doesnt care. She is just like so why are you cutting the first time I told her. I told her cause I was not getting any credits. She was like ok. Just dont cut the subjects that you do get credits for. My mom is nice. Shes like my friend. I can basicly tell her anything. Well I am goign to get some food and then leave for classes. Please respond. Someone please respond."
"eventtime","2004-05-19 07:23:00"
"current_moodid","18"
"url","http://rainbowsurfer.livejournal.com/2204.html"
"userid","12565"
"itemid","7"
"event","I am still sick. When will it ever end. I did get some what better in certain areas. But I got worse in some to. I was having a stomach ache, felt weak, had a fever kept gaging, kept sweating, tired at all times, dont feel like eating anything at all, yea and thats pretty much all of it. Now I just feel weak, gaging more, sweating a lil less, I still dont feel like eating anything, and now I can actually stay up for a few hours. Rather then just like 2 minutes. So I dont have a stomach ache. I feel a lil stronger then I did the last few days. I dont think that I have a fever any more. The sweating has gone down alot. I am able to stay up for just a tad bit longer then before. And I still dont even wana eat any food. I stayed home from school again today. Well I got out of going to the quack doc. The school must be getting mad. Cause they keep on calling the house and my moms cell. Yea but we are not picking it up. Well why should we waste time on a unexcussed absence. I really did try to go to school today. But I just couldnt. I am so bored. I cant wait to get better. I feel like shit."
"eventtime","2004-05-17 10:17:00"
"current_moodid","82"
"url","http://rainbowsurfer.livejournal.com/2037.html"
"userid","12565"
"itemid","6"
"event","I am still sick. I cant miss school tomorrow or my quacky doctor will find alot of reasons to give me a 1000 shots. I hate shots. But I love pain so go figure. Weird right? Anyways I found this thing on someones away message that I liked so yea I am go to copy and paste it. Do ever long conversations on the phone, can't get you out of my mind. Baby are you feeling me, feeling you. Everything you say and everything you do, get's me lost at your days at a time. Tell me are u feelin me feelin you. Yup that it. Yea so yea I am missing something deeply in my heart. This guy had the same thing last week that I had this week. I kinda freaky cause I mean like I was not even around him when he was sick. He doesnt know what it is. But his doctor told him that it is something that you get from a lack of sleep. Well I so understand how I got that. I mean like I never really do sleep that much. I am pretty much like always awake. Today I actually stayed up. Thats cool cause from like Friday at 4 to like today I have been sleeping. My body wanted to sleep all day but I did not let it. Just watch that I regret it some how or another. Well I am still sick so I am going to go back to sleep once agains."
"eventtime","2004-05-16 22:53:00"
"current_moodid","82"
"url","http://rainbowsurfer.livejournal.com/1785.html"
"userid","12565"
"itemid","5"
