"names","values"
"itemid","21"
"event","joecool2126: but i've been trying to get a hold of sheena all day but she's been busy
madmoiselleclara: oh really?

joan was totally right he's totally trying to get a date for hc... haah"
"eventtime","2003-09-06 16:59:00"
"current_moodid","44"
"url","http://rarfaces.livejournal.com/5448.html"
"userid","12605"
"itemid","20"
"event","Honestly you guys... I'm so sick of this.. I'M NOT GOING TO PROM CRAP. What's with you guys?!"
"eventtime","2003-03-20 19:15:00"
"url","http://rarfaces.livejournal.com/5250.html"
"userid","12605"
"itemid","19"
"event","What do you hope senior year to be like? 
<3, Laura"
"eventtime","2003-03-20 09:36:00"
"url","http://rarfaces.livejournal.com/4966.html"
"userid","12605"
"itemid","18"
"event","Wow, I just want to say to ALL of you girls...AWESOME JOB WITH YOUR SPEECHES TODAY!!  I honestly believe that all of you are MORE THAN qualified for the positions, and that you would all make contributions totally beneficial to our student council, and to our school!  I'm so happy for all of you, and good luck and congratulations to everyone!

~Andi"
"eventtime","2003-03-13 19:35:00"
"url","http://rarfaces.livejournal.com/4859.html"
"userid","12605"
"itemid","17"
"event","so hows it all going down right now?! is everyone gonna have a date but me or wut?! cuz i really don't wanna be the only one without a date!! i could go with my other friends but i'm haveing some major issues with some of them, and some other people well just don't wanna do what they are gonna do , i just think when it comes to stuff like this i think i enjoy being with you guys way more than some of them. PF Changs!! Yum Yum!! Prom Pictures!! Pretty Dresses!! haha i'm excited!!
clara"
"eventtime","2003-03-12 20:56:00"
"url","http://rarfaces.livejournal.com/4428.html"
"userid","12605"
"itemid","16"
"event","<marquee><b>HAPPY 17TH BIRTHDAY SHEENA!!!!</b></marquee>

Happy birthday to you. Happy birthday to you. Happy birthday dear Sheena. Happy birthday to you!!!!!!"
"eventtime","2003-03-10 22:04:00"
"url","http://rarfaces.livejournal.com/4103.html"
"userid","12605"
"itemid","15"
