"names","values"
"itemid","11"
"event","<font style=""font-size: 11px"">OMGWTF?! A POST THAT ISN'T ANGSTY?!?!?!?! OMGYES. An idealist reborn and an idiot nonetheless. I patched things up with that certain person, reignited most of the band, wrote and compiled four new songs, and totally like, became awesome. If that makes any sense. It may just be my egotistical ranting. Either way, I'm feeling damn good.

The days are looking good. The skies are looking good. My friends are looking good. And hell, even I'm looking good. I can't get out of this oh-so-optimistic mood that has me entranced. And I'm listening to Thought Riot once again, this time ""On Friends and Mistakes"", a song that really well summed up some of my feelings over the past week or so. I'm such a mood-swinging bastard, aren't I?

So like, joy to the world, peace and good will towards men (and women), and a signed copy of Shattered Mirror Syndrome, including exclusive Thought Riot patch, for all!</font>"
"eventtime","2004-01-24 00:07:00"
"current_moodid","105"
"url","http://resoundingcynic.livejournal.com/3017.html"
"userid","12796"
"itemid","10"
"event","<font style=""font-size: 11px"">A question I ask myself nearly every day now. It seems like my efforts were out of boredom as a motivation more than they should have been. I've caught the apathy bug once again and can't shake it. I'm completely losing my motivation to go out and improve the world and improve myself. I can't get over how much of an ass I was to one of my oldest friends a few days ago. The band is still on hiatus. I can't even fucking transform my feelings into song format. I'm losing all motivation to do anything. Within a month or so's time, I'll even be leaving high school forever. What the hell am I supposed to do now? I've hit the greatest roadblock of my entire life. Even running is becoming less enjoyable by the day and now more of a chore than a good time. 

I can't focus on anything, either. Today I had to go through two horrendously easy finals. Or at least, they would have been that easy had I not been so incredibly out of focus. I can't even focus on philosophy anymore, so how the hell am I expected to complete some complex report on Hume within days? How am I supposed to revamp my band? How the hell am I supposed to do anything that involves getting off my lazy ass? Motivation has been sucked from my body. I'm lifeless, loveless, and careless. ALl of which equal my worst possible state of mind: Apathetic and Moody. Which in turn mixes into one hell of a nasty cocktail.

Oh yeah, and no Thought Riot today. My listening streak ended Tuesday morning. Gash now has my complete attention.</font>"
"eventtime","2004-01-21 22:26:00"
"current_moodid","114"
"url","http://resoundingcynic.livejournal.com/2787.html"
"userid","12796"
"itemid","9"
"event","<font style=""font-size: 11px"">Guess what I did today? Yep, listened to Thought Riot all day. The song of choice today seems to be ""A Song in Response to..."", which I can't remove from my head after today's 10+ hours of listening to just it. And I've memorized the words and can imitate Marc's voice to the highest note on it now. What do you know? Should I be labeled a fanboy now? Or later? Doesn't matter anyway. Thought Riot rocks and that's all that matters here.

And I tried to go through an entire day being positive, and it didn't seem to do too much of anything for me. Ya know? I don't really know how people get off like they do on being so positive all the time. And the majority of the time it's like they have repressed feelings of guilt and/or sadness inside that needs to be let out. Something I discovered today in the form of a friend. For now this friend will be unknown, but I'll call her ""Sally"" Now Erica, erm, I mean ""Sally"" has pretty much been the epitome of positivity and happiness since I met her just before the school year started up. And she was damn cute all the time too, but that shouldn't matter. 

Fact is, today she totally broke down when we were talking about hiding oneself. She was surprisingly philisophical one, too. But once again, that shouldn't matter. When I said something along the lines of ""Anyone totally faking themselves out has got to be an idiot. I just don't see how I could have respect for actions like that."" she totally broke down. It was the most emotional scene I had watched in months. And it moved me. Now you must think ""Pshaw! That bastard Kou could never be emotionally moved."" but it's all too true. I struck a chord that I shouldn't have struck and it seemingly has costed me dearly. As it turns out, she had repressed depression and emotional problems that she had been working through for a few months, and I sat there completely blanked out and unknowing what to say for about four minutes of silence. And what did I say to break the silence ""You know what? I think I'm gonna leave now."" You fucking idiot Kouketsu.</font>"
"eventtime","2004-01-18 22:38:00"
"current_moodid","101"
"url","http://resoundingcynic.livejournal.com/2361.html"
"userid","12796"
"itemid","8"
