"names","values"
"itemid","63"
"event","I am so excited! :) I get to see my brother Robby tomorrow!! I am leaving right after school today to go to Great Lakes/Chicago! We might get to spend Thanksgiving with him! He is graduating into the NAVY so thats cool....Yeah and I am gonna have him call Erin :) Haha! This is gonna be so fun....Erin <3 Robby hehe 0=).... 

Sarah, one time blind is SOOOOO amazingly awesome! Oh yes I am cool like that! Haha! You are sooo getto! Awesome Dude!! Getto Women! And your mom's M&M cookies are AMAZING! I have ate like 50 of them haha! Great times at your house. And then this morning...Well it didnt really take that long...No the color of it! Haha! If anyone is more blonde than me its you! Just like you are more amused with things than mike! Fun Fun! haha Oprah's favorite things! Errrrg!! Haha! I want that tv that they all got.

Well, I am in 7th hour right now! Party woohoo!! Then i am going home, packing, libary to return some books, airport so my dad can fly all of us down there to see Rob :), then party at the hotel.

Well later cause I am gonna party in the hiz school...Sorry I aint as getto as sarah :( *tear*

Paul Harvey *smiles* Good Day!

xXx Ebby xXx"
"eventtime","2004-11-23 14:22:00"
"current_moodid","41"
"url","http://rockish44.livejournal.com/16311.html"
"userid","12948"
"itemid","62"
"event","I am sooooo excited!! Sarah and Olivia known why!! =D 

I can't wait until youth group Thursday!! Gymball Olympics 2!! Yay!! I am gonna bring a few people cause we have to try and reach 200 or more people to attend! :) I am gonna beat you Sarah!! Haha!! Well...I am gonna go watch School of Rock again! :) later!

Paul Harvey *Smiles with a HUGE grin* Good Day!!"
"eventtime","2004-11-15 15:31:00"
"current_moodid","42"
"url","http://rockish44.livejournal.com/15947.html"
"userid","12948"
"itemid","61"
"event","Laura thank you SOOOO much!! You are the greatest! My live journal looks amazing!! I love it!! And also thanks Deanna for telling me that Laura was such a great and nice friend! She helped just like you said she would!! I love both of you guys!! Thank you thank you thank you!! :)"
"eventtime","2004-11-15 00:42:00"
"current_moodid","41"
"url","http://rockish44.livejournal.com/15849.html"
"userid","12948"
"itemid","59"
"event","<P>It has been SOOO long since I wrote in this thing! Yeah, well a lot has gone on since then. Haha! Like Ashley...Oh you said Joe's we thought you said the Cider Mill *wink wink* And Claire and Jackie...CHAIN SAW MAN! Ashley and Claire that was a blast haha! Lucy and Ethal! Reminds me of a Kevin Little song I once heard! Great times you guys! Ashley: TRY THIRTEEN!&nbsp;...... Claire: Skittles.....Taste the Rainbow, Did you ever notice they were talking about gay guys? ....&nbsp; Anna: Tomorrow is Saturday...Oh Well ya tomorrow is SURPRISE PRETEND YOU HAVE SCHOOL-A-THON DAY! ...... Hil: The Evil Crane! .... Jack: Indeed, and uhhhh what else? Oh Yeah! I was like JACK JUST TELL THEM HE IS OVER THERE SO I CAN JUST GET MY REESE CUPS!! You were like JUST LET HER GET HER REESE CUPS! Haha! I love you! You are the greatest friend ever! :) And then the gay thing and when I drooled on my shirt when all of us were talking! Haha! Sarah: Godslil<STRONG><U>blondie</U></STRONG>09 is right! haha! And with Nicole...(Nicole) WEE WOO WEE WOO *high* (Me) WEE WOO WEE WOO *low* (Sarah) BART BART BART BART! Haha!</P>
<P>&nbsp;</P>
<P>Youth Group is soooo amazing! It's awesome! Sarah invited me there one time and I feel in love with it! It is SOOOOOO much fun! All the people there are great, You learn great things about God and the Bible, and a bunch more. But also we play games like DEATHSTICK! Haha Sarah! I LOVE that game! Well I am get tired so I think I will just write more later! :) Later! </P>
<P>&nbsp;</P>
<P>Paul Harvey *yawns* Good Night!</P>"
