"names","values"
"itemid","105"
"event","<P>okay so i'm going through my whole journal and making them friends only and i realize there's so many to make friends only sooo i'm not gonna bother and i'm just gonna make a new journal</P>
<P>&nbsp;</P>
<P><lj user=""xthis_is_murder"" /> </P>
<P>addddd meeee loves</P>"
"eventtime","2004-08-11 15:33:00"
"url","http://ruined-by-rain.livejournal.com/27053.html"
"userid","13079"
"itemid","103"
"event","<P>okay.. so i just ordered my ticket yayyyyy</P>
<P>here's the line up</P>
<P>
<TABLE borderColor=#ffffff cellSpacing=0 cellPadding=3 width=570 align=center border=1>
<TBODY>
<TR>
<TD bgColor=#f5d111>
<DIV align=left>
<TABLE cellSpacing=2 cellPadding=0 width=130 border=0>
<TBODY>
<TR>
<TD><FONT face=""Verdana, Arial, Helvetica, sans-serif"" size=1><STRONG>NORTH STAGE</STRONG></FONT></TD></TR></TBODY></TABLE><FONT face=""Verdana, Arial, Helvetica, sans-serif"" size=1></FONT></DIV></TD>
<TD bgColor=#f5d111>
<DIV align=left>
<TABLE cellSpacing=2 cellPadding=0 width=130 border=0>
<TBODY>
<TR>
<TD><FONT face=""Verdana, Arial, Helvetica, sans-serif"" size=1><STRONG>SOUTH STAGE</STRONG></FONT></TD></TR></TBODY></TABLE><FONT face=""Verdana, Arial, Helvetica, sans-serif"" size=1></FONT></DIV></TD>
<TD bgColor=#f5d111>
<DIV align=left>
<TABLE cellSpacing=2 cellPadding=0 width=130 border=0>
<TBODY>
<TR>
<TD><FONT face=""Verdana, Arial, Helvetica, sans-serif"" size=1><STRONG>MAURICE STAGE</STRONG></FONT></TD></TR></TBODY></TABLE><FONT face=""Verdana, Arial, Helvetica, sans-serif"" size=1></FONT></DIV></TD>
<TD bgColor=#f5d111>
<DIV align=left>
<TABLE cellSpacing=2 cellPadding=0 width=130 border=0>
<TBODY>
<TR>
<TD><FONT face=""Verdana, Arial, Helvetica, sans-serif"" size=1><STRONG>VOLCOM STAGE</STRONG></FONT></TD></TR></TBODY></TABLE><FONT face=""Verdana, Arial, Helvetica, sans-serif"" size=1></FONT></DIV></TD></TR>
<TR>
<TD vAlign=top>
<TABLE cellSpacing=2 cellPadding=5 width=140 border=0>
<TBODY>
<TR>
<TD class=body vAlign=top><SPAN class=body><FONT face=""Arial, Helvetica, sans-serif"" size=1><STRONG>New Found Glory</STRONG></FONT></SPAN></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1><STRONG>Coheed &amp; Cambria</STRONG></FONT></TD></TR>
<TR>
<TD class=body vAlign=top>
<DIV class=body align=left><FONT face=""Arial, Helvetica, sans-serif"" size=1><STRONG>Taking Back Sunday</STRONG></FONT></DIV></TD></TR>
<TR>
<TD class=body vAlign=top>
<DIV class=body align=left><FONT face=""Arial, Helvetica, sans-serif"" size=1><STRONG>Flogging Molly</STRONG></FONT></DIV></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1><STRONG>Anti Flag</STRONG></FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>Bouncing Souls</FONT></TD></TR>
<TR>
<TD class=body vAlign=top>
<DIV class=body align=left><FONT face=""Arial, Helvetica, sans-serif"" size=1>Bad Religion</FONT></DIV></TD></TR></TBODY></TABLE></TD>
<TD vAlign=top>
<TABLE cellSpacing=2 cellPadding=5 width=140 border=0>
<TBODY>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1><STRONG>Yellowcard</STRONG></FONT></TD></TR>
<TR>
<TD class=body vAlign=top>
<DIV class=body align=left><FONT face=""Arial, Helvetica, sans-serif"" size=1>Story of the Year</FONT></DIV></TD></TR>
<TR>
<TD class=body vAlign=top>
<DIV class=body align=left><FONT face=""Arial, Helvetica, sans-serif"" size=1>Atmosphere</FONT></DIV></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>Sugarcult</FONT></TD></TR>
<TR>
<TD class=body vAlign=top>
<DIV class=body align=left><FONT face=""Arial, Helvetica, sans-serif"" size=1>International Noise Conspiracy</FONT></DIV></TD></TR>
<TR>
<TD class=body vAlign=top>
<DIV class=body align=left><FONT face=""Arial, Helvetica, sans-serif"" size=1>Tiger Army </FONT></DIV></TD></TR></TBODY></TABLE></TD>
<TD vAlign=top>
<TABLE cellSpacing=2 cellPadding=5 width=140 border=0>
<TBODY>
<TR>
<TD class=body vAlign=top><SPAN class=body><FONT face=""Arial, Helvetica, sans-serif"" size=1><STRONG>Rise Against</STRONG></FONT></SPAN></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1><STRONG>The Casualties</STRONG></FONT></TD></TR>
<TR>
<TD class=body vAlign=top>
<DIV class=body align=left><FONT face=""Arial, Helvetica, sans-serif"" size=1><STRONG>Rufio</STRONG></FONT></DIV></TD></TR>
<TR>
<TD class=body vAlign=top>
<DIV class=body align=left><FONT face=""Arial, Helvetica, sans-serif"" size=1><STRONG>Allister</STRONG></FONT></DIV></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1><STRONG>Avenged Sevenfold </STRONG></FONT></TD></TR>
<TR>
<TD class=body vAlign=top>
<DIV class=body align=left><FONT face=""Arial, Helvetica, sans-serif"" size=1><STRONG>Matchbook Romance</STRONG> </FONT></DIV></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>Billy Talent</FONT></TD></TR></TBODY></TABLE></TD>
<TD vAlign=top>
<TABLE cellSpacing=2 cellPadding=5 width=140 border=0>
<TBODY>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>Guttermouth</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>ASG</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>A Faith Called Chaos</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1>The Briggs</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>Washington Social Club</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>Fall Out Boy</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1><STRONG>Alexis on Fire</STRONG></FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1><STRONG>Letter Kills</STRONG></FONT></TD></TR>
<TR>
<TD class=body vAlign=top>
<DIV class=body align=left><FONT face=""Arial, Helvetica, sans-serif"" size=1>Rose Hill Drive</FONT></DIV></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>The Kinison </FONT></TD></TR></TBODY></TABLE></TD></TR>
<TR>
<TD bgColor=#f5d111>
<TABLE cellSpacing=2 cellPadding=0 width=130 border=0>
<TBODY>
<TR>
<TD><FONT face=""Verdana, Arial, Helvetica, sans-serif"" size=1><STRONG>LYMAN SAYS </STRONG></FONT></TD></TR></TBODY></TABLE></TD>
<TD bgColor=#f5d111>
<TABLE cellSpacing=2 cellPadding=0 width=130 border=0>
<TBODY>
<TR>
<TD><FONT face=""Verdana, Arial, Helvetica, sans-serif"" size=1><STRONG>SMARTPUNK </STRONG></FONT></TD></TR></TBODY></TABLE></TD>
<TD bgColor=#f5d111>
<TABLE cellSpacing=2 cellPadding=0 width=130 border=0>
<TBODY>
<TR>
<TD><FONT face=""Verdana, Arial, Helvetica, sans-serif"" size=1><STRONG>ERNIE BALL </STRONG></FONT></TD></TR></TBODY></TABLE></TD>
<TD bgColor=#f5d111>
<TABLE cellSpacing=2 cellPadding=0 width=130 border=0>
<TBODY>
<TR>
<TD><FONT face=""Verdana, Arial, Helvetica, sans-serif"" size=1><STRONG>UPROAR</STRONG></FONT></TD></TR></TBODY></TABLE></TD></TR>
<TR>
<TD vAlign=top>
<TABLE cellSpacing=2 cellPadding=5 width=140 border=0>
<TBODY>
<TR>
<TD class=body vAlign=top><FONT size=1>Planetsmashers</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>ZOX</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>Oreon</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>Jersey</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>Eden Row </FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>Audio Karate</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>Amber Pacific </FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>Breaking the Silence</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>Melee</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>Rolling Blackouts </FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>Early Man </FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT face=""Arial, Helvetica, sans-serif"" size=1>Number One Fan</FONT></TD></TR></TBODY></TABLE></TD>
<TD vAlign=top>
<TABLE cellSpacing=2 cellPadding=5 width=140 border=0>
<TBODY>
<TR></TR>
<TR>
<TD class=body vAlign=top><FONT size=1><STRONG>Silverstein</STRONG></FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1><STRONG>From First To Last</STRONG></FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1>Tokyo Rose</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1><STRONG>Hidden In Plain View</STRONG></FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1>Brazil</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1>Dynamite Boy</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1><STRONG>Underoath</STRONG></FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1><STRONG>Bayside</STRONG></FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1>Underminded</FONT></TD></TR></TBODY></TABLE></TD>
<TD vAlign=top>
<TABLE cellSpacing=2 cellPadding=5 width=140 border=0>
<TBODY>
<TR>
<TD class=body vAlign=top><FONT size=1>Holiday</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1>Ambry</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1><STRONG>Plan B</STRONG></FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1>The Skeptics</FONT></TD></TR></TBODY></TABLE></TD>
<TD vAlign=top>
<TABLE cellSpacing=2 cellPadding=5 width=140 border=0>
<TBODY>
<TR>
<TD class=body vAlign=top><FONT size=1>Fire When Ready</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1>Break the Silence</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1>Amity</FONT></TD></TR>
<TR></TR>
<TR>
<TD class=body vAlign=top><FONT size=1>A Wilhelm Scream</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1>The Matches</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1><STRONG>Boys Night Out</STRONG></FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1>Days Like These</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1>Lightweight Holiday</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1>Staring Back</FONT></TD></TR>
<TR>
<TD class=body vAlign=top><FONT size=1>Nor AM I</FONT></TD></TR></TBODY></TABLE></TD></TR></TBODY></TABLE></P>"
"eventtime","2004-08-09 14:43:00"
"url","http://ruined-by-rain.livejournal.com/26576.html"
"userid","13079"
