"names","values"
"itemid","60"
"event","So as of yesterday, I am now working at Appleebees' on Cedar. I'm happy that I will finally be making some money...which needs to go towards college, a new car (if you've seen my '92 Cavelier you would know why,) and uh.. yea clothes and accessories :) ahh i will be so happy when I can shop again haha. 

Oh and I am SO PISSED because... James and Brandon's birthday are coming up this October so I thought, oh well I want to do something really nice for them. I wanted to get us all tickets to go see Coheed and Cambria at the State Theater but of course...no floor tickets were available. So I'm like shit. Well last night we're chilln at Ben and Tyler's and Chris comes walking in with the tickets and on them they say MN FLR.   


....
 .....

ok stupid bitch at Marshall Fields told me that there were no more floor tickets. I'm going to set the mall on fire. 

But I'm REALLY excited because its Fall and that means Haunted Houses, Cornmazes, Haunted Hay rides, Pumpkin Patches, Apple Cider and Donuts, and of course HALLOWEEN!
We're going to be going to a Haunted Corn maze in Williamston very soon so if ya'll wanna come just call us!



have a great day! adios..."
"eventtime","2005-09-30 14:46:00"
"current_moodid","125"
"url","http://ruthifer.livejournal.com/15478.html"
"userid","13116"
"itemid","59"
"event","QUICK!                STARING CONTEST!





































Ahhh ha ha haaa. You won....You always do..."
"eventtime","2005-09-19 20:28:00"
"current_moodid","125"
"url","http://ruthifer.livejournal.com/15267.html"
"userid","13116"
"itemid","58"
"event","Ugh. I woke up today and I have that feeling that you get right before you start getting sick...DANGIT!

So I am super excited!!! Thanks to BRANDON, I will be getting back into lacrosse so thats sweet. He e-mailed everyone to see if there were any leagues and the only one is through the Summit. Its crazy that lacrosse isn't that big...I mean com 'on...It is a SWEET ass sport. They use to have it at Soccer Zone but for men only. Now they don't even have it because they just can't find enough people that want to play.

So I will be doing some referring (sp?) for some lil lax players and I'm excited b/c I'll get to wear a hot ass striped shirt w/ a kilt and oooo A WHISTLE. How sexy. But I have to go into training for it too, but that's fine. I know all the rules. 

And thennnnn.... ******* yayyyyy  in DECEMBER...the first Sunday...I will get to play in a 12 week program!!! I am SO EXCITED I cannot wait to play again you have noooo idea. Omg...I hope that there will be some people who can actually play good b/c I want some competition. And if they have never played before...shoot I will not go easy on them. I am going to kick some lady ass and make as many people as possible cry BRAR HAR HAR HARRR. I am so ready. I loooove faking people out I'm so good at that too. A bunch of you better come and watch me :) I'll put on a good show for you  *wink

I'm excited that I get to play lax here. I was crying as soon as I got back b/c I thought that I would never get to play again but nowww i can!

The Four Brothers movie was ok, Brandon and I saw it last night. The begginning was kinda so-so...but then of course when all the action and shit goes down it turned out to be a good movie. I dont think I would buy/rent it though to watch it again. But it had a lot of hockey in it and that makes me want to play hockey really bad. So since Brandon is big into hockey I can't wait till snow so that we can get a gang together and play around. That would just be sweet as fuck hands down :)

k adios!"
"eventtime","2005-09-13 11:59:00"
"current_moodid","4"
"url","http://ruthifer.livejournal.com/14980.html"
"userid","13116"
"itemid","57"
"event","My dog just puked and now he's eating it back up....




Ha SWEET now I don't have to clean it up!!!    :)"
"eventtime","2005-09-09 01:31:00"
"current_moodid","49"
"url","http://ruthifer.livejournal.com/14732.html"
"userid","13116"
"itemid","56"
"event","So wow, I might be coming back to Holt. Life sucks sometimes. My reasons for leaving Notre Dame: They don't have my major so its hard finding classes that'll help me, it IS in Ohio...i mean gimmee a break, it is a lot of money to be going here basically just to play lax, if i go then I can go to LCC spring sememster and during the summer (its cheaper and they do have a Physical Therapy program,) I'll be able to save up money going to LCC and working full time during fall sem so that i can get a new car and also go to a transfering college like Grand Valley, U of M in Flint, or Central since they have good P.T. programs, i would be able to help coach the Holt girls Lax team (and this is my sisters first yr playing so i could coach her too :) , and also...i miss brandon. 
Reasons for Staying at NDC: My girls, my team, my sport. Lacrosse is my life, its my #1 love (i love u too brandon so shush) and who gets a chance to be the first...and i think only person from Holt to get a scholorship for lacrosse? Not many people can play lax in college, and its tough as hell to do it at a higher level; its a priviledge. I told my teamates today about me leaving. Kylie the Australian cried. That makes me so sad. Thats like a kick to the stomach. And everyone started finding out and were IMing me and coming up to my room to tell me to stay. That hard...but realistically...i can't waist money soley to play lax, and furthermore its not really helping me out career wise to stay here. ::sigh::  I will miss my girls. They're everything to me, I love them.    All I can think about is Kylie crying.

So, Tuesday night I will be back home. The next day I will get a job at Coach's b/c its right down the road from me so I dont have to worry so much about gas. Plus, they already said I got the job. So its working full-time, and then spring sem its balancing School, Work, Coaching, and Brandon :)  I know you'll be there for me punk, I'm just happy that I will see your face again. Ha, you and your cute smirky smirks. 

Growing up is hard huh."
"eventtime","2005-09-03 00:08:00"
"current_moodid","101"
"url","http://ruthifer.livejournal.com/14427.html"
"userid","13116"
"itemid","55"
