"names","values"
"itemid","493"
"event","Well, it's been some time since i posted, so I figured I would let you all know what I am doing with my exercise regimen.

Stretching
1 mile run (yes, 1 mile - that's the first time I've ever been able to do that)
Cores (abs/back type work)
Weights (I alternate bis/tris delts, chest/back, and legs - I use free or assisted weights, depending on the exercise, 10-12 reps per weight)
20 minutes on either the cross-trainer or the step climber - a hard mode (endurance or strength training).
Cool Down.

It's about an hour and feels great.

Current Weight: 178.5

Beginning of this: 239.5

Goal is 175 even.

- Rich"
"eventtime","2009-02-25 21:26:00"
"url","http://saratoga80.livejournal.com/126418.html"
"userid","13299"
"itemid","492"
"event","<table width=350 align=center border=0 cellspacing=0 cellpadding=2><tr><td bgcolor=""#EEEEEE"" align=center>
<font face=""Georgia, Times New Roman, Times, serif"" style='color:black; font-size: 14pt;'>
<strong>You Are a Cartographer</strong>
</font></td></tr>
<tr><td bgcolor=""#FFFFFF"">
<center><img src=""http://www.blogthingsimages.com/whatsyourmedievalprofessionquiz/cartographer.jpg"" height=""100"" width=""100""></center>
<font color=""#000000"">
You have a wide range of knowledge and you're very detail oriented.<br />
You have a photographic memory, and you remember places very well.<br />
<br />
Like a middle ages cartographer, you're also very adventurous and curious about the world.<br />
In modern times, you would make a good non-fiction writer or scientist.
</font></td></tr></table>
<div align=""center""><a href=""http://www.blogthings.com/whatsyourmedievalprofessionquiz/"">What's Your Medieval Profession?</a></div>

In modern times, I *AM* A Cartographer..."
"eventtime","2009-02-15 21:37:00"
"url","http://saratoga80.livejournal.com/125987.html"
"userid","13299"
"itemid","491"
"event","Andy's quote of the day after eating a random Christmas Candy, biting the ""J"" off of Joy. Must be Hannukah."
"eventtime","2008-12-23 21:11:00"
"url","http://saratoga80.livejournal.com/125711.html"
"userid","13299"
"itemid","490"
"event","It's officially 60 pounds lost as of today. 

Start = 239.5

Current = 179.5

4.5 more to go to achieve goal weight of 175."
"eventtime","2008-12-15 22:05:00"
"url","http://saratoga80.livejournal.com/125490.html"
"userid","13299"
"itemid","489"
"event","""Daddy, can I have a dreidel for Christmas?""

*chuckle*"
"eventtime","2008-12-10 22:42:00"
"url","http://saratoga80.livejournal.com/125427.html"
"userid","13299"
"itemid","488"
"event","Happy Thanksgiving Everyone!"
"eventtime","2008-11-27 14:32:00"
"url","http://saratoga80.livejournal.com/124935.html"
"userid","13299"
"itemid","487"
"event","Would be completely superfluous.

Today, it is between 75-85 with a chance (slight) of rain.

TOmorrow, it will be between 75-85 with a chance (slight) of rain.

The rest of the week, it will be between 75-85 with a chance, however slight, of rain.

I'm not complaining, just noting that our channel #23 in the area where I live has no use here - and it's largely south of Hurricane alley.

Mango smoothie, anyone?"
"eventtime","2008-11-26 20:48:00"
"url","http://saratoga80.livejournal.com/124808.html"
"userid","13299"
"itemid","486"
"event","Cullen's ""Headless Horseman"" outfit won first place. Gotta admit, it's awesome."
"eventtime","2008-11-01 13:22:00"
"url","http://saratoga80.livejournal.com/124557.html"
"userid","13299"
"itemid","485"
"event","<p><em>Your result for Howard Gardner's Eight Types of Intelligence Test...</em></p><h4>Intrapersonal</h4><p>8% Logical,  20% Spatial,  47% Linguistic,  49% Intrapersonal,  20% Interpersonal,  29% Musical,  6% Bodily-Kinesthetic and  45% Naturalistic!</p><p style=""text-align:center""><img src=""http://cdn.okcimg.com/php/load_okc_image.php/images/0x0/0x0/0/17919296717967627799.gif"" width=""330"" height=""435"" /></p>
    					<div><p>""This area has to do with introspective and self-reflective capacities. Those who are strongest in this intelligence are typically introverts and prefer to work alone. They are usually highly self-aware and capable of understanding their own emotions, goals and motivations. They often have an affinity for thought-based pursuits such as philosophy. They learn best when allowed to concentrate on the subject by themselves. There is often a high level of perfectionism associated with this intelligence.</p>
<p>Careers which suit those with this intelligence include philosophers, psychologists, theologians, writers and scientists."" (Wikipedia)</p></div><p><a href=""http://www.helloquizzy.com/tests/howard-gardners-eight-types-of-intelligence-test"">Take Howard Gardner's Eight Types of Intelligence Test</a> at <a href=""http://www.helloquizzy.com/""><b style=""color:#131313""><span style=""color:#ac000c"">H</span>ello<span style=""color:#ac000c"">Q</span>uizzy</b></a></p>"
"eventtime","2008-10-26 19:47:00"
"url","http://saratoga80.livejournal.com/124400.html"
"userid","13299"
"itemid","484"
"event","Per request, I am updating my journal.

Bills are good. Sabres are good. 

Consider yourself updated. ;-)"
"eventtime","2008-10-14 22:07:00"
"url","http://saratoga80.livejournal.com/123972.html"
"userid","13299"
"itemid","483"
