"names","values"
"itemid","85"
"event","whoa...i played 18 holes today...very fun time...uh...SKOOLS OVER!!! w00t...umm.had a math exam today that was sooo hard...i did bad i think..ok..not much else to say"
"eventtime","2005-06-23 22:15:00"
"current_moodid","15"
"url","http://sgtpeppers1960s.livejournal.com/21963.html"
"userid","13592"
"itemid","84"
"event","ya..so its the weekend..and i'm happy"
"eventtime","2005-06-19 21:34:00"
"current_moodid","15"
"url","http://sgtpeppers1960s.livejournal.com/21733.html"
"userid","13592"
"itemid","83"
"event","so ya....today is thursday"
"eventtime","2005-06-16 19:50:00"
"current_moodid","113"
"url","http://sgtpeppers1960s.livejournal.com/21399.html"
"userid","13592"
"itemid","82"
"event","i went to erie,PA today and i got the new foo fighters cd(excellent) and reno 911 season two dvd(shwing shwing) and sum clothes....uh...still feeling down just a lil...not relly happy but not depresssed...i'm actually going to hang oot with frends soon which i havent done in like forever it seems and i dont have any exams till friday so this is my summer vacation relly so..ya...nnot much else to say...
peace out
matt socha"
"eventtime","2005-06-15 15:32:00"
"current_moodid","92"
"url","http://sgtpeppers1960s.livejournal.com/21107.html"
"userid","13592"
"itemid","81"
"event","no band practice today due to that no one can make it cuz of exams...ERRRRR...i have an exam on tuesday...i aint studying for it yet..its english..and then spanish on friday...two joke exams this coming week..ya..so i'm stuck home today doing nuthing...this is really depressing"
"eventtime","2005-06-11 10:41:00"
"current_moodid","2"
"url","http://sgtpeppers1960s.livejournal.com/20839.html"
"userid","13592"
"itemid","80"
"event","hey..i got a new job answering phones and its sooooo goood....it'll be boring but it'll let me study for my exams and stuff...ya soo i;m excited bout that i like to work its good..ya..umm..ok thats about it..i got my year book..which is soo cool and i love yearbooks i like looking at peoples picss and reading there messages..thats bout it"
"eventtime","2005-06-08 21:07:00"
"current_moodid","41"
"url","http://sgtpeppers1960s.livejournal.com/20714.html"
"userid","13592"
"itemid","79"
"event","weekends over..one week left and then a monday and then exams...i start working june 27th...yeppp soooooo sooooooo funnn....i'll be filthy stinking rich..well not filthy or stinking..ummm...ya..so not much else...my band got a gig but we cant play it cuz we aint ready yet =(....oh well i wrote sum stuff pretty good too..my fav is black acid blues"
"eventtime","2005-06-05 21:57:00"
"current_moodid","126"
"url","http://sgtpeppers1960s.livejournal.com/20306.html"
"userid","13592"
"itemid","78"
