"names","values"
"itemid","5"
"event","As for me you that have searched who directly, 
crossing the town which is I of loitering, 
inquiring about the thing which shouts directly with yell
your slurping which is the fair my back section yard 
with me who dry lonely now which is not obtained 
around the thing which thinks you yourself 
unfortunately the eye which cries being to sit down, 
therefore you walk Sleazin temporarily 
and so you think of the groove in uptight 
which it turns me concerning the thing you do not have to obtain

When I come, 
the time when somewhere I can find
the world is searched around the cause you have not known

I so it meaning that I have known your right, 
am the loser and the user with me and therefore I the prosecution person tried me, 
slag before is not good hitting under my door which is not needed, 
heard that entirely
that it is wise it means, 
there without being at all so does those which verify 
that perhaps and your self doubt and does it finds that like do

If that the fair right forcing what it is not possible to go

When I come, when I come, 
the time when somewhere I can find 
the world is searched around the cause you have not known"
"eventtime","2005-08-30 17:35:00"
"url","http://sing-engrish.livejournal.com/1360.html"
"userid","13956"
"itemid","4"
"event","Did he lose that heart?
As for him it can see or is he the blind person? 
If he is walking at all and applies and/or or moves his time
He has lived or it has died? 
Is he thought inside that head? 
We worry us exactly, why it should, whether is, is he transferred there?

He turned in the steel
iron of the great magnetic field 
him future time of the time 
mankind when it travels

You do not think that everyone him want
him who scrutinizes the world 
where he eventually plans 
that vengeance of unfurl exactly,

Between today for the person of the iron 
which expands the vengeance of fear 
from murder of the grave 
he one time is people here which is rescued

Current he whom you do not think
that we want him who turns the head
where no one or those exactly
no one help him possesses that vengeance

The boots where the lead is heavy 
when for the second time
it can use the iron on life of the person, 
fill up that victim of dread running fast sufficiently!"
"eventtime","2005-08-17 20:25:00"
"url","http://sing-engrish.livejournal.com/1089.html"
"userid","13956"
"itemid","3"
"event","As for me and me on that tobacco 
which morning sort rises to the light/write quickly the shoes of my feet 
my money which is bound with the string 
which obtains the fact that the reason is found 
it goes completely and whether I why obtained dalmation, 
as for me can be able perform the guitar still my mother 
very like the riot and become high thing of the reason 
by mistake to keep being obtained the fact that the reason is found

good, life (runover obtain to excessively to short) be, 
therefore know or shock start to I bulletproof vest 
acquire be with I box from separated exact 
that never become small example fight obtain atmospherics 
never obtain know be you take I from point to you gold acquire entire, 
give that entire obtain charity to one dear do
It is something where from Long Beach 
where as for love I among my ranges is that and obtain straight sublimation style 
comes returning still that entirely in you, 
it is worthy of to attempt, 
when the dance which I do not begin becomes hot being divided in order 
to obtain the love which is useful to something 
which obtains the riot where you feel that those which are tested finally it obtains

It is something which I who the fact that to those which I who loving, 
me who have been loved loving the fact
that it is something which I who am in those 
which I who said that you have remembered obtain obtain, 
me called that it loves and, have remembered obtain is, 
me called and have remembered obtain

As for my dog my mother where I do not raise the stomach 
when the bottle smoke it seems, it goes to fucking and fight of the stone just, 
must pay pot collision to me, in the bill me the stomach is not raised, 
when it moves, I why do not shout, 
it is, the only method of being restricted to the health 
which is the same life everything of the Louie it permitted 
loving which is returned to me who permit the thing which loves, is

It is something which I who the fact that to those which I who loving, 
me who have been loved loving the fact
that it is something which I who am in those 
which I who said that you have remembered obtain obtain, 
me called that it loves and, have remembered obtain is, 
me called and have remembered obtain"
"eventtime","2005-08-14 16:10:00"
"url","http://sing-engrish.livejournal.com/791.html"
"userid","13956"
"itemid","2"
"event","No of Ohio state which has the conviction 
which as for load of the gun with that is outboard in order to do the pleasure 
her inclination which it should lose is, 
I accompany your friend who knows the word which becomes dirty,

Today, today, today, how it is low? 
Today, today, today, how it is low? 
Today, today, today, how it is low? 
Today, today, today,

As for that us the empty light/write here as for us us who now are held in heart 
the mosquito yay of the half black Shirako A of A 
me libido being foolishness, contagion characteristic thing 
us whom I who am held in the current heart which little is more dangerous here feel

I me improve, the group where we are small 
because of this gift which I feel with those which always has always met 
will to the edge are praised directly am worse,

Today, today, today, how it is low? 
Today, today, today, how it is low? 
Today, today, today, how it is low? 
Today, today, today,

As for that us the empty light/write here as for us us who now are held in heart 
the mosquito yay of the half black Shirako A of A 
me libido being foolishness, contagion characteristic thing 
us whom I who am held in the current heart which little is more dangerous here feel

And me it can grow and I presume or, doing the smile 
where I taste Ohio state exactly, or in me who 
why have been forgotten what kind of nevermind 
me that finding the well of hard that Ohio state, am hard and find

Today, today, today, how it is low? 
Today, today, today, how it is low? 
Today, today, today, how it is low? 
Today, today, today,

As for that us the empty light/write here as for us us who now are held in heart 
the mosquito yay of the half black Shirako A of A 
me libido being foolishness, contagion characteristic thing 
us whom I who am held in the current heart which little is more dangerous here feel
denial"
"eventtime","2005-08-13 01:31:00"
"url","http://sing-engrish.livejournal.com/762.html"
"userid","13956"
"itemid","1"
"event","<b>EXAMPLE:</b>

Roxanne
me, my heart it meaning that I have known that you do not speak
that therefore it is constituted according to of tonight
it is not necessary to put in place a certain red light 
which does not have the necessity to sell your body in the night 

Roxanne
If that the right as for me who do not have the necessity to place the red light
which does not have the necessity to learn those clothes for the money 
which you do not worry I must say as for me 

Roxanne
with those days of that you walk by mistake is whether,
or whether I feel that the alone I have known boy it does not share anymore 
exactly or, loved, in you for the second time 
that One time I not saying that it is bad method it was your making, 

Roxanne
it is not necessary to put in place the red light
Roxanne
which does not have the necessity for you to put in place the red light


<b>ANSWER: The Police - Roxanne</b>"
"eventtime","2005-08-12 17:29:00"
"url","http://sing-engrish.livejournal.com/336.html"
"userid","13956"
