"names","values"
"itemid","128"
"event","Not really fun...maybe. Tonight commences my rehearsals for my next opera. The opera is 2 1/2 hours and I sing about 1 1/2 hours of that. No, I'm not joking. I'll have a 90 piece orchestra playing under me that may just completely drown me out. We'll have to see about that. I'm singing with them for the first time on Saturday morning. First thought on that is...who the hell schedules an opera rehearsal at 10am on a Saturday?!?!? Do they not know that singers voices don't wake up until at least 11am? This will be interesting. I also have my first rehearsal with a pianist tonight. It's quite possible that I completely suck tonight. Everything is different with the piano part. All of a sudden you can't hear your own part in your head. I'd like to think I know all of it...tonight will be a good test.

So, my NY transition commences as well. The first potential employer has received my resume. Now, whether they throw it away or not is yet to be determined...but the effort is there! It's possible that I may have to be an RD again. NOT my first or maybe even second choice after being out of Res Life for 2 years, but if it can get me in the right direction, I'm all for it! 

As for men...well, I'm having coffee with my very attractive Italian (really, he's from Italy!) singer friend tomorrow night. We sang an opera together about a year ago and have kept in touch. There's nothing there, but at least I can spend an hour or so with a really attractive straight SINGER with an Italian accent... did I mention he calls me Bella? Hehe...nice."
"eventtime","2009-01-14 15:55:00"
"current_moodid","64"
"url","http://singinflute.livejournal.com/32987.html"
"userid","13961"
"itemid","127"
"event","Brace yourself...

So, I went on match.com the other night just to see who was on. Waste of my time really. Well, today I check my email and I got a wink from Dan. I stopped for a minute and realized it was probably his way of making a joke. I checked my email tonight and he sent an email saying he liked my pictures posted and especially one all the way to the right. Ummm... what do I say to that? Last time I checked, we broke up. Definitely need some wine...stat!"
"eventtime","2009-01-08 23:48:00"
"current_moodid","112"
"url","http://singinflute.livejournal.com/32561.html"
"userid","13961"
"itemid","126"
"event","I didn't have much to update on until today. Funny how that happens. Well, I'll start with the bad and end with the good. A couple days ago I had a serious thinking session about singing. Yes, I know I have a beautiful voice and that I'm hired quite a bit to sing...and even paid sometimes. The problem is...I can't support myself with it. It's quite frustrating to work 8 hours at a job you feel ""eh"" about; then go home and spend the last few hours of your day doing what you REALLY want to be doing...and be exhausted while doing it...and not get paid. IT SUCKS!- especially when you have two, yes TWO degrees in it. To be completely honest, I'm sick of it! I'm tired to driving to NY to sing my best at an audition (which I did 97% of the time this year) and get jack SHIT out of it. I understand that's the business but it gets old. Okay...rant over.

Did I mention I'm PMSing?

Anyways...good news is that I had a long talk with my coach last night and he gave me a few ideas. Basically, his response was that I'm being a lazy ass about my singing. To quote him...""You fit singing into your regular life...you should be fitting your life into your singing!"" I thought that was very well said and true. So...(yes, now on to the good news) when I got 2 emails today for auditions I KNEW I had to work around them. First, I have an audition with Chicago Lyric Opera. Not as big as the Met but still an AMAZING company to work for in an amazing city. I've already started looking for flights. I can't afford it or have time to take away from the next role I'm learning...but I'm going. Second, I received an audition in NY for Chelsea Opera. They're doing Suor Angelica...which I just sang the title role in back in October! So, there's no reason why I can't sing the shit out of that audition! It's on a Wednesday (highly inconvenient for traveling) but I already replied saying I accept. I may end up in a cardboard box by the time I'm done ""fitting my life into my singing"", but at least I can say I'm giving it everything I have!"
"eventtime","2009-01-06 22:29:00"
"current_moodid","48"
"url","http://singinflute.livejournal.com/32427.html"
"userid","13961"
"itemid","125"
