"names","values"
"itemid","22"
"event","<P>Well here's an update for the masses:</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Life's been a bitch and i've been bored out of my mind. I haven't found anyone cool to hang out with at school. I know people but they're same as the people at St.F . I hate not having friends, before I didn't think it would be that big of a deal not to have friends but now I know what all those kids without friends feel like but it feels like even they have friends. I haven't even seen anyone remotely pretty at my school they are a bunch of ""pansy valley girls"" as tanisnikana would say. I bet <U>she</U> is laughing at me, fucking bitch. UGH why can't i find some cool people to play World of Warcraft with or just someone to exchange manga with?! School has pretty much taken over my life and this winter break has been great and has given me a breather for a bit, but in&nbsp;a while school will start again and i'll have to bust my ass to get an A in chemistry just like last semester. I'd rather be living with my dad but i'm mom won't let me and i'm going to turn another age again soon. Not to vague is it? Good. </P>
<P>Bye all</P>"
"eventtime","2005-12-29 22:25:00"
"url","http://slydude202.livejournal.com/5759.html"
"userid","14141"
"itemid","21"
"event","How is everyone? Looks like Julianne is the only talking much anymore. So how is school? Well i guess that's kinda a stupid question but anyway. I miss you guys and blah well that's it i guess"
"eventtime","2005-09-23 22:58:00"
"url","http://slydude202.livejournal.com/5511.html"
"userid","14141"
"itemid","20"
"event","I don't if we get fuse in G'vill but here in Orlando we get this channel called fuse which is like mtv2 anyway there's this like 3 hour thing of MCR hosting ""Warped Weekend"" and it's music videos from warped and all sorts of stuff and of course the boys from MCR. Anyway hope you guys have Fuse
-Alec"
"eventtime","2005-08-06 14:08:00"
"url","http://slydude202.livejournal.com/5332.html"
"userid","14141"
"itemid","19"
"event","True Story. A religion teacher assigned her class an essay on what makes a good Christian. One student wrote about praying nightly, say no to abortion, banning gay marriage, and donating money. The other student wrote about talking to God and allowing people to enjoy their lives, and supporting gay marriage. The day the teacher was to hand the papers back, she called up the second student and told him she would pray for him when he went to hell. The student asked why would he be going to hell, and why he got an F on his paper. The teacher told him that Catholisim is against gay marriage. The student looked at her for a minute, then said aloud, ""I'm gay."" The teacher kicked him out of class as if he had said fuck or worshipped Satan. A girl in the back of class who had a boyfriend and was obviously straight got up and left too.

If you would leave the classroom, repost this. It doesn't matter if you're straight, bi, or gay. It doesn't matter if you're Catholic or not. Everyone is a human being and deserves happiness."
"eventtime","2005-08-06 13:09:00"
"url","http://slydude202.livejournal.com/4935.html"
"userid","14141"
"itemid","18"
"event","<P><lj-cut text=""Bold the things""> </P>
<P><STRONG>01. I have kissed someone of the same sex on the lips.</STRONG><BR>02. I see a therapist.<BR><STRONG>04. I am drawn to things associated with sadness.</STRONG><BR>05. I have gauged ears.<BR>06. I wear black eyeliner every day. <BR><B>07. I am extremely influenced by kindness.<BR>08. I love to write.<BR>09. I can't live without chapstick.</B><BR>10. I'm probably emotionally scarred.<BR>11. I lived in Tahoe.<BR><STRONG>12. I spend money I have.<BR>13. I'll be in college for over 4 years.</STRONG><BR>14. I love designer handbags.<BR>15. I've had a concussion before.<BR><STRONG>16. I'm not good with confrontation.<BR></STRONG>17. I loved the Backstreet Boys. <BR><STRONG>18. I have more than a couple horrible memories.<BR>19. I'm addicted to Degrassi. !!!!</STRONG><BR>20. I've tried writing poetry before and failed.<BR>21. My first kiss was unexpected.<BR><STRONG>22. I'm not a fan of rap.</STRONG><BR><B>23. I love taking pictures.<BR>24. I don't like girls who are fake.<BR>25. I can be mean when I want to.<BR></B>26. I love AFI.<BR><STRONG>27. I have kissed someone who's name starts with a ""B"".</STRONG><BR>28. I have way too many pairs of shoes.<BR>29. I was into Hot Wheels as a child.<BR>30. I dress how I feel that day.<BR>31. My room is painted a color other than white.<BR>32. I cry very easily.<BR>33. I'm always late. <BR><STRONG>34. I barely ever study for tests.<BR></STRONG>35. My birthday is my favorite holiday.<BR>36. I have too many clothes for my closet/dresser.<BR><STRONG>37. I am a morning person.<BR>38. I wish I was smarter</STRONG>.<BR>39. I believe that it is wrong to be gay.<BR><STRONG>40. I think that its perfectly ok to be gay.</STRONG><BR>41. No one REALLY knows me. <I><BR></I>42. I don't have many bad hair days. <U>more like everyday</U><BR><B>43. I sometimes fight with my parents.<BR>44. I am passionate about my interests.<BR>45. I have had the chicken pox.<BR>46. I'm a hopeless romantic.</B><BR><B>47. I feel empty sometimes but so does everyone.</B><BR><STRONG>48. I am/was most likely clinically depressed at a point in my life.<BR></STRONG>49. I am no longer depressed.<BR><STRONG>50. I am very outgoing.<BR>51. Christmas is my favorite holiday</STRONG>.<BR><STRONG>52. I can be very insecure.</STRONG><BR>53. I've been told I'm very softspoken.<BR>54. I love the color yellow.<BR>55. I love guys that play the guitar.<BR><STRONG>56. I state the obvious.<BR>57. I'm a happy person.</STRONG><BR>58. I have absolutely no self-confidence<BR>59. I've contemplated suicide.<BR><B>60. I hate cleaning my room.<BR>61. I tend to get jealous.<BR>62. I like to play video games.</B><BR>63. I love John Mayer.<BR><B>64. I get more upset when I see an animal hurt than a person. !!!<BR></B>65. I'm a vegetarian or a vegan.<BR><STRONG>66. I've had a crush on a teacher before.</STRONG><BR>67. I am too forgiving.<BR><STRONG>68. I bite my nails sometimes.</STRONG><BR><B>69. I have a good sense of direction.</B><BR>70. I've never had a boyfriend/girlfriend before.<BR>71. I've played a musical instrument for over 5 years.<BR><B>72. I can function perfectly well without a girlfriend/boyfriend.<BR>73. I love kisses on the forehead.<BR>74. I love the color blue.</B><BR>75. I don't sew.<BR><B>76. I am <U>not</U> addicted to drugs.</B><BR>77. I wear contacts.<BR><B>78. I hate it when people say they hate Bush because he is a moron.</B><BR>79. I hate Bush.<BR><B>80. I don't take criticism well.</B><BR>81. Conformity is stupid.<BR>83. Chris Carrabba is one of the sexiest men alive. <U>Who?<BR></U>84. So is Conor from Bright Eyes.<BR><B>85. I love my family.</B><BR><STRONG>86. I don't mind getting shots.</STRONG><BR><STRONG>87. I am a perfectionist when it comes to certain things.<BR></STRONG>88. I always wanted to learn to play the drums.<BR>89. I play the guitar.<BR><STRONG>90. I'm probably going to have premarital sex.</STRONG><BR>91. I have had Mono.<BR>92. I am very religious.<BR><B>93. I still act like a little kid.</B><BR><B>94. I am ridiculously indecisive.<BR>95. I believe in a higher power or some form of an afterlife.<BR>96. I love music.<BR>98. I have problems letting go of people.</B><BR>99. Jesse Lacey writes some of the most amazing lyrics ever.<BR>100. I don't really like ice cream.<BR><STRONG>101. I have freckles. (A couple on my shoulders)</STRONG><BR>102. My birthday is in December.<BR>103. Brody Dalle is pretty.<BR><B>104. I like older guys.</B><BR>105. I've gotten in numerous fights, and have won all of them. <BR><B>106. I get bored very easily.</B><BR><STRONG>107. My parents are divorced.</STRONG> <BR>108. I don't even know what my natural hair color is anymore.<BR><B>109. I get really anxious in big crowds of unfamiliar people.<BR>110. i think you're the greatest person alive.</P></B>"
"eventtime","2005-07-13 21:47:00"
"url","http://slydude202.livejournal.com/4780.html"
"userid","14141"
"itemid","17"
"event","Things are going slow here
My Dad rarely talks to me, I'm starting to wonder why I came.
I meet a girl her name is Jen and she is awesome and she makes me feel good which can't be a bad thing. I let her meet my parents yesterday and she said she liked them although i'm sure she just said that. We played pictonary and scabble and had alot of fun. She makes me laugh so much it's the best. Today I helped my Dad pour concreat and that was a whole lot of fun... but it was helping my dad out so I thought ""What the hell"". I think my computer just ""Quacked"" hmm maybe he caught something. Anywoo see yah later
-Alec"
"eventtime","2005-07-13 21:40:00"
"current_moodid","64"
"url","http://slydude202.livejournal.com/4492.html"
"userid","14141"
"itemid","16"
"event","Sry for double posting I don't know how to edit.

Just a question I entered my application but when is it supposed to be showed or is it only showed once i'm accpeted?

Anyway Thanks
-Alec"
"eventtime","2005-06-30 16:35:00"
"url","http://slydude202.livejournal.com/4235.html"
"userid","14141"
"itemid","15"
"event","ok so I just dyed my hair and it looks awesome.

Will post pics in a bit waiting for it to fully set in."
"eventtime","2005-06-30 16:16:00"
"url","http://slydude202.livejournal.com/3847.html"
"userid","14141"
"itemid","13"
"event","So this summer isn't getting any better...
 Sister kills me and so I have to take ""breaks"" that consist of me screaming in pillows and releasing stress by screaming all of MCR's songs...
 
 I think i'm depressed.... Sleep during the day and have crazy mood swings, cry randomly, and I did kinda faint the other day. Hmmm this can't be good.

 I have the fucking craziest dreams ever... Baby sex... OMFG it's sooo messed up! I'll wake up sweety and so outa my skin I feel like taking a shower.

 Parents boss me around as If I worked on a cotton field. (No Offense Any 1) The other day they asked me to clean my room and it was already clean and so they where like 
"" I'm going to check! If it's not clean your getting you ass beat!"" 
*Walks upstairs and looks in clean room* 
""Alec get up here! Look at this, there's dust on the window seal... And omg look at this that's discusting, I can't belive that you would put trash in here... "" 
That's a trash can"" 
""Well you should have took that trash out""
.... Are you fucking kidding?!

 Well I guess that's pretty much it... If anyone else is going out of their fucking minds please do tell!"
"eventtime","2005-06-26 22:10:00"
"current_moodid","74"
"url","http://slydude202.livejournal.com/3359.html"
"userid","14141"
"itemid","12"
"event","UGHHHH blah,
    I probaly couldn't have more of a boring life. So that's all for today kiddes. Come again next time!"
"eventtime","2005-04-16 20:48:00"
"url","http://slydude202.livejournal.com/3164.html"
"userid","14141"
"itemid","11"
"event","So updates updates...

1. Me and G are going steady... really steady (i'm in love)
2. School isn't getting any better, it's suprising how much you can hate people
3. I'm moving... I don't want to of course seeing as how I would be leaving G
4. My dad still doesn't call wait that's not new...
5. I have no life and I only live for the one I love

So that's all, I'm sure there's more but I really just can't think of anything right this moment. See yah"
"eventtime","2005-04-06 20:03:00"
