"names","values"
"itemid","61"
"event","WWVhaCwgSSdtIGp1c3QgcG9zdGluZyB0aGlzIGN1eiBJIGRvbid0IGZlZWwgbGlrZSBsb3NpbmcgaXQNCg0KTWUgYW5kIG15IGZyaWVuZCBFcmljKG5vdCB5b3UgTXVlbnRlcykgd3JvdGUgaXQuDQoNClNvIHllYWgsIGhlcmUncyAiRW1vZ2FzbSINCg0KDQpJIGhhdGUgeW91IHNvIG11Y2ggSSBsb3ZlIA0KTGlrZSB0aGF0IHBsYW5lIGNyYXNoIA0KVGhhdCBidXJudCB1cyBhbGl2ZSBvbiB0aGUgaW5zaWRlIA0KSSBsb3ZlIHlvdSBiZXlvbmQgYWxsIHJlYXNvbiANCkkgaG9wZSB5b3UgZG9u4oCZdCBtaW5kIA0KVGhlIHN0YXJzIHdlbnQgb3V0IHRvbmlnaHQgDQpNeSB3aG9sZSB3b3JsZCBjb2xsYXBzZWQgDQpMZXTigJlzIGN1dCB0byB0aGUgY2hhc2UgDQpCZWZvcmUgSSBjdXQgbXkgaGVhcnQgb3BlbiANCkJlY2F1c2UgSSByZWFsaXplIHRoaXMgd2FzIGFsbCBhIGJpZyBsaWUgDQpZZXQgSSBzdGlsbCBsb3ZlIHlvdSwgSSBob3BlIHlvdSBkb27igJl0IG1pbmQgDQpEb27igJl0IGtpc3MgbWUgYWdhaW4sIEkgdGhpbmsgSeKAmWxsIHdha2UgdXAgDQpGcm9tIHRoaXMgbmlnaHRtYXJlIG9mIGxvdmUgDQpRdWlldCBoZWFydHMsIHRhcGVkIG1vdXRocyANCldlIGRvbuKAmXQgY2FyZSB0byBoZWFyIGl0IA0KWW91IG5lZWQgdG8gYWRtaXQgdGhhdCB5b3VyIHByb2JsZW0gaXMgbWUgDQpJIG5lZWQgdG8gYWRtaXQgdGhhdCBteSBwcm9ibGVtIGlzIHlvdSANCkFyZSB5b3Ugd3JpdGluZyB0aGlzIGRvd24/IA0KWW91IHdlcmUgcmlnaHQgZm9yIHRoZSBmaXJzdCB0aW1lIA0KQW5kIEkgd2FzIHdyb25nIGZvciB0aGUgbGFzdCANCkkgaG9wZSB5b3UgdW5kZXJzdGFuZCB0aGF0IEkgc3RpbGwgaGF0ZSB5b3U="
"eventtime","2005-10-04 06:39:00"
"url","http://somerandomguy12.livejournal.com/15747.html"
"userid","14346"
"itemid","60"
"event","So today was fine

Until fourth block

Thanks alot, you two

I really fucking appreciate it"
"eventtime","2005-09-27 15:56:00"
"current_moodid","9"
"url","http://somerandomguy12.livejournal.com/15414.html"
"userid","14346"
"itemid","59"
"event","I'm on her mind, I'm never coming back. 
If two timing is what it takes,
Then we both know one take is all we need we're not equipped to stay, unloved, 
But its all we've got and we're not at all alright.

Gerard Way's vocals in ""Kill The Music"" by Every Time I Do

It owns

Give it a listen =)"
"eventtime","2005-09-24 13:41:00"
"current_moodid","15"
"url","http://somerandomguy12.livejournal.com/15207.html"
"userid","14346"
"itemid","58"
