"names","values"
"itemid","2685"
"event","Matt's being super-clever and my brain has just stopped.  It's just STOPPED.


Is this what erectile dysfunction feels like?"
"eventtime","2012-04-15 00:42:00"
"url","http://sourcandyxox.livejournal.com/687594.html"
"userid","14413"
"itemid","2662"
"event","<CENTER><font size=6>THANK YOU, MAKO.  I LOVE YOU.

<font size=9 color=red>&hearts;</font></CENTER></FONT>"
"eventtime","2012-03-02 01:55:00"
"url","http://sourcandyxox.livejournal.com/681644.html"
"userid","14413"
"itemid","2630"
"event","<i>Ooohhhhhhhh</i>, so <i>Quesada's</i> responsible for enforcing a lot of this top-grade suck.  I think you told me that, Mako, way way long ago, but I forgot about him.  Who thought it was fitting to make an artist an editor?  Serieusement!  

I hope he gets replaced by someone who doesn't have their head up their ass and is loving it there.  Seriously, you think married people are boring, dude?  Why not kill off Cyclops instead!?  Does anyone actually like that dip?  And the thought of Emma Frost kissing <i>him</i> is <i>revolting</i>.  He's yucky, and her poor taste is making me not respect a character I'm supposed to &hearts; lovingly and hardcorely.  And I'm sure Jean was fine as a character, and every account of that story I've heard makes it sound . . . excruciatingly bad."
"eventtime","2012-01-17 23:07:00"
"url","http://sourcandyxox.livejournal.com/673520.html"
"userid","14413"
"itemid","2613"
"event","Hmm . . . near the beginning of the month, I think it was, I was accidentally scalded by some tea from McDonald's.  Most of it has healed, but there's still this palm-sized patch on my thigh . . . the large blister that had immediately popped is now less than half its original size and is scabbing over, but the area around it is still pink and sometimes feels hotter than the skin around it, unless I'm just imagining it.  It doesn't feel sore, though, except when the scab pulls from sitting . . . the way I tend to sit.

I've tried googling about the skin being hot, but can't find anything relating to my kind of situation.  Does anyone know what I could or should do, or if I should be more worried than I am?"
"eventtime","2011-12-28 00:17:00"
"current_moodid","56"
"url","http://sourcandyxox.livejournal.com/668938.html"
"userid","14413"
"itemid","2560"
"event","<a href=""http://dragonage.bioware.com/da2/info/bonus_items/"">New Bonus Items</a> available if you have an achievement in each of the story DLC (Exiled Prince, Legacy, and Mark of the Assassin).  I think I got an achievement with Sebastian, and we've both played through Legacy, so we're set there.  MotA . . . I dunno.  I wasn't paying attention."
"eventtime","2011-11-20 13:33:00"
"url","http://sourcandyxox.livejournal.com/655440.html"
"userid","14413"
"itemid","2553"
