"names","values"
"itemid","203"
"event","From Izzy:


<table width=350 align=center border=0 cellspacing=0 cellpadding=2><tr><td bgcolor=""#EEEEEE"" align=center>
<font face=""Georgia, Times New Roman, Times, serif"" style='color:black; font-size: 14pt;'>
<strong>There Are 0 Gaps in Your Knowledge</strong>
</font></td></tr>
<tr><td bgcolor=""#FFFFFF"">
<center><img src=""http://www.blogthingsimages.com/doyouhavegapsinyourknowledgequiz/brain.png"" height=""100"" width=""100""></center>
<font color=""#000000"">
Where you have gaps in your knowledge:<br />
<br />
No Gaps!<br />
<br />
Where you don't have gaps in your knowledge:<br />
<br />
Philosophy<br />
Religion<br />
Economics<br />
Literature<br />
History<br />
Science<br />
Art
</font></td></tr></table>
<div align=""center""><a href=""http://www.blogthings.com/doyouhavegapsinyourknowledgequiz/"">Do You Have Gaps in Your Knowledge?</a></div>"
"eventtime","2008-11-17 23:40:00"
"url","http://starmekritten.livejournal.com/52087.html"
"userid","14650"
"itemid","201"
"event","Jerry, you will be greatly missed. I hadn't seen you in a long time but I always considered you family."
"eventtime","2008-11-01 20:10:00"
"url","http://starmekritten.livejournal.com/51592.html"
"userid","14650"
"itemid","179"
"event","I woke up late today and then spent entirely too long at giant building all my displays. Then my dad called to yell at me. Whoo.

My second stop was easy. I put out 4 cases of 2 liters and was done in 10 minutes. I went back out to my car and saw that one of the tires was really low. Not quite flat, but getting there. I went to the gas station across the street and put air in the tire. I made it up to walmart but by the time I was done there, it was low again. But at least I was at walmart. I took the car to their TLE and told them to repair the tire. Long story short, the leak was in a place where they couldn't fix it so I had to get a new tire. Way to go DBG. They finally give me a new car and I'm spending money to get it fixed less then 24 hours later. It's a sexy little car though. They gave me a grey Civic. Very very cute. 

While waiting for my car, I went to talk to the Assistant manager. She called my boss's boss yesterday freaking out about the state of my backstock. She was apparently angry about me leaving my stuff laying all over the place. I explained to him that it was a recurring problem but that I wasn't actually doing anything wrong! He told me to have a talk with her and deal with it. Turns out, she was mad about all the ATreat damages and such. I had to explain that it isn't even my product! 

After the tire thing was taken care of and I was even more behind, I went to boyertown and then up to douglassville. At Dville, I started pulling the 2 liters I needed and stepped on a piece of wood from a broken pallet. I felt a sharp pain in my heel and lifted my foot. The piece of wood came up with it. I'd stepped on a nail and it went straight through my shoe and into my foot. I pulled it out but the fucker had gone at least a half inch into my foot. It was the twisty kind, badly rusted and broken so I didn't even have the benefit of being stabbed by something sharp. It was nice and dull for maximum pain. 

I managed to hobble to the break room for some paper towels and then sat on one of the top rackers in the back room. Chris (frozen guy) came over to see if i was alright and then called the manager back. Accident reports were filled out and stuff. I put some stuff out that i'd already loaded up on a Uboat and then went home. I guess I'll do the rest of my stores tomorrow.

Now my foot still hurts and I'm getting nauseous just thinking about that nasty thing going into my foot. I know you're supposed to go to the ER if you step on a rusty nail, but I'm UTD on my tetnus shots.. so I guess I don't need to? I don't fucking know. I'm not even sure how to really clean this thing. The opening is very small but I know it's deep. Puncture wounds are so tricky and it's worrysome because I know that thing wasn't clean and feet in general aren't that clean either. This thing is just waiting for a bad infection."
"eventtime","2008-01-12 18:59:00"
"url","http://starmekritten.livejournal.com/45824.html"
"userid","14650"
"itemid","178"
