"names","values"
"itemid","10"
"event","Just keeping this account awake."
"eventtime","2009-02-07 13:44:00"
"url","http://sugaroverspite.livejournal.com/2674.html"
"userid","14869"
"itemid","9"
"event","Bummed&nbsp;still."
"eventtime","2007-09-27 10:27:00"
"url","http://sugaroverspite.livejournal.com/2515.html"
"userid","14869"
"itemid","8"
"event","<form action=""http://chaz.bdmonkeys.net/battle.php"" method=""get""><table align=center width=400 cellpadding=4 cellspacing=1 border=0><tr><td bgcolor=black align=center><p style=""color:red;font-family='times new roman';font-size:16px;""><b>What Is Your Battle Cry?</b></p></td></tr><tr><td bgcolor=""#ffbb77"" align=center><p style=""margin:10px;font-family:'times new roman';font-size:16px;color:#000;""><font face=""old english text mt,old english text"" size=+3>S</font>printing over the hotel lobby, wielding buzzsaw hand extensions, cometh <b>Sugaroverspite</b>! And she gives a gutteral roar:</p><p style=""margin:11px;font-family:'times new roman';font-size:18px;color:#000;""><b><i>""For the love of beatings, skulls will be fucked for Satan!!""</i></b></p></td></tr><tr><td align=center bgcolor=""#aaaaaa""><p style=""font-family:'times new roman';font-size:14px;color:#000;""><b>Find out!</b><br />Enter username: <input type=""text"" name=""usrname"" value=""sugaroverspite""><br />Are you <input type=""radio"" name=""sex"" value=""f""checked>a girl, or <input type=""radio"" name=""sex"" value=""m"">a guy ?<br /><input type=submit value=""Submit""></p></td></tr><tr><td bgcolor=black align=center><p style=""color:red;font-family:'times new roman';font-size:12px;margin:0px;""><b>created by <a href=""http://www.livejournal.com/users/beatings/""><font color=""#cc00ff"" face=""times new roman"">beatings</font></a> </b>:<b> powered by <a href=""http://www.bdmonkeys.net/""><font color=""#cc00ff"" face=""times new roman"">monkeys</font></a></p></td></tr></table></form>"
"eventtime","2005-10-17 15:01:00"
"current_moodid","84"
"url","http://sugaroverspite.livejournal.com/2268.html"
"userid","14869"
"itemid","7"
"event","I have a cell phone!  ^_^

MWAHAHAHAHAHAHA!

That is all."
"eventtime","2005-10-06 17:48:00"
"url","http://sugaroverspite.livejournal.com/1971.html"
"userid","14869"
"itemid","6"
"event","This is a warning from me.

Right now I am pmsing.

I hate EVERYONE.  The only people this does not apply to are:

1. People in foreign countries
2. People I have not spoken to, about, or encountered in any way in the last six hours
3. People who are dead
4. People who I don't know about.
5. Shanda

This does not exclude relatives.  You know who you are.

Any attempts to speak to me will be rebuffed, questions and requests denied.  I will answer no just to spite you.  I will refuse to cooperate or even listen to you.

I will throw things because I can, eat chocolate because I can, and hate you... because I can.

I am a bitch, and nothing you do will placate me.

Some of you deserve this right now; most of you don't.

My advice is to stay far away until I chill out and stop foaming at the mouth.

R"
"eventtime","2005-10-05 17:22:00"
"url","http://sugaroverspite.livejournal.com/1576.html"
"userid","14869"
"itemid","5"
"event","Any second now... I will summon the will power to move.

Next step... caring.

In the far future, there may be food, and possibly working.

But for now, contemplation.

R"
"eventtime","2005-10-05 15:38:00"
"current_moodid","114"
"url","http://sugaroverspite.livejournal.com/1409.html"
"userid","14869"
"itemid","4"
