"names","values"
"itemid","224"
"event","It feels funny to post again. I am back home. My computer has not been used
since I left in January. I have been traveling and staying with my friends. Working and playing. Mostly playing. I have my pick-up and my clothes and nothing else.
It is amazing how little you need to have a great time. I have really been spending my waking hours outdoors and it shows. I feel great and my folks say I look that way."
"eventtime","2008-08-19 16:04:00"
"url","http://sugarshaker.livejournal.com/57555.html"
"userid","14871"
"itemid","223"
"event","When I logged on to LJ I was surprised to find how long it has been since my last entry. But then I have been so busy and so much has happened. I will keep it short. I graduated with my teaching degree and moved to Atlanta where I got a teaching job. I lived with my friend Amanda while I looked for an apartment splitting the cost of rent.
I met a guy. All seemed to be going OK. The school had some serious problems
however and after awhile I did not feel safe there. The guy I was dating turned out to be a bum and Amanda got in some trouble connected to the wrong people. Her Dad talked her into leaving town, leaving me without a room mate. Due to consolidation at my school I was going to have to move to a new school. With Amanda gone I lost my only real friend in town. That was bad enough but then her Dad thought it best that I move just in case the wrong people showed up looking for Amanda. Too much turmoil and I felt way out here on my own. Too much to deal with so I quit my job and moved back home.
It is so good to be back where things seem to have order."
"eventtime","2007-12-03 10:02:00"
"url","http://sugarshaker.livejournal.com/57228.html"
"userid","14871"
"itemid","222"
"event","Mom thinks I have a shot at getting in the school system here but I really don't want to. I love my folks but I really want to move out on my own.
If I stay here there will be a great temptation to continue to live here
in their house and not get my own place. I need to have my own place.
My summer job has really turned into ....well.....a job.
During the week I don't have a minute. I like the kids I am tutoring and Nanny for but it is every minute of the day 7am till 6pm. Thank goodness I have weekends off and they are paying me a very handsome salary.
The entire family is packing together today and leaving for a 4th of July family outing, so I am off work until next Thursday.
My weekends have been spent at the lake. I can actually water ski now, sort of. I'm not good but I can get up on the water and stay up, most of the time.
I use a ton of sunscreen so I haven't turned real dark like all the other people I boat with. 
One of my friends from my Katrina volunteer work came by in her RV headed to
Canada. She has a guy friend up there that she is getting serious about and
wants a ""summer of love"", her words. That sounds pretty good actually.
Amanda has invited me to Atlanta, she says I need to ""let loose"" this weekend.
Her definition of ""let loose"" and mine are light years apart but I'm sort of favoring her definition right now."
