"names","values"
"itemid","6"
"event","i know i havent posted in a while but i gotta make a quick entry bc im not at my house im on baileys computer.
bailey is shelby (my bestfriend) little sister. shes 9 but this girll is mad chilll. coolest 9 year old ever i swear to god. but enought about that. i met this new kid names will, hes a sweetheart. and this kid josh and wesley like me. but yeahh ill explain more later....byeeee&lt;3."
"eventtime","2007-07-11 21:49:00"
"current_moodid","7"
"url","http://supstarshinexx.livejournal.com/1652.html"
"userid","14981"
"itemid","5"
"event","soooo stephanie and chella are here. they slept over. we went to the carnival yesterday. thats my 3rd fucking dayy goinggg :D holllllla. we saw MIA GABBY DANA. TANJAAAAAAAAAAAAAA MARQUES. wes. kevin. jon. jon armstrong.&nbsp;
CORNBREAD! nina &gt;.&lt;&nbsp;&nbsp; and zooyorkkk&lt;3. brian. player joshhh.&nbsp;&nbsp; its was maddd funnnn.. and im on the phone withhh samiiiiiiiiiiiiiiiiiiii.


p.s. we alsoo saw mike and he wouldnt give me a dollarrr!"
"eventtime","2007-06-17 14:22:00"
"url","http://supstarshinexx.livejournal.com/1284.html"
"userid","14981"
"itemid","4"
"event","<p>sooo todayy was amzing yet the end blowed big time!<br />i went to the carnival with shelby and, i sayy all my old friends from middle school.<br />i alsoo met this kid josh hes soo fucking adorable. he kissed me 4 times, once on my fore head and three times on the cheek.. hes pretty amazing. but hes bi. :/ ohh well hes fucking great.</p>"
"eventtime","2007-06-15 22:33:00"
"current_moodid","6"
"url","http://supstarshinexx.livejournal.com/1146.html"
"userid","14981"
"itemid","3"
"event","<p>ughhh sooo i feel like i am living in sams shadow. like everyone likes her better.</p><p>i dont like this.</p>"
"eventtime","2007-06-14 22:35:00"
"current_moodid","123"
"url","http://supstarshinexx.livejournal.com/843.html"
"userid","14981"
"itemid","2"
"event","<p align=""left""><font size=""1"">ugh alright. soo about my whole jon situation. there is this boy jonathan roy crawford. and i love him. end of story. i would do anything for this kid but he doesnt like me.he goes out with this girl nina who used to be my bestfriend. he says that he cares about me like a friend but only to my face. but when we arent together he doesnt text me back or im me back or anythinggg. honestly i am sick of him i wish i could just get over him. i recently found out that he had sex with my one bestfriend who cannot be named. which&nbsp;jon failed to tell me. i guess thats cute. whatever. well i just got done watching Harry Potter 1,2,3, andd 4. you can say that i am a harry potty freakk. well imm really upset and i wanna die.&nbsp; life always gets bad when i get happy. i just found out yesterday that my aunt died bc everyone failed to fucking tell me that she died like a week ago. whatever. this family fucking bites.</font></p>"
"eventtime","2007-06-10 19:59:00"
"current_moodid","28"
"url","http://supstarshinexx.livejournal.com/590.html"
"userid","14981"
