"names","values"
"itemid","71"
"event","hey guys. i think i'm returning to livejournal. i didn't know how to do the whole friends only thing before, but i really want to cut the whole drama thing to a minimum. so i'm going friends only from now on. if you're not on my list, just let me know, and i'll see what i can do. ha. 
well, i guess that's all for now. things are going well with seth and me. i love him, he loves me, and i believe he trusts me a lot at this point. i've learned that trust doesn't come easily. i won't be letting him down again. 
hm...seems i covered an entry and an announcement all in one. talk to ya later...if you're my friend that is."
"eventtime","2005-08-26 23:48:00"
"current_moodid","15"
"url","http://svdonkeyballs.livejournal.com/18353.html"
"userid","15011"
"itemid","68"
"event","hey fellas. i just had a very nice Easter. i went to church, ate ham, and watched an interesting movie. i'm going to give seth his Easter present tomorrow. i hope he likes it! i would say what it is, but then he would end up reading this and finding out! this year, i want it to be a suprise. 

anywho...there's not much going on at my house right now. zach's playing DDR, mindi's out, mom's upstairs in her room, and i'm fooling around on the computer, obviously.

you know, Easter always reminds me of when i got saved. i was sitting in church on my mom's lap. then, when the preacher stopped preaching, i started crying. it was on Easter evening, and i had just heard him tell the story of Jesus being killed. it made me so happy to know that He loved me so much to die for me, and i wanted Him to know that i loved Him the same way for his compassion. so i gave my life to Him. since then, i haven't always been the best Christian i could be, but i guess it's times like these that you think of how hard we should try to be the best we can be. thank you Jesus!!!"
"eventtime","2005-03-27 19:22:00"
"current_moodid","131"
"url","http://svdonkeyballs.livejournal.com/17603.html"
"userid","15011"
"itemid","67"
"event","seems that someone is mad at me. i won't use names, but this person has been one of my best friends for a while now. she and i have been really close too. but despite this ""friendship"", i would suppose that she hates me now. sure i guess i haven't been a good friend 24/7, but i try to give everything i can and help as much as i can. i couldn't make it to her birthday jazz last week. maybe she's mad at that. but i had softball, and i ended up quitting anyways. dumb coach, but that's besides the point. i guess we haven't been that close lately though...with her life going on and my life busy since my dad comes home for weekends, it's hard to be able to do anything friendship wise. but maybe i'm not a good enough friend for her. when she needed me, i was there as much as i could be. when she was upset, i tryed my best to make her stop crying. i'll admit, i didn't have as many problems in my life as she had, but i tryed to give the best advice i could. maybe i didn't stick up for myself enough. maybe i stood up too much. maybe i just lost one of my best friends. if you read this, you know who you are. i still have your birthday present. i hope you like it. i'm not mad, but i am sad. a friend is one of God's most precious gifts. maybe he decided to take this gift away from me? who am i to ask? but who am i to know?"
"eventtime","2005-03-26 23:31:00"
"current_moodid","9"
"url","http://svdonkeyballs.livejournal.com/17226.html"
"userid","15011"
"itemid","66"
"event","hey everybody. not much happening here. you can see now that i have finished my livejournal look. i love it! enjoy!

love u"
"eventtime","2005-03-26 17:16:00"
"current_moodid","41"
"url","http://svdonkeyballs.livejournal.com/17023.html"
"userid","15011"
"itemid","65"
"event","under construction...move on with life."
"eventtime","2005-03-25 21:52:00"
"url","http://svdonkeyballs.livejournal.com/16746.html"
"userid","15011"
"itemid","64"
"event","hey fellas. not much goin on now. i just got back from a date with seth. we went to the movies to see miss congeniality 2. oh, it is funny. not as funny as the first i must say, but it is still good. recommended. 

anywho, not much else has happened today. i quit softball yesterday to those of you who don't know. i can't believe coach mabry sat me out for the whole double header. i still can't get that thought out of my head. i have never in my life been the kid who stood around in the duggout walking around the pole. i was the pole kid! ugh. softball means so much to me. i have spent hours out on the field. for years. i can still remember the first time i played. i was scared, and not exactly the best one on the team, but i stuck with it and look where it got me. well, you couldn't tell much from spring valley's team, but i will be playing softball, you can bet on that. but enough of my blabbing on about that. 

i guess i'll shut up now and play guitar. to those who care, love ya!"
"eventtime","2005-03-24 20:42:00"
"current_moodid","64"
"url","http://svdonkeyballs.livejournal.com/16503.html"
"userid","15011"
"itemid","63"
"event","welp, as you all know, mrs. staley is being the evil one to our band. she won't let us live!!! well not really, but might as well take away our way of life. ugh...i'm not gonna get into it. 

i had practice forEvEr after school today. i'm really tired, but at least i get to play on varsity. that's a step forward! oh! i wrote a song.(and this time, i actually put music with it too) check it out:

(i don't have a name yet)

darkness seeps into the light.
it captures my memories 
and casts its shadow on my wall.
i stumble through the night.
i can't hear your voice,
and i can't see anything at all.

why have you left me?
where have you gone?
i've been waiting here so long.
how can i find my way home?

it's getting colder now,
as my breath turns white.
everything's losing it's shape.
there is no light.

where have you been now.
you said you would be there
to hold my trembling hand.
but now you are not here.
do i have the strength to even stand?

just then the dust clears,
and there's a dim light.
and in that dim light, woa.
i see you in all your glory and might!

you haven't left me.
you haven't gone.
you've been right here the whole time.
now i have stregnth to go on!

---peace out"
"eventtime","2005-03-21 20:51:00"
"current_moodid","90"
"url","http://svdonkeyballs.livejournal.com/16194.html"
"userid","15011"
"itemid","62"
"event","encouragement

caught up in time.
no way to be broken.
this is the day.
but no words are spoken.
lost in a dream.
reality or not?
but what's the use?
so many have faught.
don't give up.
don't even shut down.
because this is the day,
this is the day.
don't quit now.

<lj-cut text=""give me a critic""> tell me what you think </lj-cut>"
"eventtime","2005-03-15 18:55:00"
"current_moodid","107"
"url","http://svdonkeyballs.livejournal.com/16028.html"
"userid","15011"
"itemid","61"
"event","i re-did my lj look, obviously. starting from the left, we have Yngwie Malmsteen (pronounced Ing-vay). then we have Joe Satriani. next in line is Brian May. and of course, what is a good guitar background without Jimmy Hendrix? and finally, Eddie Van Halen. all very good guitarists, the best in the world. tell me what you think!"
"eventtime","2005-03-14 18:16:00"
"current_moodid","11"
"url","http://svdonkeyballs.livejournal.com/15689.html"
"userid","15011"
"itemid","60"
"event","Friend-n.
# A person whom one knows, likes, and trusts.
# A person whom one knows; an acquaintance.
# A person with whom one is allied in a struggle or cause; a comrade.
# One who supports or sympathizes with another

sometimes you think you have friends, but it turns out that you don't really know them from all the rest. sometimes you think you are alone, but turn around...and you have someone smiling back at you. people who miss you when you aren't around, who think about you when you are in trouble. people who worry about your problems and your feelings. the people who stand by you no matter what happens...if you leave them, they'll wait for you to come back. if you hurt them, they'll forgive you. and even if they hurt you, you can't help but tell them that it's okay, because deep down, you love them as much as you love yourself. they take care of you, and you take care of them. this is what makes friendship great. thank-you to all my good friends."
"eventtime","2005-03-06 16:21:00"
"current_moodid","30"
"url","http://svdonkeyballs.livejournal.com/15502.html"
"userid","15011"
"itemid","59"
