"names","values"
"itemid","15"
"event","1 in the morning, and I'm wide awake..my mind is full of disturbing thoughts and memories of the past..I hate relfecting on things behind me,I try not to dwell on anything, but in the end I do so all is useless. As far as my life goes I'm surviving and my nervous breakdowns are slowly dissapearing, and I'm overcoming things that keep me down. I'm suffering from one of the most horrible writers block I've had in ages, not like writing is something I do extremely well, so I guess it doesn't matter in the end. I found my puppy book of poetry (that's what I called it so cram it, screwball) and since you all love me so much I'm going to post the ONE good one in there (The rest kinda suck). So yes, here it is, and a song by mariah carey that I adore.

<br>
<font color=6495ED>

Best Friends Forever you said
Strange how three words can hurt so bad
Forever Friends we were meant to be
But, one person didn't agree.
They took you away from me.
Now I cry alone at night
but, you  are nowhere in sight
Despite our sorrow there's always tomorrow
Days start and days end
Even though were far apart
You'll stay forever in my heart
We may never see each other again
But you'll still be my..
Best Friend

~*Written for Jackie 1986-2001*~

<br> 
<font color=00BFFF>
Many nights we pray
With no proof anyone could hear
And our hearts a hopeful song
We barely understood
Now we are not afraid
Although we know there's much to fear
We were moving mountains long
Before we know we could

There can be miracles
When you believe
Though hope is frail
It's hard to kill
Who knows what miracles
You can achieve
When you believe
Somehow you will
You will when you believe

In this time of fear
When prayer so often proves in vain
Hope seems like the summer birds
Too swiftly flown away
And now I am standing here
My heart's so full I can't explain
Seeking faith and speaking words
I never thought I'd say

There can be miracles
When you believe (When you believe)
Though hope is frail
It's hard to kill
Who knows what miracles
You can achieve (You can achieve)
When you believe
Somehow you will
You will when you believe

They don't always happen when you ask
And it's easy to give in to your fear
But when you're blinded by your pain
Can't see your way safe through the rain
Thought of a still resilient voice
Says love is very near

There can be miracles (miracles)
When you believe (When you believe)
Though hope is frail
It's hard to kill
Who knows what miracles
You can achieve (You can achieve)
When you believe
Somehow you will
You will when you believe
You will when you believe
You will when you believe
Just believe
You will when you believe

-Mariah Carey

<br>

-Trixie"
"eventtime","2002-02-03 01:40:00"
"current_moodid","126"
"url","http://sweetsurrenderr.livejournal.com/4093.html"
"userid","15089"
"itemid","14"
"event","Name: Trixie

Pronunciation Conflicts: Pixi Sticks...Trixie.....no not the damn cereal rabbit,asshole
Age: 16

Gender: female

Location: West Virginia..

Height:. 5'5 about..depends on if I'm slouching or not

Hair Color: people say it's brown,people say it's blond...you decide

Eye Color: my eyes change color..hazel, I suppose

Glasses: HAHAHAHA 

Braces: Nope, never

Complexion: I'm pale...and I look like I'm about to die..fascinating,isn't it?

Best Feature: I don't consider anything on me very good

Body Type: I'm not anorexic,and I'm not fat...

Piercings: None
Tattoos: None of these either.

Do you ""prune"" your eyebrows: Prune my what?

Do you shave (if so where):..why, are you planning on rubbing my legs any time soon?

Do you have sideburns: oh yes..big hairy ones with poison coming out 

What are you wearing: david's shirt (I stole it) and my spot pants...

Jewelry: a bracelet

Favorite Accessory: nah

Favorite Article(s) of Clothing: don't have any

Favorite Shoes: don't care

Shoe Size: don't care

Scars (describe): I have scars on my wrists from slitting them, and i have a couple on my neck

Foods you could live off of: Can I starve instead?

Favorite Beverage: orange soda

Favorite Alcoholic Beverage: Are you implying that I drink?

Drug of Choice: viagra...no,not really...

Last book you read:  a seperate peace...it was boring

Favorite Author(s): Don't care

Do you play an instrument: Do I look like a geek to you?

Favorite Band(s): don't care

Last Concert Attended: none,i'm not a social butterfly

Next Concert to Attend: jesus your stupid,NONE

Concert You Wish You Could Attend: numbskull..

Sexual Orientation: moving on..

First Male Crush: Some guy named Blake..he was an asshole in the end

First Female Crush: My dog..

First Boyfriend: -.- asshole...that's his name

First Girlfriend: ok,now your getting sick

First Kiss: who wants to know..it wasn't with any of you so doesn't matter

Last Long Term Relationship: fuck relationships
How long did it last: take a guess

Current Crush: fuck men


. If there were 3 wells (love, beauty, and creativity) and you could only drink from one of them, which one would you choose?: I'd choose to drink from the one that'd kill me the fastest

Do you wish on stars?: I'd wish upon a star, but that star doesn't shine

. Which finger is your favorite?: I liked Sammi's answer.

. What is the most disgusting thing you've ever eaten?: any of my own cooking

Would you kill someone?: I would kill myself,does that count? 

When did you last cry?: Who knows...I lose track

If you were making a movie about yourself, who would play the lead?: The movie wouldn't even be created..who wants to watch a movie about someone like me

What TV show or movie TITLE best describes your life?: Alice

Do you like your handwriting?: I don't care...am I supposed too? 

Who are you jealous of?: Nobody

What is your #1 priority in life right now?: nothing
. 
What is your favorite lunchmeat?: dick...whatever..
Do you have any bad habits?: Tell me what you think..

Are you a friendly person?: Do I sound friendly?

If you were another person, would you be friends with yourself: No, I'd stab myself and get the hell over it 

Are you a daredevil?: nope

How big was the biggest mango you ever had?: oh, it was big,baby

Have you ever told a secret that you swore you wouldn't repeat?: No..

. What do you think is the most attractive animated character?: ....

Do looks matter?: Does ANYTHING matter?
Do you pray?: No.

Have you ever met anyone famous?: No, I live in WV...nobody comes to WV

. Do you think there is a pot of gold at the end of the rainbow?: I don't give a fuck, and whoever goes chasign after a puddle is a dumbass 

What are your biggest fears?: being hurt,

How do you vent anger?: I cry..and i play games with a knife
Are you passive or aggressive?: You tell me...
Who is your role model?: Some dead guy 
Who is your second family?: the voices.

. Do you trust others easily?: No...

What was your favorite toy as a child?: some stupid child play thing...blocks or blankets,who knows...

. What class in school do you think is totally useless?: I think they're all useless
. 
What is the punch line to your favorite joke?: uh huh...
. 
Do you like sappy love songs?: No

. Do you think your life so far has been good?: heh....no

. Which was your best Halloween costume?: I was a fairy once..Tht was cool
Have you ever been on radio or television?: no 

Do you keep a diary?: Not on a daily basis

Have you ever intentionally hurt another person?: I suppose I have
Have you ever been in a mosh pit: no,who's that stupid?

Are you an overall happy person?: Perhaps..no
Do you feel understood most of the time?:yes

. Do you drink milk?: sometimes

Would you rather have a sore throat or an upset stomach?: I could care for either

. Have you ever thought seriously about committing suicide?: Plenty of times 
. 
What is the new saying that you've been using a lot?: fuck off screwball
What time is it?: 3:15
Do you keep your underwear and socks in the same drawer or in separate ones?: pervert..
Did you pay money to see ""Honey I Shrunk The Kids""?: No


. Would you rather be hot or cold?: Either or. 

What is your favorite body type to cuddle with?: What the..
What was the best Christmas present you received?: who knows
.
 Could you be a vegetarian?: sure
What is ur favorite word to say when u think of something cool?: ...

. What band has the funniest name?: Nfuck a duck
. Would you ever bungee jump?: No
.
 Do you untie your shoes every time you take them off?: No..

. Who are your favorite white rappers?:...white rappers?

. Would you rather wear uniforms to school?: I don't care

. Have you ever given money to a needy person?: no,,.

. What are you worried about right now?: who knows..
Do you ever wear overalls?: no..
Do you think you are strong (emotionally)?: Yes
. Do you hate anyone?: Yes..

. Do you regret anything?: yes

Have you ever been in love?: haha..."
"eventtime","2002-02-02 03:14:00"
"url","http://sweetsurrenderr.livejournal.com/3590.html"
"userid","15089"
"itemid","13"
"event","I believe it's been about forever since anybody has heard from lil me. I am not dead. :o) Just to clear that up."
"eventtime","2001-12-22 03:32:00"
"url","http://sweetsurrenderr.livejournal.com/3381.html"
"userid","15089"
"itemid","12"
"event","<i>  The soft drizzle of the rain, and the whistle of the wind were the only sounds hear. Storm grey eyes lifted to the sky as the moon broke through the clouds casting it's eerie glow and the couple below. The bigger of the two stepped from the alley, the moon swallowing him in light. He was tall, and well built. Raven black hair fell to his shoulders, he would have been handsome if black and white paint didn't hid his face. 
Pushing back his hair his eyes swept down the empty streets, turning around he looked at the other figure still lurking in the shadows, creeping away from the moonlight's gentle touch. Like him, she had raven black hair, and a nice figure. His eyes lingered on her a moment, pausing for a brief moment as he pushed his thoughts about her back. He whispered her name, the faintest of murmer escaping his lips as he crossed over, grabbing her shoulder and jerking her around to face him.


</i> A beginning to a story without a plot..it stinks, but I was bored. 

<font color=36k39g>
If you love someone put their name in a circle not a heart, a heart can be broken but a circle goes on forever"
"eventtime","2001-12-02 21:52:00"
"current_moodid","108"
"url","http://sweetsurrenderr.livejournal.com/3312.html"
"userid","15089"
"itemid","11"
