"names","values"
"itemid","10"
"event","<div align=""center""><b><font size=""1"" color=""#cc99ff"">Hooray!</font></b><br /><br /><br /><br /><b><font size=""1"" color=""#cc99ff"">Crazy drunken orgies are the best.</font></b><br /><br /><b><font size=""1"" color=""#cc99ff"">Even though it really wasn't an orgy.. but you know.</font></b><br /><br /><b><font size=""1"" color=""#cc99ff"">I was gone last night, by the way. Just like. Whaaaat. I got home and mom's like, ""WHERE HAVE YOU BEEN?!"" And I was like, ""*giggle.* It's okay, it's fine. Don't worry about it. We were just videoing games and stuff."" Then I went to sleep til 9.50 (I had to work at ten &gt;.&gt;;;; )</font></b><br /><br /><br /><b><font size=""1"" color=""#cc99ff"">wheee!</font></b><br /><br /><br /><b><font size=""1"" color=""#cc99ff"">Also, I introduced David and Elixabeth to 211. Which they both LOVE. :3 Because I pick awesome alcohol like that.</font></b><br /><br /><b><font size=""1"" color=""#cc99ff"">But Val is sick now ): So I'm off to comfort him.</font></b><br /><br /><b><font size=""1"" color=""#cc99ff"">Ttfn!</font></b></div>"
"eventtime","2007-06-10 18:37:00"
"url","http://taijubread.livejournal.com/2810.html"
"userid","15178"
"itemid","9"
"event","<font size=""1"" color=""#cc99ff"">Val, all my friends, my cat.<br /><br />Sigh. Greg wants to hang out later with me and Val O: We shall see.</font>"
"eventtime","2007-05-29 18:04:00"
"url","http://taijubread.livejournal.com/2525.html"
"userid","15178"
"itemid","8"
