"names","values"
"itemid","163"
"event","I wish that I could be on stage every night. It just...it's like nothing I've ever done before, it's like a whole new ME, I'm not shy and quiet, or Amanda at all.

Erm/

I stole this from dirtywinged.

Current Dress: Boots, Steve Socks, Black Pinstripe Pants, Marilyn Monroe Shirt
Current Makeup: ALLLLL of my stage makeup
Current Mood: Excited
Current Music: Hindi Sad Diamonds
Current Taste: Twix
Current Hair: BLEH
Current Annoyance: Only having one more show
Current Smell: Mikey is stuck in my nose..so clothes
Current Thing I Ought To Be Doing: Sleeping. Yes.
Current Favorite Artist: Erm...Not sure.
Current Favorite Group: Riggght now Saves The Day/Nirvana/The Smiths
Current Book: Red Dragon
Current CD In Stereo: Saves The Day- Through Being Cool
Current VHS in player: Silence Of The Lambs
Current Color Of Toenails: Normallllll
Current Refreshment: Nothing.
Current Worry: That I did something wrong.
Current Crush: HAHAHA.
Current Favorite Celebrity: David.Grohhhhl."
"eventtime","2002-08-04 00:23:00"
"url","http://tarnishedstar.livejournal.com/41882.html"
"userid","15246"
"itemid","164"
"event","I wish that I could be on stage every night. It just...it's like nothing I've ever done before, it's like a whole new ME, I'm not shy and quiet, or Amanda at all.

Erm/

I stole this from dirtywinged.

Current Dress: Boots, Steve Socks, Black Pinstripe Pants, Marilyn Monroe Shirt
Current Makeup: ALLLLL of my stage makeup
Current Mood: Excited
Current Music: Hindi Sad Diamonds
Current Taste: Twix
Current Hair: BLEH
Current Annoyance: Only having one more show
Current Smell: Mikey is stuck in my nose..so clothes
Current Thing I Ought To Be Doing: Sleeping. Yes.
Current Favorite Artist: Erm...Not sure.
Current Favorite Group: Riggght now Saves The Day/Nirvana/The Smiths
Current Book: Red Dragon
Current CD In Stereo: Saves The Day- Through Being Cool
Current VHS in player: Silence Of The Lambs
Current Color Of Toenails: Normallllll
Current Refreshment: Nothing.
Current Worry: That I did something wrong.
Current Crush: HAHAHA.
Current Favorite Celebrity: David.Grohhhhl."
"eventtime","2002-08-04 00:23:00"
"url","http://tarnishedstar.livejournal.com/42038.html"
"userid","15246"
"itemid","162"
