"names","values"
"itemid","240"
"event","I just finished HP/Deathly Hallows. I don't think I can sleep without writing this so here goes.
<lj-cut text=""Spoilers etc"">

(+) positive stuffs >>
- Harry's thoughts were really touching at times, especially near the end of the book when the battle was raging in Hogwarts. I don't think I could have loved the series as much if dead characters did not pop up all over the place, during the final moments prior to, and during the battle.
- SHOCKING: Snapes loved Lily. (O________O) There was no way I saw this coming. In a way, it's also really shocking because he wasn't evil...!? It was easier to hate him when we thought he was, and now we're force to feel sad and sorry for him. And possibly like him too. I love being able to look back on the lives of the Marauders, and Snapes' childhood in the Pensieve.
- For some reason, after reading that, I felt like a huge chunk of the series should be Snape's as well, as much as it is Harry's. If only because he was also playing such a huge role in the background.
- HARRY HAD A KID NAME ALBUS SEVERUS. This was probably the farthest thing I could imagine. Albus. Severus.
- The Bellatrix/Mrs. Weasley battle was FANTASTIC. <3333 So much love for Mrs. Weasley. She really outshone the rest of the fighters, except for the one that followed. :D After Snape's revelation, Bellatrix became my most hated character.
- In the end, I could never hate Voldemort as much as I grew to hate Snape or Bellatrix, after book six. He had such a horrible life, and his death was so... humiliating. I have no idea why I don't, maybe because we all know that being at the top of the world is a lonely position, or something philosophical like that.
- OMG <3 Draco redeemed himself in my book. He sucked big time in books one to five, but for some reason, after seeing him scared and weak in book six, and then having to endure all that horribleness of being a Death Eater's son, and having to sit in every one of those frightening meetings.... and still having the guts to cry and hesitate when he was suppose to kill Dumbledore, made him just a little more human/wizard/normal. Children are not natural bullies afterall... (haha, ""children."" I feel old.)
- Revealing Dumbledore's past was genius. I loved how the story of his family came around again; at the start, Harry questions Dumbledore's childhood, and at the end of the book, his past is restated again to clear up Harry's worries. It also goes to show how humble Dumbledore has really become. Throughout the series, Dumbledore has been given the ""all powerful awesome"" position. But this only goes to show that he has flaws, just like any other human/wizard. Aberfoyle = owner of Hog's Head was... ""XD"" Who knew?
- Harry's chat with Dumbledore = <3  
- Reaction of everyone over Harry's pretend death = XD <3
- And of course, the Harry/Voldemort final battle. I love how Harry explained everything to Voldemort. In a way, it followed the basic storyline where everything is revealed to the other before the battle. Not only was this all a crushing blow to Voldemort's ego, but it showed how much of a hero Harry was, and how much he went through. No matter how much Ron and Hermione stuck by Harry, I knew the battle would never be over until Harry faced Voldemort by himself.
- Did I mentioned how FANTASTICALLY (sp?) AWESOME AND SPLENDID NEVILLE WAS? I half expected him to drop dead from his recklessness, but he went on to become a professor. :O <3 


(-) negative stuffs >>
- Hedwig's death was so.... simple. I thought there would be more, but it really felt like Rowling needed to wack off some characters and decided Hedgwig was easily the first. Augggh. I suppose it made sense in the end. How else were they to hide if Hedwig needed to fly around all the time?
- DOBBY (;_______;) Auuuugggghhh. Harry's burial for Dobby was so touching, and once again, his Muggle upbringing separates him from the rest of them again, for his humbleness.
- FRED (T________T) Whyyyyyyyy. The twins were the best thing about the Weasleys! Once George's ear was wacked off, the main humour just died with the series. Of course it made sense, seeing as how everything became serious almost immediately after Harry turned 17-- but still. Their humour just simple made the series a little more silly.
- The Lupin we see for the last two books seem to be so different than the Lupin we were introduced to in book three, which bothered me a lot. He was awesome, and then slowly, he was not. As much as I liked Tonks in book five, the Tonks in book six was just.... AUGGGG WHAT HAPPENED!? She changed so much, into a weeping something something. AUGGGH. I accepted that they got together, and ok, there was Teddy... but then they had to die fighting Voldemort, and leave him as an orphan!? ...WHAT?
- Peter sort of became meaningless altogether, when he strangled himself. I thought for sure, he would jump in harm's way for Harry, or something more spectacular. I guess in the end, he was always, never really special to begin with. Aside from, you know, being James and Lily's secret keeper. His 15 seconds of fame.
- CRABBE = INTELLIGENT? WTH??? That totally surprised me for... 3 minutes. It was so... odd. But Goyle stayed the bumbling side sick, which returned everything to normal for me. To have him turn on Draco was completely weird as well. If only for another minute.


(@) random comments >>
- Draco's son is name.... Scorpius. ...what?
- The detail about Draco's receding hairline was so amusing but so RANDOM. Hahahaha!! I guess that could happen if you had your bangs held back by gel your whole life. Hm. Did that come from the movie or was that always so from the first book? I wish I had the entire series to check back on these random details.
- Dudley warming up to Harry was <i>odd</i>.... but very touching in a way. I think their relationship could have been what Petunia felt towards Lily, if she lived.
- Harry's sacrifice for everyone, and thus, no one could die by Voldemort's hands... was brilliant. 


(?) confusing stuffs >>
- I had already discussed this with a friend, and I must have have read this in book six or it was suggested in book six, but I started book seven believing Harry = horcrux #7. But as I read Deathly Hallows, it seems that was not entirely the case?? The horcruxes, in no specific order:
1. Hufflepuff's cup
2. Ravenclaw's diadem
3. Slytherin's ring
4. Riddle's diary
5. Nagini
6. Slytherin's locket
7. Voldemort's own body
That made seven. But since Dumbledore suggested that Harry's body contained a part of Voldemort's soul, I became confused. Did he make 8?
- The switching of the Elder Wand reaching Draco confused me. I think this was in reference to something from book six, but I don't have the energy or time to go back to check it out right now.
</lj-cut>

As much as I have said, about disliking Order of the Phoenix and Half-Blood Prince, there is no way Deathly Hallows could have been as interesting as it was, without throwing reference to things from those two books.

- Errk. My only fear now is that I will have more to say, and spend another hundred entries writing them out.
- I tried to avoid the internet from when I heard there were leaks, up until I finished the book, two/three hours ago. XD;; Um yeah.
(edit: Ok no, that was a lie. I was on LJ looking at posts prior to the 21st. And e-mail. But otherwise... <font size=""1"">I know, I'm a freak who simply hates to be spoiled. 8D;;</font>)
- (This took way too long. I have to be up in less than 5 hours. ;;;;)

- There was an article in the papers today, about a Harry Potter academic symposia. Some of the topics they cover are so interesting... it's like an extension of <lj comm=""hp_essays"">, with fun and games. Source www.hp2007.org"
"eventtime","2007-07-29 01:09:00"
"current_moodid","93"
"url","http://tarocake.livejournal.com/61492.html"
"userid","15247"
"itemid","239"
"event","I have to be the slowest reader in the HP fandom. So after delay in receiving the book because I wasn't home to pick it up Monday (T_T;; I raced the clock to get to the post office after work, Tuesday. Tonight is Thursday, and I have just reached page 196. Ah well.
<lj-cut text=""Random comments as of page 196, spoilers of course"">
I wasn't sure what to expect. I know I'm not the only one to be disappointed with Order of the Phoenix and Half-Blood Prince, because it seems like a lot of fans dropped from the fandom because of those two books. But seeing as how Rowling, who once claimed Prisoner of Azkaban to have been her favourite, now adds that Deathly Hallow has surpassed it, I'm reading in confidence that this will be better.

+ She really gets right into it, which is a far change from all the seemingly useless stuff that goes on in the previous two books.
+ For some reason, I just can't seem to find myself seeing Harry/Ginny as a good couple. Maybe if it happened earlier in the series, I could see it happening... but it's gone past the cute stage it could have once been.
+ Ron/Hermione!! I love how they finally got together here. If they became a couple too early, I think Harry's feelings would have gotten in the way of their friendship.
+ MULTI-COLOURED RAINBOW BABY CUBS! XD I couldn't help but squee at how awkward the Lupin moment was, but so cute the thought of it would be. Of course, Harry's outburst that followed kind of ruined it...
+ Kreacher did a ONE EIGHTY.... he would have been the last person/creature I expected to change his attitude. Except maybe Umbridge. But now he's so...<i>good</i>. I want a house elf. (.__.)
</lj-cut>"
"eventtime","2007-07-27 01:21:00"
"url","http://tarocake.livejournal.com/61371.html"
"userid","15247"
"itemid","238"
"event","Yesterday, my mum read in the papers that HP7 was coming out this Saturday. She then tried to get my attention to break the news to me, being all excited for me.... (.___.) as if I didn't already know. Then my dad chimes in, not wanting to feel left out.

Mum: Did you know? Did you know? People are already starting to line up!!!

Me: What!? So many days in advance!?

Mum: How should I know!

Me: ....!!??? (You just said...)

Dad: HP7??? Really? When? Where?? I'll line up for you! Tell me where to go!!!

Me: !!!!????? (The thought of my dad standing outside among pre-teens and their parents leaves me almost speechless.) ....Um. No need, I already pre-ordered. (But thanks.)

Dad: Ohohoho!!! Smart! She's smart!!

Me: .....

It's like, the more they're excited for me (for anything, really), the more I feel like our roles are reversed."
"eventtime","2007-07-17 01:48:00"
"current_moodid","121"
"url","http://tarocake.livejournal.com/60980.html"
"userid","15247"
"itemid","237"
