"names","values"
"itemid","272"
"event","So yeah. I graduated from college, got a grown up job, and moved to Charlotte NC. 

A LOT has happened in the last two years, and not much of it has been good. But things are getting better...I make good money now, we're away from all the negative people who have been damaging our relationship, and we're closer than ever. 

AJ is 15 months old now, and he can walk and sort of talk. It's scary how time flies. 

Perhaps if I can find a little more time I will start updating more often."
"eventtime","2008-01-26 23:24:00"
"url","http://thegeekmafia13.livejournal.com/69840.html"
"userid","15550"
"itemid","271"
"event","I don't want to be alone anymore."
"eventtime","2007-08-09 22:52:00"
"url","http://thegeekmafia13.livejournal.com/69593.html"
"userid","15550"
"itemid","270"
"event","Dear Shire Pharmacueticals,

Thank you for inventing Adderall.


Sincerely,
Becky Stewart"
"eventtime","2006-11-14 23:43:00"
"url","http://thegeekmafia13.livejournal.com/69231.html"
"userid","15550"
"itemid","269"
"event","stupid bitch, i hope your plane crashes.






btw, i had my baby oct 8th. he's cute."
"eventtime","2006-11-11 03:08:00"
"url","http://thegeekmafia13.livejournal.com/69004.html"
"userid","15550"
"itemid","268"
"event","just for laughs, and because i can't sleep, i was reading through my old journal entries. and on january 18th, i was complaining about being fat - at the very end of the entry, i wrote ""watch me turn out to be pregnant""


talk about ironic....


but yeah, my due date has come and gone, and still no baby. this is just unacceptable."
"eventtime","2006-09-29 02:39:00"
"url","http://thegeekmafia13.livejournal.com/68798.html"
"userid","15550"
"itemid","267"
"event","uncle."
"eventtime","2006-09-04 11:42:00"
"url","http://thegeekmafia13.livejournal.com/68465.html"
"userid","15550"
"itemid","266"
"event","al's friends are really horrible people, and i hope their trip to atlantic city is plagued with misfortune. 


plus, they are all fat."
"eventtime","2006-07-25 08:19:00"
"url","http://thegeekmafia13.livejournal.com/68128.html"
"userid","15550"
"itemid","265"
"event","this has been a shitty day."
"eventtime","2006-07-11 22:11:00"
"url","http://thegeekmafia13.livejournal.com/67977.html"
"userid","15550"
"itemid","264"
"event","being pregnant officially sucks. 

i find it extremely ironic that it's the people who have 10 kids between them who think that i am boring and drag down their good time because i am pregnant, as opposed to my single, childless friends. or rather, friend. 

personally, i think a certain someone has a crush on my boyfriend, and is looking for excuses to get him away from me so he will pay attention to her. 

most of the time, i want to be ghetto fabulous and punch her in her big teeth. but then i remember that i am trying to be high class, and classy people dont get into fist fights over their men when they are pregnant.

besides, when alfie was filling out a job application yesterday, he put down that i am his fiancee. now if only he would formally ask me...."
"eventtime","2006-07-07 22:15:00"
"current_moodid","10"
"url","http://thegeekmafia13.livejournal.com/67789.html"
"userid","15550"
"itemid","263"
"event","so as of monday night i am the proud owner of three handicapped salamanders. our friends jeremy and stephanie have these pet turtles, and while they were on vacation their three kids each caught a slamander from the river out back. they decided to have the salamanders live with the turtles, only to discover that turtles eat salamanders. so after the turtles ate the fron legs off of all of them, i offered to take them home with me so they wouldnt have to suffer anymore. i made them a cute little house, and they seem to be happy. i just hope they dont die overnight. i have a knack for killing small animals that i try to rescue.






 

also, for those of you who are behind the times, i am having a baby in september. and its a boy."
"eventtime","2006-05-09 20:29:00"
"current_moodid","99"
"url","http://thegeekmafia13.livejournal.com/67474.html"
"userid","15550"
"itemid","261"
"event","so im lying in bed, trying to go to sleep, when all of a sudden i think of josh. 



yeah. 



so now its 115 in the morning and im googling my boyfriend from freshman year of high school. im cool. i think im going to go call al and tell him i love him. just in case he forgot."
"eventtime","2006-02-10 01:12:00"
"current_moodid","60"
"url","http://thegeekmafia13.livejournal.com/66903.html"
"userid","15550"
"itemid","260"
"event","so. it would appear that over the course of the last two or three months, i have gained almost 25 pounds. now, while some people carry extra weight well, i do not. i no longer fit into the majority of my clothes, and those that still button/zip/cover my lovehandles are so tight that i am ashamed to go out in public. 

as a result, i have decided that i am going to lose not only those 25 pounds that have mysteriously found their way to my midsection, but i am also going to lose another 20 pounds on top of that, making my goal weight 120 pounds. i understand that this is mildly unrealistic, but im gonna give it a shot. there are alot of really great numbers between 120 and 165. 

i have a distinct feeling that my weight loss success is going to rest solely on the shoulders of exercise, because i am poor. and it is a proven fact that the poor cannot afford healthy food, which is why they are among the least healthy in this country. so my goal is to spend at least an hour a day doing some sort of cardiovascular activity, and a half an hour of weight training every other day. 

i need to call the Y and find out if i qualify to get a free membership becuase i am so poor. maybe ill give them a sob story about how ive gained so much weight, and i cant climb a flight of stairs without wheezing anymore, and yeah. the Y is way better than the gym at the college. mostly becuase i hate working out in front of all the little sorority girls and their size 0 spandex. 



watch me turn out to be pregnant. 




daily log: 1 mile on the treadmill, jogging
           1 mile on the bike
           50 crunches

i ate: 1 bowl of macaroni and cheese for breakfast
       1 three cheese calzone
       1 bottle fruitopia"
"eventtime","2006-01-18 16:56:00"
"url","http://thegeekmafia13.livejournal.com/66635.html"
"userid","15550"
"itemid","259"
"event","i havent been able to sleep the last few nights, and its really starting to get to me. all i seem to be able to do is lay in bed and think about all the ways the creepy old guys at work harass me. so now its three am the night before my industrial safety final, and i am updating my livejournal and eating a chocolate chip cookie. this sucks.

so yeah, im poor, and yet i insist on having a decent christmas. therefore, i am launching myself even further into credit card debt in order to buy al good presents. 

i have quite decided i need to make more girlfriends. i have none. at least, none that still live in keene. and certainly none that plan on coming back to keene after graduation. 

its weird how i can be so happy, and yet so miserable at the same time. it just baffles me. i have an amazing boyfriend who is crazy about me, but i live in a shithole apartment that im pretty sure is rotting from the inside out, thereby giving me allergies and causing me to perpetually be sick. i have a shitty job that pays me worse money, where i get sexually harassed and treated like im stupid because i dont have a college degree yet. too bad im probably smarter than just about everybody in management. i drive a shitty car that breaks down every other day, and if it werent for jeremy (who is a fucking saint for putting up with me), it would probably be a gutted carcass at nick's used cars and parts by now. and the fact that all of our money goes directly to paying bills, so that we have no opportunity to save anything, only makes things worse. we talk about moving to a new apartment. we talk about buying a house. we talk about getting married. but at the rate we're going, we're going to be 50 years old, still unmarried, still living in the same shitbox becuase we cant afford anything else. i keep telling myself that once i graduate things will be better, but its going to take me at least another two years to finish. probably more. all because we cant afford for me to go to school full time. other people make the real world seem so easy - its not. and it sucks. but at least i have al. being with him makes it all worth it, really. and i know that if we can make it through this, what with my constant tantrums and lashing out for no reason because i dont know what else to do, then i know we can make it through anything. 

i just reread that, and i gagged. thats my cue to go and pimp myspace until the alarm goes off at five."
"eventtime","2005-12-13 03:02:00"
"current_moodid","87"
"url","http://thegeekmafia13.livejournal.com/66408.html"
"userid","15550"
"itemid","258"
