"names","values"
"itemid","20"
"event","I've been wanting to practice the drum set. I'm too lazy to take the trip upstairs. I don't want anyone to listen to how rusty I have gotten. I miss the drums. We all hang out still. 

I'm glad I'm not in a band. LOL.

~Jackie"
"eventtime","2004-03-02 14:04:00"
"current_moodid","18"
"url","http://therowdymellows.livejournal.com/5353.html"
"userid","15643"
"itemid","19"
"event","so yeah last week we practiced funny huh hahaha we sucked horrible horrible jackie didnt even touch the drums and steven plays too loud"
"eventtime","2004-01-08 08:27:00"
"url","http://therowdymellows.livejournal.com/4870.html"
"userid","15643"
"itemid","18"
"event","I HAVNT TOUCHED MY BASS IN A LONG TIME!!!!!!!!!!"
"eventtime","2003-12-08 08:08:00"
"current_moodid","2"
"url","http://therowdymellows.livejournal.com/4805.html"
"userid","15643"
"itemid","17"
"event","stupid band! i quit! I'm going to another one! yeah i said it."
"eventtime","2003-11-01 18:59:00"
"current_moodid","24"
"url","http://therowdymellows.livejournal.com/4405.html"
"userid","15643"
"itemid","16"
"event","Seems like there haven't been any  updates on this thing. We havent practiced. It's true. That's because we aint got an amp. I am saving money to get steven an amp. Yes I am. So far I got $240 at this rate I should get him an amp in 2 months, Or longer if I get the one I want to buy.

mmmmm I'm horny for that amp. JK! anyway. I got to go. I'm hungry"
"eventtime","2003-09-14 13:19:00"
"current_moodid","18"
"url","http://therowdymellows.livejournal.com/4204.html"
"userid","15643"
"itemid","15"
"event","EVERY ONE BETTER GET READY FOR THE BOGAN SHOW CUZ IM GONNA GET US THAT AUDITORIUM AND WERE GONNA ROCK THAT LITTLE FUCKEN NIGGER SCHOOL OUT. SHOW THEM IGNORANT BLACK KIDS REAL FUCKEN MUSIC NOT THE TYPE OF SHIT THAT COMES OUT OF A FUCK MUSIC BOX. PACO BETTER SHOW THEM REAL EFFECTS, SHOW THEM THE AUDIO TERRORISM, AND VAL SHOW THEM SOME REAL FUCKEN DRUM BEATS NOT THAT ONE TWO THREE FOUR BULLSHIT THERE SO USED TO HEARING. ADRIAN YOU KNOW YOUR GONNA SHOW THEM THE REAL FUCKEN BASS LINES. WERE GONNA ROCK THAT LITTLE AUDITORIUM, HEADSHOT,THE ROWDY MELLOWS, AND OTHER BANDS WERE ALL GONNA SHOW THEM HOW TO FUCKEN JAM OH YEAH ROCK ON FOR EVER PEACE

HAVE FUN GO NUTS,
MIGGI

P.S. SEE YOU IN THE PIT"
"eventtime","2003-08-24 12:32:00"
"current_moodid","87"
"url","http://therowdymellows.livejournal.com/4066.html"
"userid","15643"
"itemid","14"
"event","Miggi wrote the previous entry"
"eventtime","2003-08-23 17:02:00"
"url","http://therowdymellows.livejournal.com/3757.html"
"userid","15643"
"itemid","13"
"event","well the rowdy mellows have been neglecting practice again. i think we really need it not that we suck but i know were getting rusty. do you remember our playlist well it changed once again here it is

Fell in love with a girl-the white stripes TRM punk cover
seven nation army-the white stripes TRM punk cover
straight edge-minor threat"
"eventtime","2003-08-23 16:56:00"
"url","http://therowdymellows.livejournal.com/3577.html"
"userid","15643"
"itemid","12"
"event","rumor has it were playing at a block party with <lj user=""headshot""> and some other band or something like that. and also at some artsy fartsy place that i dont want to go to. well i have gotten better at the drums...tee hee a long with steven he has gotten better too. 

yeah so talk later bye

-Jackie"
"eventtime","2003-08-05 20:38:00"
"url","http://therowdymellows.livejournal.com/3221.html"
"userid","15643"
"itemid","11"
"event","Well I just got the news that We are getting a new singer! ah! The singer is June-Bug. He wants to or something like that. Eh. I guess. I don't mind.

-Jackie"
"eventtime","2003-07-05 02:21:00"
"current_moodid","37"
"url","http://therowdymellows.livejournal.com/2961.html"
"userid","15643"
"itemid","10"
"event","Grr! Still no practice. I'm pissed off. we have so many chances for gigs. they want us to play but we don't take up the chances! at this rate we will get no where. I don't know what else to say. All I know is that there will be no practice soon.

-Jackie"
"eventtime","2003-07-03 00:52:00"
"current_moodid","55"
"url","http://therowdymellows.livejournal.com/2793.html"
"userid","15643"
"itemid","9"
"event","We haven't practiced in a long time and Thats super bad!! I lost my super powers....J/K as U all know I got new Sticks. Ahead ones like vals. I have been wanting to play but.....complications in this little mind. eh. I hope it all goes well. Tomorrow we practice. MAYBE! its saturday and its always suppose to be Jackie and Steven hang out day. Meaning only us. any other day he can do as he pleases even tho i seem to be there all the time. but hey. it just means i dont get to complain.....well I guess this is it.


-Jackie"
"eventtime","2003-06-28 01:16:00"
"current_moodid","5"
"url","http://therowdymellows.livejournal.com/2436.html"
"userid","15643"
"itemid","8"
"event","We Practiced today and i think we are sounding better every day. We are almost on the point where we can start learning real punk and not The White Stripes Songs. Christians Party was canceled until next month. Good for us. We get to practice more and more. Our song line up is, or the way i think it should be is: Fell in love with a girl, Seven nation army, Little room, I think i smell a rat, and Straight Edge. Thats only my opinion. I dont know about the rest of the band members. David seen us play today. He said were good. I hope we get signed by his friends label. That would be cool

*Steven"
"eventtime","2003-06-22 23:17:00"
"url","http://therowdymellows.livejournal.com/2097.html"
"userid","15643"
"itemid","7"
"event","i hate gangsters they fucken suck cocks thay are the most retarded things on this planet. we havnt practiced in a while because of the retarded ass gangsters. we need to practice so we can get better. steven i feel for you

                                      -miggie"
"eventtime","2003-06-13 09:41:00"
"current_moodid","2"
"url","http://therowdymellows.livejournal.com/1936.html"
"userid","15643"
"itemid","6"
"event","im bored as hell in school and uh i forgot we need to practice more not that were not good but because we have to get reallllly good

                                          -miggie"
"eventtime","2003-06-12 09:23:00"
"current_moodid","5"
"url","http://therowdymellows.livejournal.com/1539.html"
"userid","15643"
"itemid","5"
"event","it getting closer and closer to our fist show and i still think we need more practice
i dont know we got some songs down good but i keep messing up the lyrics im just going to listen to all the songs none stop"
"eventtime","2003-06-11 09:34:00"
"url","http://therowdymellows.livejournal.com/1451.html"
"userid","15643"
"itemid","4"
"event","we went to a punk show today it was ok. i want to start practicing punk songs... punk is fucken cool as hell!!!!!!!

         oi! oi! oi! -miggi"
"eventtime","2003-06-08 02:50:00"
"url","http://therowdymellows.livejournal.com/1083.html"
"userid","15643"
"itemid","3"
"event","Well a slight correction on miggis lj entry. Our first show is the 13th and not the 6th. Our band is coming out coolio. I cant wait to get my amp and fucken kill on guitar. Im scared that no one will like us at vals cousins party because they probably aint all about punk or the white stripes. But fuck it we need to start somewhere. If they dont like us we will find our own crowd. Show today at night by Western and 22nd. Am i going or not. Ill ask Jackie later. I really wanna go no matter who is there. I dont care if Quatro is there.

-Steven"
"eventtime","2003-06-07 00:37:00"
"current_moodid","90"
"url","http://therowdymellows.livejournal.com/796.html"
"userid","15643"
"itemid","2"
"event","our first show will be june 6 and we got another show at a talent show june 20th. we also have another upcoming show at a cotillian. this is our song list

The White Stripes- Fell in love with a girl
The White Stripes- Seven Nation Army
The White Stripes- Dead Leaves on the Dirty Ground
The White Stripes- Little Room
Minor Threat- Straight Edge
Minor Threat- Out Of Step
Millencolin- No Cigar

-miggi"
"eventtime","2003-06-06 18:02:00"
"current_moodid","92"
"url","http://therowdymellows.livejournal.com/761.html"
"userid","15643"
"itemid","1"
