"names","values"
"itemid","5"
"event","so i say: ""go for it""


ah, my cute and wonderful little boyfriend never updates this...

tsk tsk tsk.
he won't let me update his IAM account... but because he never writes in this one (and since none of his friends read this) then i can update in it.
he hates me... 

okay. so maybe he doesn't really hate me.

okay... so maybe he <i>might</i> love me.

and honestly... i love him, so i suppose it doesn't matter how he feels. i will kidnap him and make him fall horribly in love with me until the end of time.

i've actually been here, at his house for about 4 days now. i get into the trap of falling asleep beside him... and not being able to fall asleep without him.
he's craving attention at the moment, so he's talking verra loud and making jokes. i love him.
he's also wearing the ""soothsayer"" shirt i bought for him several months ago from express. it makes him look ten times sexier than he does on an everday basis (which uhm... is pretty hard to do.)


they're getting ready to play risk (boys will be boys).
and while i'm all supportive of boy-time... i'm quite the impatient girl.
and i want to pounce my boyfriend!!! 

... mmm... now.

so aside from his first entry, i think this is the longest update there is.
unfortunately, it's not actually his update, but more of his girlfriend's.

his small little filipino girl who's horribly in love with the most amazing, crazy and adorable man ever.
and they lived happily after all...

<i>The End</i>"
"eventtime","2005-11-18 00:29:00"
"current_moodid","86"
"url","http://theshultz.livejournal.com/1432.html"
"userid","15654"
"itemid","4"
"event","<P>Update...? Shhh .. I update all the time!&nbsp; Baby I just wanted to say <STRONG>I love you and I miss you </STRONG>!!! And you should know that... Even when your trying to pick my nose... or punch me in the<STRONG> FACE</STRONG>... Your at work right now and that sucks... cause Im all alone.&nbsp; Well I love you and Ill talk to you later babe!!!!!!! <STRONG>Peace out BIATCH!!!!</STRONG></P>"
"eventtime","2005-07-23 13:39:00"
"current_moodid","87"
"url","http://theshultz.livejournal.com/1240.html"
"userid","15654"
"itemid","3"
"event","Hey people ... wait no one reads this .... Ahhhhh whatever!!! Gina is picking her nose... ""WRONG"" Idioth... Goth Daim!!! Shes a whore for my kisses... But I love it... Ok So The Holland Account has some new shows and uhhh everyone should COME!!! Send all your fiends here... The shows are as follows: April 23rd @ The Steel Workers Hall ***FREE SHOW***... If you need directions leave a comment..., May 12th @ The 4th Quarter in Terre Haute, May 21 @ in Kokomo once again for directions leave a comment, May 25th THE BATTLE OF THE BANDS!!! @ The Patio in Broad Ripple!!!, June 11th @ The Legacy in Terre Haute w/ Dystalis, Cerebral Holocaust, Xerosum, and ExEsion ... Hope to see you there... If your reading this Im writing JUST for you!!!!!!! Ohh and I love my Girl friend, Im only writing this part cause shes looking over my shoulder.... !@#**GO AWAY**#@!... Im us keddin!!! 

The Shultz"
"eventtime","2005-04-14 21:48:00"
"url","http://theshultz.livejournal.com/814.html"
"userid","15654"
"itemid","2"
