"names","values"
"itemid","27"
"event","So Friday was my last day at Boocoo.  I had saturday off.  I havent had a saturday off in a long time.  So Im hanging out in DTRO with Kat and we decide to eat at Quiznos for dinner, I have a Club w/bacon, Then we go bowling.  Half way through the second game Im not feeling so hot.  We finish up our three games then go back to my apt.  I then proceed to have the most violent regurgitation process I have ever witnessed.  I then decide Im going to try to Sleep while Kat watches TV.  She then visits the bathroom and does the same thing I did.  Now its about 5:00 am,  Neither of us can even hold water down and Kats Mom suggest we visit the good old ER.  Half hour later Kat and I and next to each other on Saline drips till 9:00 am.  Could you ask for a better day off, I think not.  

In case you are wondering I did report it to the Oakland County Health Dept."
"eventtime","2005-02-01 00:14:00"
"url","http://tophbillion.livejournal.com/6940.html"
"userid","15927"
"itemid","26"
"event","How goes everybody who reads this?
Myself, I am doing great.  I got meself a new job.  I will now be cooking over at 220 in Birmingham.  I get a wonderful 3 dollar raise (with opportunities for more), health insurance, 401K, and opportunity for paid vacation.  It will be nice because, if anyone keeps up with the Metro Detroit restaurant industry which I doubt you do, The wonderful Chef Shawn Mac was fired and replaced the a money making chef.  This guy is a huge shoe maker.  I may know more about culinary art then he does.  Anyways I would not recommend eating a Boocoo anymore because his menu sucks, might as well just go to Olive Garden.  

MMM... rant that most people wont understand.

I still have not been out skiing yet this season but if anyone wants to (ie Ben) give me a ring so we can.
Other than that all is good in the R.O. ,or actually Troy, front.

Hope you enjoyed this, now its time for some counterstrike."
"eventtime","2005-01-28 01:30:00"
"current_moodid","64"
"url","http://tophbillion.livejournal.com/6875.html"
"userid","15927"
"itemid","25"
"event","Haven't updated in a while, I think I am due.  
Well i am 98% settled in to the apt now.  The only thing left is 2 people to move out so I get my storage space for all my other crap that I don't use on a regular basis.
I have been without the internet for a few days now due to billing switches and having to buy a router but now it is back (obviously) and stronger than ever,  hell yeah 802.11g.

If anyone remembers or even reads this I wrote a bit ago that shit may be going down at work. Aka people leaving or being fired.  Well it has begun.  One sous chef has been fired over an argument about a ramekin.  I really not sure how that happened.  Also our  pastry chef gave his 2 weeks  and rumors are that all 3 front of house managers are leaving in one fashion or another.  Any ways I am metaphorically grabbing the bull by the horns (""but that really did happen"") and am going after the sous chef position.  Being a sous chef at the restaurant of the year at age 20 would look damn good on a resume.

If the sous chef thing falls through than I am learning how to be a bartender.  I am working on getting my certification now. Fun stuff happening in Chris land.  Its going to be a rough few months."
"eventtime","2004-10-14 03:27:00"
"current_moodid","64"
"url","http://tophbillion.livejournal.com/6557.html"
"userid","15927"
"itemid","24"
"event","So I am almost all moved in to an apartment.  I at least have all the essentials unpacked. 
I went grocery shopping to get all the staples of a kitchen and it cost me $95.  Now to start on my very tight budget.

Well anyways give me a call and you can come and see the place for whoever is interested.  I will get some pics as soon as I unpack my webcam."
"eventtime","2004-09-07 23:52:00"
"current_moodid","40"
"url","http://tophbillion.livejournal.com/6309.html"
"userid","15927"
"itemid","23"
"event","So exciting stuff, I am moving out of my parents house.  After living here for 20 years I am ready to go (having never left for college).  The aprtment is in Troy off of Rochester Rd and 16 mile.  2 bed 1 bath.  It has a balcony too.  The guy living there already is awsome, he is just like me.  Wow that sounded pompous but what I meant was he has the same interests.  Anyways I move in 2 weeks so as to give the people who are ""mooching"" time to move out.  Well time to start packing up all my shit which may just take me 2 weeks."
"eventtime","2004-09-03 02:20:00"
"current_moodid","41"
"url","http://tophbillion.livejournal.com/5920.html"
"userid","15927"
"itemid","22"
"event","Wow do I feel left out.  Everyone has these long lj updates about going back to school and the hassles of moving and I just go to work.  Things a starting to get a bit wierd.  

In other news I went to the ER yesterday.  I decided it wold be fun at work to spill 500 degree rendered duck fat on my index finger.  Boy was I wrong, It wasent fun at all.  As it turns out I have first degree over most of my finger, a patch of second degree over the second nuckle, and in the center of that a bit of 3rd degree.  Yay lack of feeling in part of my finger.  So my finger in semi swollen and hard to use and i need to find out how to file for workmens comp.

On a lighter note I gauged my ears to a 10."
"eventtime","2004-08-26 13:15:00"
"current_moodid","5"
"url","http://tophbillion.livejournal.com/5838.html"
"userid","15927"
"itemid","21"
"event","went to the curiosa festival today.  It was freeking awsome.  Mogwai was great, Muse kicked my ass, interpool weas good and the Cure was not to shaby either.  All in all a great day.  Although we were very close to Muse when they played so I now have the usual after concert ringing in my ears.  

In other news My idustrial (upper ear double piercing) got the thumbs up 100% healed.  I was able to take it out to clean it.  YAY :D"
"eventtime","2004-08-12 00:40:00"
"current_moodid","31"
"url","http://tophbillion.livejournal.com/5596.html"
"userid","15927"
"itemid","20"
"event","How goes the live jounal,

Im really tired but for some dumb reason im not in bed.  
We have a health inspection at work tommorow and a had to clean the entire back kitchen with a toothbush.  Mind you that is an exageration but the back kitchen is about 3/4 of the whole kitchen including coolers, freezer, dry storage, equiptment storage, tables, sinks, tilt kettles, and varios other large equiptment.

I have the day off tommorow so I can go to the Curiosa festival.  Yay Muse.  That is going to rock.

Lets see,  My lip is now sore and swollen again because I put in new and totaly different jewlery.  Its a j bar, pretty self explanitory,  but it is completly changing the shape of the piercing.  Other than the swelling it looks damn cool.

Doom 3 still rocks my world and scares the crap out of me at night.

well im off to read the 4th harry potter and ice my lip in hopes the swelling and sorness will go away."
"eventtime","2004-08-11 00:16:00"
"current_moodid","40"
"url","http://tophbillion.livejournal.com/5227.html"
"userid","15927"
"itemid","19"
"event","so I woke up early today (9:30 am, yes thats early for me)so that I could pick up Doom 3.  Had it installed by 10:30 finally got it working right at about 12:30 am (stupid video drivers).  

Anyways I just played for about 2 hours and that is one scary game.  No lights on but my computer screen, Deamons screaming and moaning in 5.1 surround sound, and im alone.  

Before anyone says it, yeah im a dork but Im a dork that has been looking forward to this game for over a year.  Now to add to the dorkiness im going to go read harry potter."
