"names","values"
"itemid","811"
"event","<span style=""font-size: xx-large""><span style=""color: #ff6600""><strong><em><u>HAPPY&nbsp;BIRTHDAY&nbsp;CASSIE</u></em></strong></span></span><br />"
"eventtime","2009-02-25 00:11:00"
"url","http://truthntrust.livejournal.com/207793.html"
"userid","16086"
"itemid","810"
"event","<strong>Ten How's<br /><br /></strong>How did you get one of your scars?<br />scar on calf, from playing with fire and dropping the lit thing on my leg<br /><br />How did you celebrate your last birthday?<br />With my family, Cassie and Kagun<br /><br />How are you feeling at this moment?<br />Sick but I'm doing alright<br /><br />How did your night go last night?<br />it was ok, I was stuck in an incredibly boring class but other than that it wasn't horrible<br /><br />How did you do in high school?<br />It was great but I would never do it again<br /><br />How did you get the shirt you're wearing?<br />I bought it from Target<br /><br />How often do you see your best friend?<br />I used to see her everyday, than I saw her every other day or so, then I saw her every day, then I didn't talk or see her for 6 months, then i saw her 1-2 times a week, and now I see her in person every few months and online once a week.<br /><br />How much money did you spend last month?<br />more than i should have<br /><br />How old do you want to be when you get married?<br />25 or so<br /><br />How old will you be at your next birthday?<br />22<br /><br /><b>Nine What's</b><br /><br />Your mothers name?<br />Nancy<br /><br />What did you do last weekend?<br />went to RR with Kagun<br /><br />What is the most important part of your life?<br />my family<br /><br />What would you rather be doing?<br />laying with kagun<br /><br />What did you last cry over?<br />leaving RR<br /><br />What always makes you feel better when you&rsquo;re upset?<br />depends why I am upset<br /><br />What&rsquo;s the most important thing you look for in a significant other?<br />honesty<br /><br />What are you worried about?<br />many things: graduating, finding a job, supporting kagun and i, taking care of things, and many other things<br /><br />What did you have for breakfast?<br />I didn't.<br /><br /><b>Eight Have You's</b><br /><br />Have you ever liked someone who had a girlfriend/boyfriend?<br />probably<br /><br />Have you ever had your heartbroken?<br />Yes.<br /><br />Have you ever been out of the country?<br />Yno but Italy is at the top of my list<br /><br />Have you ever done something outrageously dumb?<br />sure I have<br /><br />Have you ever been back stabbed by a friend?<br />somewhat<br /><br />Have you ever had sex on the beach?<br />no but i don't really want to, i'd rather join the mile high club<br /><br />Have you ever dated someone younger than you?<br />ionce or twice but i usually date older<br /><br />Have you ever read an entire book in one day?<br />yep.<br /><br /><br /><b>Seven Who's</b><br /><br />Who was the last person you saw?<br />the guy proctoring my exam<br /><br />Who was the last person you texted?<br />kagun<br /><br />Who was the last person you hung out with?<br />kagun<br /><br />Who was the last person to call you?<br />kagun<br /><br />Who did you last hug?<br />kagun<br /><br />Who was the last person you said &quot;i love you&quot; to?<br />kagun<br /><br /><br /><b>Six Where'sFive Do's/Does'</b><br /><br />Do you like someone right now?<br />very much so<br /><br />Do you think anyone likes you?<br />he better<br /><br />Do you ever wish you were someone else?<br />not usually, not anymore<br /><br />Do you know the muffin man?<br />the muffin man?!<br /><br />Does the future scare you?<br />all the time but just the immediate future, the distant future like marriage and family, not at all<br /><br /><br /><b>Four Why's</b><br /><br />Why are you best friends with your best friend(s)?<br />She is completely amazing. She is so strong and loyal and dedicated to everything she does that it is nothing short of inspirational. I love her more than life itself. <br /><br />Why did you get a myspace?<br />because<br /><br />Why did your parents give you the name you have? <br />i ask that all the time<br /><br />Why are you doing this survey?<br />figured i had nothing better to do until kagun gets home and we get some soup for me<br /><br />If you could have one super power what would it be?<br />Teleportation. so i can see my lovely cassie on her birthday<br /><br />If you could go back in time and change one thing, would you?<br />not sure there is something I would change, everything that has happened both good and bad in my life i believe has served a purpose<br /><br />If you were stranded on a deserted island and could bring one thing what would you bring?<br />other than a boat to get me off of the island? Cassie or Kagun, someone to talk to or eat...whichever i needed most ;)<br /><br /><br /><b>Two Would-You-Evers</b><br /><br />Would you ever get back together with any of your ex&rsquo;s if they asked you?<br />NO. I'm sorry boys, I am perfectly happy with the guy I'm with.<br /><br />Would you ever shave your head to save someone you love?<br />if it would honestly save them<br /><br /><b>One Last Question</b><br /><br />Are you happy with your life right now?<br />yeah, i am."
"eventtime","2009-02-24 12:08:00"
"url","http://truthntrust.livejournal.com/207611.html"
"userid","16086"
"itemid","809"
"event","you know what I don't get?! Why people bother to show up to class late. I mean not like a few minutes late but I mean class is 3 hours long and you walk in with an hour left, why bother coming? It really bugs me. I&nbsp;guess It's just because I'm the type who barely likes to come in late by a minute. However, its still stupid of you to walk in when you obviously haven't cared about the class during the last two hours. 

I am in no means the best student, in fact I tend to fake my way through everything I can. I make it seem as if I care as much as I can but sometimes I can only do so much...like right now, I'm sure the professor thinks I'm taking notes and paying attention but rather, we all know...I am not. It's because I'm smart, I type and look up at him while he talks so it looks as if I actually am coping every word he is saying. 

well lets just pray i get out early, i'm bored out of my mind."
"eventtime","2009-02-16 19:48:00"
"url","http://truthntrust.livejournal.com/207181.html"
"userid","16086"
"itemid","808"
