"names","values"
"itemid","137"
"event","I love my life. Every part of it."
"eventtime","2008-02-09 21:47:00"
"url","http://tyedgamerivalry.livejournal.com/35113.html"
"userid","16157"
"itemid","136"
"event","colbie caillat = best musical discovery of this summer thusfar."
"eventtime","2007-07-29 12:05:00"
"url","http://tyedgamerivalry.livejournal.com/35068.html"
"userid","16157"
"itemid","135"
"event","girls state was better than i anticipated. most of the girls i met were so much fun and there will always be a little place in my heart for perkins city. EFL udel was incredible, i met a lot of amazing kids that week and we had some great times. my summer 2007 memory box has some pretty good stuff in it already so far, this summer has the potential to be a really great one. we'll see."
"eventtime","2007-07-09 01:49:00"
"url","http://tyedgamerivalry.livejournal.com/34576.html"
"userid","16157"
"itemid","134"
"event","done!
junior year was a really good one.
next year will be sweet too, [[especially since i am senior class president!]] it's just gonna be hard without all of my friends who are going away to school but i'm trying hard not to sweat it cause i strongly believe that nothings gonna change between all of us and we're still all gonna see eachother all the time. tonight was fun hanging out with everybody. good way to start off my summer.
<3"
"eventtime","2007-06-16 00:23:00"
"url","http://tyedgamerivalry.livejournal.com/34379.html"
"userid","16157"
"itemid","133"
"event","these past three days have been so frustrating that today for the first time in my 12 years of going to school i went to the nurse and pretended to be sick so that i could come home. only 2 more days..."
"eventtime","2007-06-13 13:44:00"
"url","http://tyedgamerivalry.livejournal.com/34202.html"
"userid","16157"
"itemid","132"
"event","my summer job is gonna be amazing
and hopefully my summer itself will be too =]"
"eventtime","2007-06-10 19:28:00"
"url","http://tyedgamerivalry.livejournal.com/33824.html"
"userid","16157"
"itemid","131"
"event","i realllly wanna see john mayer on july 24th at pnc someone come with me

fja;sdkjsladkfjdklfj finals next week then im a SENIOR! finally."
"eventtime","2007-06-05 23:19:00"
"url","http://tyedgamerivalry.livejournal.com/33551.html"
"userid","16157"
"itemid","130"
"event","school is annoying but life is soooo good.
=]"
"eventtime","2007-04-30 22:23:00"
"url","http://tyedgamerivalry.livejournal.com/33291.html"
"userid","16157"
"itemid","129"
"event","prom was so so so so so so so much fun =]
junior year as a whole has been absolutely incredible.
it's just still so surreal that we're all growing up so faaaast. i love my life right now.
=]=]=]

and i really miss my cit kids. this summer isn't gonna be the same without being able to see them everyday. mk em ej sv ov tm cd am<33"
"eventtime","2007-04-28 02:38:00"
"url","http://tyedgamerivalry.livejournal.com/33206.html"
"userid","16157"
"itemid","128"
"event","WAAAAAAAAHHHHHHHHHHHHHHHHH
ive been so busy this week 
prom in 2. please don't rain.


""remember to bre-athe and every-thing will be o-kay"""
"eventtime","2007-04-25 21:57:00"
"url","http://tyedgamerivalry.livejournal.com/32884.html"
"userid","16157"
"itemid","127"
"event","My heart is with everyone at Virginia Tech right now.
I'm so glad Kevin's okay but I feel so horrible for all of the other lives taken by this terrible tragedy. 


""Realize what is important in your life and never take it for granted"""
"eventtime","2007-04-16 22:14:00"
"url","http://tyedgamerivalry.livejournal.com/32594.html"
"userid","16157"
"itemid","126"
"event","being seventeen isn't so bad
neither is being able to drive =]
prom is really really soon
and one more marking period left of school and then senior year heere i come.
this summer is going to be a lot of fun but it's gonna be weird not going to cb =[
SATs are mad soon too SDJGHSDJKGHSKJG!@$^
Disturbia was really good last night
i'm really excited for my cousins wedding in may cause i miss my extended family. and i can't wait till mikey comes home for the summer.
and i really want to go to a yankee game soooon.

pceee"
"eventtime","2007-04-14 22:23:00"
"url","http://tyedgamerivalry.livejournal.com/32369.html"
"userid","16157"
"itemid","125"
"event","i think that sometimes i lose sleep over things that are not worth losing sleep over.


and speaking of which, i've decided that i don't have to worry about growing up this year because i was born at 1:21 a.m...so i dont officially turn seventeen until that time this sunday buuuut daylight savings time is on sunday and clocks go from 12:59 am to 2:00 am, which means that my birthday is skipped over and i can't actually grow up until next year. sounds good to me. goodnight."
"eventtime","2007-03-06 21:47:00"
"url","http://tyedgamerivalry.livejournal.com/32244.html"
"userid","16157"
"itemid","124"
"event","so this summer im babysitting 2 days a week until 2:30 in the afternoon up near summit which is so nice and easy and im making awesome money for it =]. 

my road test is 3 weeks from today and im already starting to get all nervous and i have to get a new battery for my car and get it insured, titled, inspected, and registered between now and then...shit!

i looked at TCNJ today, i think that if i wanted to go to school in new jersey i would probably want to go there, but i dont really see myself staying around here.

softball sooooon!"
"eventtime","2007-02-19 15:32:00"
"url","http://tyedgamerivalry.livejournal.com/31863.html"
"userid","16157"
"itemid","123"
"event","my hair is ten inches shorter than it was yesterday. and i'm pretty sure that i like it.

and i hope that peyton manning and the colts win the super bowl because theyre my favorite team to play with on madden. =]

&& i've been listening to a lot of g.love lately<33

life is good.

p.s....did the groundhog see it's shadow??

g'night."
"eventtime","2007-02-02 23:23:00"
"url","http://tyedgamerivalry.livejournal.com/31549.html"
"userid","16157"
"itemid","122"
"event","junior year isn't so bad. 
this year is going by soooo fast though!

things to look forward to!:

2/8- Rhode Island and Boston 
3/11- i turn 17
3/12- attempt number one at obtaining a drivers license (i guess i'm looking forward to it)
4/27- PROMPROMPROMPROMPROM!!
6/22-SUMMMMMMMMMMMMMMMMMMMMMMMERRRRRRRRRRRRRRRRR

things not to look forward to:

3/12-CAR INSURANCE!
5/something-SATs
6/22-the day i lose all of my friends to graduation"
"eventtime","2007-01-30 19:57:00"
"url","http://tyedgamerivalry.livejournal.com/31466.html"
"userid","16157"
"itemid","121"
"event","I had tender feelings that you made hard,
But it's your heart, not mine, that's scarred.
So when i go home, i'll be happy to go-
You're just somebody that i used to know.
You don't need my help anymore, It's all now to you, 
there aint no before,
<b>Now that you're big enough to run your own show
you're just somebody that i used to know.</b>
I watched you deal in a dying day,
And throw a living past away,
So you can be sure that you're in control,
You're just somebody that i used to know.
I know you don't think you did me wrong,
And i can't stay this mad for long,
Keeping a hold of what you just let go-
<font size= 3><i>you're just somebody that i used to know.</font></i>

i feel so out of place here."
"eventtime","2006-11-11 01:05:00"
"url","http://tyedgamerivalry.livejournal.com/31226.html"
"userid","16157"
"itemid","120"
"event","Dear Alli Sarfati,

Thank you for taking the time to write us and for your patronage of 
Ruby Tuesday.  First of all, let me apologize for your disappointment in the
removal of the French Onion soup.  All of the changes we make to our
menu are based on Guest feedback just like yours.  Unfortunately, we
have seen a decline in interest for this item from our Guest.  We have
taken some items off the menu to concentrate on making our other items
great and to add new, more current items.

However, we base our menu decisions on feedback just like yours.  Your
comments are duly noted and will be taken into consideration when 
making menu decisions in the future.   Our goal is to keep you coming back for
more.   Thank you again for your time and don't hesitate to contact me
if you have other questions.  


Thank You,
Marcy Marriott
Ruby Tuesday, Inc.


=(=(=( that makes me really really sad.

anyways, other then the removal of french onion soup from rubys, life is good. i don't think im gonna upsate this very often anymore cause i kind of just use my real journal now. we'll see."
"eventtime","2006-09-22 15:09:00"
"url","http://tyedgamerivalry.livejournal.com/30835.html"
"userid","16157"
"itemid","119"
"event","this summer was a pretty good one.
my cit experience had it's ups and downs but i met an awesome bunch of kids and i'm gonna keep them close for a long time to come. and as boring and as small as north plainfield new jersey is, it's my fucking home and i love a good handful of people here and that's all that really matters. and i'm scared as hell of what this year is going to bring with all of the work that comes with junior year,the sats and cat dissections and prom and my road test and then all of my closest friends graduating at the end of it. but we'll see how it goes.

""Stand by me,
nobody knows
the way it's gonna be.""
oasis"
"eventtime","2006-09-05 02:07:00"
"url","http://tyedgamerivalry.livejournal.com/30701.html"
"userid","16157"
"itemid","118"
"event","so im home from what was probably my last day of summer camp ever, 6 pretty sweet summers can't complain. the rest of this summer pretty much consists of parties and concerts and straight up chillin and then pre season I AM SO SOUPEDDDDDDDDDDD. lata clownssss"
"eventtime","2006-08-04 23:23:00"
"url","http://tyedgamerivalry.livejournal.com/30279.html"
"userid","16157"
"itemid","117"
"event","NEW YORK YANKEES-16 NEW YORK METS-7
jorge posada homerun.
alex rodriguez GRAND SLAM
followed by 
alex rodriguez 3 run homerun 
= 7 rbi's for arod.
AND MARIANO RIVERA WAVED AT US.
alright my summer is complete.

doctor tomorrow morning and then away for another 5 weeks...i should be back the weekend of the 21st otherwise i'll see ya'll in august 

alli sarfati
ymca camp bernie
327 turkey top rd
port murray nj 07865

ps dont call my cell phone, they took it."
"eventtime","2006-07-03 02:12:00"
"url","http://tyedgamerivalry.livejournal.com/30145.html"
"userid","16157"
"itemid","116"
"event","time flies.


<a href=""http://photobucket.com"" target=""_blank""><img src=""http://i25.photobucket.com/albums/c97/ALLIgaaator/Marissa.jpg"" border=""0"" alt=""Photobucket - Video and Image Hosting""></a>

<a href=""http://photobucket.com"" target=""_blank""><img src=""http://i25.photobucket.com/albums/c97/ALLIgaaator/Marissa207.jpg"" border=""0"" alt=""Photobucket - Video and Image Hosting""></a>

<a href=""http://photobucket.com"" target=""_blank""><img src=""http://i25.photobucket.com/albums/c97/ALLIgaaator/endofschoolandgraduation052.jpg"" border=""0"" alt=""Photobucket - Video and Image Hosting""></a>

<a href=""http://photobucket.com"" target=""_blank""><img src=""http://i25.photobucket.com/albums/c97/ALLIgaaator/endofschoolandgraduation101.jpg"" border=""0"" alt=""Photobucket - Video and Image Hosting""></a>



he will always be my best friend.
and we'll go back to school come september and i'll be an upperclassman, class president, varsity athlete, top of the class, i'll be everything i've ever wanted to be. but a big part of me is just going to feel empty."
"eventtime","2006-06-23 21:30:00"
"url","http://tyedgamerivalry.livejournal.com/29850.html"
"userid","16157"
"itemid","115"
"event","junior class president.
feels as nice as it sounds.
=]"
"eventtime","2006-06-15 20:02:00"
"url","http://tyedgamerivalry.livejournal.com/29554.html"
"userid","16157"
"itemid","114"
"event","this school year went by incredibly fast. 
this next week and a half will make up for it though, let's hear it for finals!"
"eventtime","2006-06-12 18:01:00"
"url","http://tyedgamerivalry.livejournal.com/29249.html"
"userid","16157"
"itemid","113"
"event","i got my permit today, i suck at and strongly dislike driving. i'll get used to it.

i got mikey tickets to the red sox yankee game next week off of ebay for his graduation, im SUPER excited

there are 10 school days left before finals. SDKFJ FINALS
and out of the 2 full days left of school this week, i only have to go to 3 classes because of various assemblies and band/graduation practices and the ""classes"" are gym,lunch,and spanish which is amazing. yeeeeeeeah bro

and i gave up on keeping it a secret, im going back to loser summer camp for the 6th and I SWEAR THIS IS THE LAST! time...im not really that pumped about that but we'll make it a good time, ill post the address and dates and whatever later

i'll be at njit this whole weekend at this leadership seminar for school, i hope it's not a waste of a weekend and that i meet some cool kids/hot boys =] haha

okay that is all"
"eventtime","2006-05-31 19:25:00"
"url","http://tyedgamerivalry.livejournal.com/28973.html"
"userid","16157"
"itemid","112"
"event","4 day weekend hollaaa

this friday's yankee game adventure was even more exciting then last. mikey and i took the train to penn station and this guy was PICKING HIS NOSE the whole time and i was trying so hard not to laugh but i couldnt help it and so we got there, on time this time, and mike mussina was pitching a bangin game until this asshole hit a 3 run hr and then it was tied 4-4 and we saw derek jeter's 2000th hit which was pretty cool and then another 3 run homer for kc and by the top of the 9th its 7-5 KC and we kept sayign how we lucked out with the wheather and BAM! hour and 49 rain delay for ONE HALF OF AN INNING and we waited out like an hour and ten minutes of it and then we decided to come home because we were scared we'd miss the last train and so we got on the subway and then caught the 12:42 back to metropark and got home at two in the morning to find out that the yankees lost 7-6 cause silly giambi hit a double play ball and slipped hahaha.

then on saturday mikey marissa and i went to the somerset patriots game and they won, some guy hit a grand slam, and some other guy won 10,000 bucks. sweet. except i entered that contest and im still broke.

yesterday i tye dyed shirts with matty and erin cause we are fagssss and then we just chilled at erins and got slurpees and that bangin turtle drink from 711/dd and i went to a bbq.

nice nice nice.

this summer is going to be so so so bangin once we all get home from our excursions =]

BUT SENIORS PLEASE DONT GRADUATE PLEASE PLEASE PLEASE"
"eventtime","2006-05-29 15:21:00"
"url","http://tyedgamerivalry.livejournal.com/28899.html"
"userid","16157"
"itemid","111"
