"names","values"
"itemid","159"
"event","Hello everyone. I know I haven't updated since a long time so I do owe my Indian people an update. 

I am coming back VERY VERY soon. Its just a matter of a few days now and I'll be in Nagpur on 12th. I hope you guys are excited about this. Well, I am. I am very eager to meet my parents, family and my awesome friends!!! You know, I was thinking about making this entry a long and dramatic end marking the final end of my exchange, but then I decided I should just make a short and sweet one that everyone will atleast read! America has been wonderful. Really great. I am very happy that I did this exchange and I bet so is every other exchange student. I really miss my Moscow friends and all my exchange student friends. Its been such a great experience being with everyone of you. Alex, Damien, AJ, Amit, Annu, Mariana, Pierre, Mareen, Mauro, Addie, Euge...I really miss you!! Come to India to visit me and Amit sometime guys! 

As for my Moscow people, it will take me all night and day to write about you coz I just can't thank you guys enough! I never got to say goodbye to Adam...Wish I did!! Man, I love you guys so much! I don't really need to say I miss you coz you all know how much I do. Wow, I can't believe my year's ended...

Well, this year has been the best so far. I am gonna come back to Moscow to visit you all!! So please study in the U of I! Hehe...Love you guys sooooooo much! Thanks for everything fellows. Seeya guys soon sometime. 

G'bye...keep in touch!

P.S. - Its kinda sad, isn't it?

P.P.S - MY LJ WILL STILL BE UPDATED BUT HENCEFORTH IT WILL BE FRIEND'S ONLY. SO IF YOU WANT TO READ IT ANYWAY (I DON'T IMAGINE WHY) GET AN LJ YOURSELF AND ADD ME UP!"
"eventtime","2005-07-07 11:24:00"
"current_moodid","132"
"url","http://uh-diddy.livejournal.com/40862.html"
"userid","16189"
"itemid","148"
"event","Hey guys! Well, first of all, thanks Jade and Alissa for inviting me to your parties...Its kind of a late thanks but a thanks all the same. Second of all, graduation was so much fun!!!!! Bob Celebreeze did pronounce my name right (atleast in the American way) and I am thankful for that...It was great to wear the cap and gown and recieve the diploma and walk on stage...Man, that was so cool!! The all night senior party was great!!! They had so much cool stuff to give away: iPods, Cameras, Dining sets, CD and MP3 Players, tickets to various things like Ski lifts and what not, watches, sunglasses, shirts and a whole bunch more than just that!!!! I did not win anything coz I was playing DDR and ping-pong half the night. I had 7000 bucks (play money) which I gave to Stuart and that's how he won the MP3 Player...haha, sorry but I just to say it! 

This has been such a long week...it seems more like a month since I returned from my rotary tour. I've talked to those guys twice till now and yesterday, they all left for their California tour...Man, I miss them! Hmm, well, nothing else is too new. I have just one more week left and then I am off to Canada. Fun, I guess. K, that'd be it for now. Keep commenting!"
"eventtime","2005-06-12 14:05:00"
"current_moodid","4"
"url","http://uh-diddy.livejournal.com/38097.html"
"userid","16189"
"itemid","147"
"event","<P><IMG style=""WIDTH: 193px; HEIGHT: 252px"" height=329 src=""http://in.geocities.com/aditidani_2409/alex.jpg"" width=242>&nbsp; This is Alex...Its the best picture I could find of him, coz all the others are completely crazy!!! Hehe...</P>
<P><IMG style=""WIDTH: 326px; HEIGHT: 229px"" height=234 src=""http://in.geocities.com/aditidani_2409/grp.jpg"" width=362>&nbsp;Left to Right - annu, amit, mariana, AJ...Finland, India, Brazil, Germany. These are really great friends! Mareen, another good friend, is not in the pic...I couldn't find one either, but she's from Germany and is very cute!</P>
<P><IMG style=""WIDTH: 285px; HEIGHT: 361px"" height=416 src=""http://in.geocities.com/aditidani_2409/damien.jpg"" width=299>&nbsp;This is Damien...He's from France and he's&nbsp;a very sweet fellow who'll help you whatever happens! He's an extremely good friend...Alex and Damien are both from France and close buddies!</P>
<P><IMG style=""WIDTH: 333px; HEIGHT: 227px"" height=222 src=""http://in.geocities.com/aditidani_2409/marianaandme.jpg"" width=340>&nbsp;This is me and Mariana! This is the last pic we took and we both cried. She's a very good friend and we are going to visit each other's countries...someday! She's from Brazil...</P>
<P>I hope like all these pics...I'll post Mareen's pic as soon as I find one. These were all my really close friends and we always together as a group! I miss all of them so much! </P>
<P>Well, today was the last day of school and it made me kinda sad to think that I'll never be in those classrooms again with all the students or teachers. Its kinda sad the way everything's ending. First it was ballet, then the tour, then school and pretty soon, Moscow...But I am excited to see everyone back in India! Keep in touch guys! G'bye for now and keep commenting!</P>"
"eventtime","2005-06-08 13:36:00"
"current_moodid","127"
"url","http://uh-diddy.livejournal.com/37690.html"
"userid","16189"
"itemid","144"
"event","Ok, so I am back from my District Tour and let me tell you it was so great! I had the time of my life there with all my exchange student friends and it was just absolutely fabulous! Its weird, how I the things I don't wanna do always turn out to be so great! I didn't wanna leave India, but I did and now I am doing so great. I didn't wanna go on the trip but I did and I cried while leaving all those guys. Seriously, its so hard to say goodbye to someone you don't know whether you'll see again...I love those guys so much! None of us could stop hugging...I am kinda depressed coz I am missing them a lot right now. I don't even wanna think about saying goodbye to all you Moscow people. Its gonna be so difficult. 

Well, my trip...let's see. On 25th, we left for Spokane where we were picked up by the bus. We headed to Trail, British Columbia and spent a night there. Then we went to Creston, British Columbia and spent another night there in a school gym. Sleeping with everyone is so much fun!!!!! We slept like only 4-5 hours every night. Then, we went bowling. Man, Rotary is awesome! We didn't pay for ANYTHING except for the shopping. It was all paid for, so that was cool! I loved it!
After that we left Canada and went to Sandpoint, Idaho. It was fun there and we walked about the whole city in a game called 'walkabout.' Sandpoint is nice. Green and pretty...
After that, we went to Tri-cities and man, that was the best part I'd say! There was a boat ride and that was pretty darn cool!!! I was always in a group of 8 friends; Alex, Pierre and Damien (France), A.J. (Germany) Annu (Finland), Amit (India), Mariana (Brazil) and me...These guys were absolutely awesome! Man, I miss them so much. 
Yea, well, after spending 2 nights in Tri-cities, we left for Spokane for the conference! The conference was so cool!!! The first day we arrived, we went to the mall and hung out and watched a movie called Madagascar! Haha, it is so funny...We had fun with that!!! Then we attended the conference (boring, people just talked and gave awards we had no idea about) and got ready for the talent show on the next day. I did my Indian dance and a little Eminem rap with Damien. I sang it (seriously, no kidding, I learnt the Lose Yourself song by heart) and Damien played the guitar. It felt awesome! 
Later that evening, we went to the world's most boring soccer game and America beat Canada by 3-0!!! HAHA! ;) Actually, in the world soccer cup or something, America beat COSTA RICA too!!! The guy from Costa Rica in our group was so depressed...hehe, but he got over it. Then we had an awards ceremony for best smile and stuff like that. I got voted for most talkative girl...*big surprise* hehe...that was fun! Then we had a deejay party and danced all night long!!! Man, that was so much fun!!! After that, came the last day. We stayed up all night again, atleast most of us did. So I was completely zonked when I got back to Moscow. 
Yesterday morning was so sad...Everyone left and it just ended. We kept telling each other we're gonna meet again but deep inside, they know it's remote. I really want to visit France and meet those guys and I am pretty sure I will one day...DEFINITELY. Amit lives in Nasik (quite near to my town) and something tells me, we're gonna be good friends! Hehe...
So, yes, this tour was great. I will always remember this...I think its prepared me somewhat for going back. I've had going away experiences but this was the first coming back. To be really honest, it is depressing but I know I will grow out of it. I am happy to be back in Moscow and it was awesome to see everyone at school again! 14 days left dude...I had my first final today and I lost just one point. So it was great! I am in Geurtsen's class right now and chilling out. 
Well, this was a long one, so I'll stop now. G'bye and keep commenting fellows! Lesson learnt - Saying goodbye is difficult..."
"eventtime","2005-06-06 11:10:00"
"current_moodid","128"
"url","http://uh-diddy.livejournal.com/36921.html"
"userid","16189"
"itemid","142"
"event","Well, I feel proud of myself. I have all my crap done for the tour except for the english dossier, which I will turn in tomorrow. My Accounting test went fairly good, so all is well, except I am going on the stupid Rotary district tour, that I don't want to go on!!! I so wanted to stay in Moscow. I got my camera today to click pics but the battery died, so I couldn't do that either...Guess I'll have to do it after I get back! So, right now I am in the library and Adam is sitting next to me. He's poked and tickled me a lot and I have laughed and flinched a lot too! Hehehe...I am gonna miss everyone for till 5th June...Geez! Special love to mom and dad in this last entry. I will mail you after I get back! Ya, well, I guess that's it then. See you guys at awards night tonight. Oh, by the way mom and dad, I am getting an Award here for something that I am not quite sure about. hehehe...oh well, as long as I get it! Whatever the reason might be...! Ok, then, bye guys. Last day of ballet today...its sad almost everything's coming to an end...hiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii (that was Sarah D.) Ok, a final bye now! Keep commenting!"
"eventtime","2005-05-24 15:10:00"
"current_moodid","106"
"url","http://uh-diddy.livejournal.com/36412.html"
