"names","values"
"itemid","121"
"event","Well......I have not updated properly in a while, cause I had exams and all I was doing was preparing for them. So yeah now that I have finished I will let you know what has been happening.

My sister had her baby, a little baby boy named Decklan, soooo cute. He is about 6 weeks old now and is really well behaved apparentley. Katie finally got her license so she is able to go around with the baby and stuff as she has a car.

Speaking of cars mine is in the mechanics today to see what exactly is wrong with it. The mechanica next door seem to think that the head is gone but I decided to take it back to the mechanics that have looked after the car most of its life. So yeah they are going to do a written report and let us know how bad it really is. If it is too much repairs needed then I am going to get a new car. Well not nex but second hand and yeah newer then the current one. I dont know what I want yet, so I will decide when I need to.

We went to the red bull air race on Sunday. I got a little burnt (like a lobster), even though I used sunscreen and was under cover most of the day. GRRRRRRRRRRR. It is not as sore as when we went to cervanties. Honestly the air race was not that good (could not see half of it but yeah) didnt seem that interesting. But I did enjoy watching one of the australian jets do a display it was awesome. I broke the sound barrier in front of us and you could see the slip stream and everything. It was awesome.

About Cervanties, We had fun GO THE EAGLES!!!!!!!!!!!!!!! We went and saw the pinacles aswell which was good. Got burnt to a crisp there as the sand reflects aswell so yeah not good man. The weekend was good and going along the beach in cols new car was fun as. 

Yeah about Colin, thats about all he gets in my LJ because I never made it into his :P. So ner!!!!

Anyways should actually do some work.

Bye Bye"
"eventtime","2006-11-22 01:43:00"
"url","http://unleashed-69.livejournal.com/31149.html"
"userid","16270"
"itemid","120"
"event","Just a quickie to say i am so happy!!!! I have gotten through the first exam fine (this was the one that I was most worried about). And I have Three more to go. Two tomorow. YAY! My Car is broken. It has a broken head. Lots of money to fix so see what happens. Ummm What else. Not A lot. 

Bye"
"eventtime","2006-11-14 05:50:00"
"url","http://unleashed-69.livejournal.com/30863.html"
"userid","16270"
"itemid","119"
"event","Ummm im watching ET it is on channel 9 at 3-3.30. They are about to show the entire C-Section that was performed on Anna Nicole Smith. Do you think they should be showing this, considering that it is the Childrens time slot on TV. They did warn that itwas uncensored, and the full video, but, it looks like it could be disturbing to some children.

Do you think this is good or bad???"
"eventtime","2006-11-07 07:13:00"
"url","http://unleashed-69.livejournal.com/30626.html"
"userid","16270"
"itemid","118"
"event","OK, well since Chloe hasn't updated this journal for a while... I will...

and I'm going to just say something random...

Chloe has nice boobies!!!"
"eventtime","2006-11-03 08:04:00"
"url","http://unleashed-69.livejournal.com/30214.html"
"userid","16270"
"itemid","117"
"event","So........... This is the message that I sent my sister this morning. She has not replied yet with ""piss off"", but she just logged onto msn so i am taking that nothing is happening. She is now 5 days overdue and well im getting impatient. I just want her to damn well have the child. 

I other things I am good. Uni is going along really well. I am enjoying myself and looking forward to next year when I start my majors. I have changed from doing an Accounting, Business Law major to doing an Accounting and management. I hope that this will open up more oppurtunities for me as far as job perspectives. I want to get into business consulting so this should help me a bit. The management course covers most of the law stuff anyway so its like I am doing the 2 in one. 

How life is great I am still very much in love with my baby. He was a bit sick last night so he had a restless night sleep last night. He pretty well slept through is but I didnt. I had to get up and remake the bed at one stage which he just slept right through. I am hoping that afetr i have finnished my exams this semeseter I will be able to try and sort out all the shit in the house and make it look a bit more organise. Try being the word to note there.

I am trying at the moment to see if I can download all of the episodes of the force because we keep missing them. So far I cant find them so ill have to keep searching. Not that I have looked that hard yet.

Anyways time for me to start thinking about going to uni. 

Bye bye"
"eventtime","2006-10-10 05:13:00"
"url","http://unleashed-69.livejournal.com/30187.html"
"userid","16270"
"itemid","116"
"event","Ok Update says colin,

SO how is my life. It is sooo good at the moment. The bosses here are away on holidays so i am looking after the place all on my own at work. It is fun. 

Colin is great as per usuall. 

My sister is due in about 2 weeks providing the baby stays upside down. then i think they will cut her open and get the baby out. 

Uni is going along good. I am happy with my progress. 

Byes"
"eventtime","2006-09-19 14:41:00"
"url","http://unleashed-69.livejournal.com/29774.html"
"userid","16270"
"itemid","115"
"event","Ok so like i have reached a time in my life when i am extremley happy and feel so good about everything. I love my hottie boyfriend. I have the best family (thats going to expand soon yay!) and I am going along really well at uni. I dont know I am so glad that all the negative influences in my life are not there anymore and all I concerntrate on is the good things. I am only disappointed that I was not allowed to stay in bed and cuddle col this morning because I had to come to work :(. But you get that ill just cuddle him later. Tonight I am going out with my best friend Amanda for a girls night out. Dont know where we are going yet but hey we will decide when we get there. I might go to the casino see what happens. 
Anyways must off and do some work.
Byes"
"eventtime","2006-08-11 09:43:00"
"url","http://unleashed-69.livejournal.com/29470.html"
"userid","16270"
"itemid","114"
"event","Im back at uni now...... I dont know if this is a good thing but yeah i'll find out soon. I am doing management, finance, economics and also information systems. I have to say that so far my fave lectures this semester are my management and information systems ones. I am yet to meet the finance one so tonight I shall know if I like them or not. In other news my sister is getting fatter and fatter and it was really good to go to her mock baby shower the other week. The reason I say mock was that it was only because her best friend kelly was going back to ireland for about 2 months and incase she was not back before kt had the baby she wanted kelly to be there. Yeah I am so in love with colin at the moment. I dont know why I just love him heaps. Even though he has been rejecting me to play world of warcraft of late (:P he does not reject me I just take what attention I want behehehe). Been playing lots and lots of outdoor tag as we have got the new and inproved guns which are more then heaps of fun. It's good to play against people who are getting quite good at the outdoor scene. The best bit is that it is really building strong friendships with the darklight leagues. We play agianst and fight it all out on wednesday nights in the arena but because we are hanging and enjoying the outdoor games in between games there is a lot more fun. People (except for a few unsaid pains) feel more like they can walk up and chat to whoever. But saying that wednesdays are coming a bit harder when you have team captains who are 32 acting like 2 yr olds. Its just a bit like stupid. If your team aint there on time then tough the game starts without you. But yeah im over it now. :P. Anyways I might go to the shops now and get something to eat and also get my passport photo done (for my new bank account hehehehehe it's cool when you get student ID with a bank account). 

Bye"
"eventtime","2006-08-03 09:22:00"
"url","http://unleashed-69.livejournal.com/29368.html"
"userid","16270"
"itemid","113"
