"names","values"
"itemid","82"
"event","OK girls and boys ... the new LJ is up and this will be phased out fairly soon.. the new LJ name is Hans_Kloss or for those of you that prefer Links
http://www.livejournal.com/users/hans_kloss/"
"eventtime","2003-08-08 12:35:00"
"url","http://vampirelestat07.livejournal.com/21173.html"
"userid","16378"
"itemid","81"
"event","Ok So Rad and I actually hung out for change and it didn't involve the club. Was pretty nice , we went to some stores So i could get some computer equiptment. Picked up a 80 gig external hard drive , for a pretty good price, and rad hooked up me up with his music library. And hes gonna help me bring my archaic piece of shit puter , a relic of the 90's , a little more progressive, cant wait. i have to crack into my puter soon so i can jam some tunes.."
"eventtime","2003-08-02 21:43:00"
"url","http://vampirelestat07.livejournal.com/20918.html"
"userid","16378"
"itemid","80"
"event","Well last night was a success as usually . Everyone I think had a really good time. Danny Red Tore shit up.. And To start off the night that strange DJ Pandybear made an appearance , maybe his set list will be posted lol. Shok showed up had the People moving, and Wendy was great as usual. 
 Tonight I will be at Shock Therapy Probably a first for anyone to see me there. But what the hell they papered our Joint fair is Fair. Danny Red is Spinning So I am looking fwd to that. Angelika may be there, Lesley will be there, and Rad just may come . If he does that would kick ass. But if any of you people who read my rantings are doing nothing roll on out and Say hi. I will pretty much be out of my element I am not much of a Fetish person. But should be fun none the less. 
Thank you to all who came out last night , I cant go into lists , too many to mention but you know who you are. And Rad and I really appreciate your support."
"eventtime","2003-08-01 14:47:00"
"url","http://vampirelestat07.livejournal.com/20532.html"
"userid","16378"
"itemid","79"
"event","Oh yeah one last thing.. If anyone has something to say about me .. have the fucking balls to say it  to me"
"eventtime","2003-07-31 18:21:00"
"url","http://vampirelestat07.livejournal.com/20459.html"
"userid","16378"
"itemid","78"
"event","OK So thru Much Deliberation with Rad, and the fact that the name Andy is just too blah, and Lestat well everyone feels it doesn't fit me.  Rad and I decided on Hans Kloss.. So that's it to the General viewing Populace I will now be Hans Kloss. Hopefully this will satisfy the kewl factor to my identity lol. and keep those pesky stalkers away too."
"eventtime","2003-07-31 18:03:00"
"url","http://vampirelestat07.livejournal.com/20109.html"
"userid","16378"
"itemid","77"
"event","ok its finally here.. the new Sin Thursday Livejournal... sign up stay in touch .. ENJOY

http://www.livejournal.com/userinfo.bml?user=sin_night"
"eventtime","2003-07-28 21:27:00"
"url","http://vampirelestat07.livejournal.com/19742.html"
"userid","16378"
"itemid","76"
"event","Ok hmm where to start ... Well after I got off work Yesterday I rolled out to Johns Party, stopped and said hello to everyone hung out for a bit. Gave John some decent German Wine. One of my personal Favs of the homeland. Then Rolled out To meet up with Jen at Mark and Dinks party. Finally got there around 8 stayed till one. I was completely focussed on Jen with the few Jello wrestling interruptions that we both were just dying over.  But pretty much Jen and I just talked I Introduced her to as many people as I could. I think she enjoyed that. But She definitly made my night. Cant wait to see her again..  Anyway So i worked again today and of course because i only slept for like 3 hours maybe less.. .. I got slammed the first half of the day it was miserable.. and then of course like usuall no matter how busy I am the bordem set in. So my brain goes into overdrive with ideas for this and that. anyway l8er people DJ PAndybear is OUT like a fat chick playing dodgeball"
"eventtime","2003-07-27 17:01:00"
"url","http://vampirelestat07.livejournal.com/19603.html"
"userid","16378"
"itemid","75"
"event","<img src=""http://images.quizilla.com/L/ligeia18/1059084313_fferentAIM.gif"" border=""0"" alt=""Indifferent""><br>You're an INDIFFERENT AIM-ER. Meh.
<br><br><a href=""http://quizilla.com/users/ligeia18/quizzes/What%20kind%20of%20AIM-er%20are%20you%3F/""> <font size=""-1"">What kind of AIM-er are you?</font></a><BR> <font size=""-3"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>"
"eventtime","2003-07-26 00:10:00"
"url","http://vampirelestat07.livejournal.com/19368.html"
"userid","16378"
"itemid","74"
"event","<img src=""http://images.quizilla.com/P/punknames/1041060450_resredaura.jpg"" border=""0"" alt=""red aura""><br>Your aura shines Red!
<br><br><a href=""http://quizilla.com/users/punknames/quizzes/What%20Color%20Is%20Your%20Aura%3F/""> <font size=""-1"">What Color Is Your Aura?</font></a><BR> <font size=""-3"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>"
"eventtime","2003-07-26 00:05:00"
"url","http://vampirelestat07.livejournal.com/18984.html"
"userid","16378"
"itemid","73"
"event","<FORM ACTION=http://thesurrealist.co.uk/monster.cgi METHOD=GET><TABLE ALIGN=CENTER><TR><TD STYLE=""border:solid #00dd00; background-color:#004400; padding:10px; text-align:center; color:#00dd00; font:x-small verdana;""><FONT SIZE=+1 COLOR=#00ff00><B>Seshrez</B></FONT><BR><BR> is a Giant Dragon that Stomps Around a Lot, lives Underwater, emits Ultrasonic Screams, carries a Samurai Sword, and rides around in a Metal Tripod.<BR><BR><FONT COLOR=#00ff00 SIZE=-2>Strength: 7 Agility: 9 Intelligence: 8</FONT><BR><BR><HR SIZE=1 COLOR=#007700><BR><INPUT TYPE=hidden VALUE=""Seshrez"" SIZE=10><FONT SIZE=-2>To see if your <B>Giant Battle Monster</B> can<BR>defeat Seshrez, enter your name and choose an attack:<br></FONT><BR><INPUT TYPE=hidden NAME=def VALUE=""Seshrez""><INPUT TYPE=text NAME=att SIZE=10 STYLE=""font: Arial; font-size: 8pt; color:#00DD00; border-width:1; border-color:#00DD00; border-style:solid; background-color:#003300;""> fights Seshrez using <SELECT NAME=a STYLE=""font:Arial; font-size: 8pt; color:#00DD00; border-width:1; border-color:#00DD00; border-style:solid; background-color:#003300;""><OPTION VALUE=""S""> Strength<OPTION VALUE=""A""> Agility<OPTION VALUE=""I""> Intelligence</SELECT><BR><INPUT TYPE=submit VALUE=""Battle!"" STYLE=""font: Arial; font-size: 8pt; color:#00DD00; border-width:1; border-color:#00DD00; border-style:solid; background-color:#003300;""></TD></TR></TABLE></FORM>"
"eventtime","2003-07-25 23:59:00"
"url","http://vampirelestat07.livejournal.com/18822.html"
"userid","16378"
"itemid","71"
"event","OK , Thank you Ev eryone for coming out and making it another great night. Special Thanx to r0mp for supplying decks to use upstairs. And keeping his clothes on for a change lol. And definitly thank you to our Guest DJ .. Greg aka DJ Blackoil. For spinning some kick ass sets, with special props for doing it ""deaf"" for a little while. 
So anyway the Night started with Rad and I driving down to the club , jamming out some Dioxyde and God Module. With Spurted mini discussion on the way. Dropped me off at the club to goto Wendys house and I needed to set up . Everything finally got Rolling and the night moved fairly smoothly , although I extend my apologize to Jeff <finite> for the things that I know he is aware of.  
But all in all it was a good night. Coral I believe behaved herself for the first time in a long time :) but i also didn't buy her  a drink lol. Ok I am off this thing before i start rambling into other events of the night that i am still processing , like a conversation with Rad on the way home. I definitly like the way he thinks , I think he feeds off of how i think too, Good Cop Bad Cop kinda thing most definitly lol."
"eventtime","2003-07-25 11:22:00"
"url","http://vampirelestat07.livejournal.com/18229.html"
"userid","16378"
"itemid","72"
"event","Ok In addendum to my entries Sin Thursday has taken over my life lol I loked at my post history wow.. Ok i will write about other shit later.. all the stuff i do when I am not working Sin lol.. Yes Yes I really do stuff"
"eventtime","2003-07-25 10:00:00"
"url","http://vampirelestat07.livejournal.com/18506.html"
"userid","16378"
"itemid","70"
