"names","values"
"itemid","18"
"event","Well I Don't think anybody reads this anymore anyways, but im bored of livejournal. It makes me yawn, and it takes a lot of drugs...err candy =D to make yawn at 10 at night. Its all aprils fault o.O i looked at her space. and then i looked at more space. and my space isnt spacey. its more gaycy, like joe. and now my mom just walked in, and asked me if im ok. Well what the hell does it matter if i am or not? I 'll still get yelled at, and even if i do feel like shit ill still have to go to school to go visit the nazi spaniard. *sigh* oh well fuck school. and drivers ed. fuck d ed.

While im on the tpoic of things that piss me off, my hair is getting friggen annoying. Every time i look down my hair gets in my face and i cant take a drink from the god damn drinking fountain without choking on my hair in my mouth >=( I need ideas on a hair cut, i need something different, shorter than its been in a very long, long time."
"eventtime","2004-11-21 22:05:00"
"current_moodid","48"
"url","http://veritas386.livejournal.com/4854.html"
"userid","16448"
"itemid","19"
"event","Well I Don't think anybody reads this anymore anyways, but im bored of livejournal. It makes me yawn, and it takes a lot of drugs...err candy =D to make yawn at 10 at night. Its all aprils fault o.O i looked at her space. and then i looked at more space. and my space isnt spacey. its more gaycy, like joe. and now my mom just walked in, and asked me if im ok. Well what the hell does it matter if i am or not? I 'll still get yelled at, and even if i do feel like shit ill still have to go to school to go visit the nazi spaniard. *sigh* oh well fuck school. and drivers ed. fuck d ed.

While im on the topic of things that piss me off, my hair is getting friggen annoying. Every time i look down my hair gets in my face and i cant take a drink from the god damn drinking fountain without choking on my hair in my mouth >=( I need ideas on a hair cut, i need something different, shorter than its been in a very long, long time."
"eventtime","2004-11-21 22:05:00"
"current_moodid","48"
"url","http://veritas386.livejournal.com/4869.html"
"userid","16448"
"itemid","17"
