"names","values"
"itemid","59"
"event","I'm sorry we've been so inactive. Nita and I have been pretty busy this summer. My computer recently just crashed so I don't have Paint Shop Pro anymore. No, I didn't buy it, lol. So it may take awhile for me to get in icons and such, but I <U>WILL</U> have one more icon post before school starts! 

Anyway give me suggestions on who you guys want to see and if you could post lyrics that you want if you would like to see lyric icons as well."
"eventtime","2004-08-10 15:06:00"
"current_moodid","63"
"url","http://vogue-icons.livejournal.com/15301.html"
"userid","16560"
"itemid","22"
"event","<center><img src=http://img67.photobucket.com/albums/v203/itslillers/Image29.gif>
Read the <a href=""http://livejournal.com/userinfo.bml?user=vogue_icons&mode=full"">rules</a></center>"
"eventtime","2004-01-02 16:33:00"
"url","http://vogue-icons.livejournal.com/5877.html"
"userid","16560"
