"names","values"
"itemid","633"
"event","<center><a href=""http://www.flickr.com/photos/softspoken/2037041810/"" title=""erin fetherston dress by softspoken, on Flickr""><img src=""http://farm3.static.flickr.com/2333/2037041810_88fa7aa943.jpg"" width=""388"" height=""500"" alt=""erin fetherston dress"" /></a>

just a note to say i've moved over to <a href=""http://softspoken.blogspot.com"">softspoken.blogspot.com</a>

i've gone through and added everyone on my friends
list to my bloglines reader, so i'll be able to keep
up with you all.  

&lt;3,
rachael


p.s. add the LJ feed to yr friends list <lj user=""softpsoken"">
(unfortunate and unchangeable typo)</center>"
"eventtime","2007-12-07 11:39:00"
"url","http://watermelonlife.livejournal.com/162195.html"
"userid","16680"
"itemid","628"
"event","my little yellow filth of house with cat box overflow
and trash week old stench he leaves me with own toes
chilled pressed into own crook of warmed leg roll onto
back to hear door close not once twice and count begins
till love my love to see you again my love."
"eventtime","2007-09-19 13:40:00"
"url","http://watermelonlife.livejournal.com/160971.html"
"userid","16680"
"itemid","627"
"event","1.
 Desktop Publisher
     
2.
 Industrial Designer
     
3.
 Cartoonist / Comic Illustrator
     
4.
 Animator
     
5.
 Criminologist
     
6.
 Fashion Designer
     
7.
 Costume Designer
     
8.
 Set Designer
     
9.
 Graphic Designer
     
10.
 Artist
     
11.
 Computer Animator
     
12.
 Activist
     
13.
 Political Aide
     
14.
 Critic
     
15.
 Website Designer
     
16.
 Print Journalist
     
17.
 Market Research Analyst
     
18.
 Translator
     
19.
 Writer
     
20.
 Interior Designer"
"eventtime","2007-09-17 19:38:00"
"url","http://watermelonlife.livejournal.com/160672.html"
"userid","16680"
"itemid","626"
"event","<center><lj-cut text=""wardrobe remix - january"">

<a href=""http://www.flickr.com/photos/softspoken/375169003/"" title=""Photo Sharing""><img src=""http://farm1.static.flickr.com/48/375169003_4fda2cfc45_o.jpg"" width=""400"" height=""533"" alt=""january 30, 2007"" /></a>
internship wear
dress - belk clearance $7
grey tights - ?
gold heels - nine west - $15

<a href=""http://www.flickr.com/photos/softspoken/369360893/"" title=""Photo Sharing""><img src=""http://farm1.static.flickr.com/137/369360893_81fa8125a8.jpg"" width=""375"" height=""500"" alt=""january 25, 2007"" /></a>
cowl neck/scarf - me
necklace - ebay
tunic hoodie - sears
skirt worn as dress - old navy
tights - walmart
legwarmers - kohls
boots - target

<a href=""http://www.flickr.com/photos/softspoken/368721746/"" title=""Photo Sharing""><img src=""http://farm1.static.flickr.com/141/368721746_aed8397a1d.jpg"" width=""375"" height=""500"" alt=""january 24, 2007"" /></a>
red scarf - american apparel
grey cardigan - target clearance
purple ls tee - aeropostale
skinny jeans - express
red shoes - cathy

<a href=""http://www.flickr.com/photos/softspoken/367633732/"" title=""Photo Sharing""><img src=""http://farm1.static.flickr.com/126/367633732_06b8f23e14.jpg"" width=""375"" height=""500"" alt=""january 22, 2007"" /></a>
internship wear
necklace - ebay
top - ann taylor loft 
herringbone wide leg trousers- old navy 
black bow flats - payless

<a href=""http://www.flickr.com/photos/softspoken/361983819/"" title=""Photo Sharing""><img src=""http://farm1.static.flickr.com/162/361983819_bead76898d.jpg"" width=""375"" height=""500"" alt=""january 18, 2007"" /></a>
blue stars mini dress - made by me
blue stripe socks - ??

<a href=""http://www.flickr.com/photos/softspoken/358387472/"" title=""Photo Sharing""><img src=""http://farm1.static.flickr.com/123/358387472_8ad0bba157.jpg"" width=""375"" height=""500"" alt=""january 15, 2007"" /></a>
polka dot top - goody's
skinny jeans - express 
red shoes - cathy

<a href=""http://www.flickr.com/photos/softspoken/356579902/"" title=""Photo Sharing""><img src=""http://farm1.static.flickr.com/138/356579902_d26c0ec382.jpg"" width=""375"" height=""500"" alt=""january 11, 2007"" /></a>
green cowl neck scarf - crocheted by me
orange tee - junk food/burke's 
cropped denim jacket - mossimo target
jeans - levis
brown boots - target

<a href=""http://www.flickr.com/photos/softspoken/353273062/"" title=""Photo Sharing""><img src=""http://farm1.static.flickr.com/164/353273062_c142ba5521.jpg"" width=""375"" height=""500"" alt=""january 10, 2007*"" /></a>
dress - hypnotik
jeans - levi
boots - target
necklace - ebay

<a href=""http://www.flickr.com/photos/softspoken/352016003/"" title=""Photo Sharing""><img src=""http://farm1.static.flickr.com/124/352016003_8043793d75.jpg"" width=""375"" height=""500"" alt=""january 9, 2007"" /></a>
top - forever21
skinny jeans - express
shoes - burke's"
"eventtime","2007-02-05 21:18:00"
"url","http://watermelonlife.livejournal.com/160260.html"
"userid","16680"
"itemid","624"
