"names","values"
"itemid","6"
"event","have you been to the zoo before?"
"eventtime","2005-08-21 18:38:00"
"current_moodid","106"
"url","http://x---niggerama.livejournal.com/1716.html"
"userid","17007"
"itemid","5"
"event","loooong time since ive been here <3
summer was awesome since every other day consisted of matt // nate // who ever was avalible 
best times of my life
jammin to OLD songs at 2 in the morning in my living room , GIRL ARE YOU ALONE?? I HATE YOU THEN I LOVE YOU THEN I LOVE YOU THEN I HATE YOU      i have never danced so much in my life <3


VAJAMA LIP AND DENIS = LOVE for life <3


schoools hot <3
got some good classes with people, i guess thats good <3
 art teacher is insane. i love her <3


leaving love would be cute <3
oh and yes yes i have a myspace  http://www.myspace.com/22636200"
"eventtime","2005-08-09 18:38:00"
"current_moodid","107"
"url","http://x---niggerama.livejournal.com/1340.html"
"userid","17007"
"itemid","4"
"event","<P><lj-cut text="" love forever, love is free""></P>
<P>sum it up a bit &lt;3</P>
<P>&nbsp;</P>
<P>shellys-lemon attack , ""ill beat you like tina turner bitch"" , mancandy , stupid shelly CLICK THE BIG RED BUTTON to burn it ,</P>
<P>then my place with janessa tried to dye y hair blonde TURNED oRANGE !! so then i dyed it burgondy , like a maroon // red // brown</P>
<P>its cool i guess, byt my ends are blonde, which is pretty lame so im dying it again same color , janessa broke y blinky thing :( made a sex tent lmfao , "" talking about sex vrings us closer , duh ""&nbsp; LMFAO--i have aids // leukemia // herpes // mono&nbsp; , then tell him i have ghonorea lmfao great &lt;3 slept , made waffles, jammed to eminem * lol&nbsp; ""gosh how does he do it?! "" good fun &lt;3</P>
<P>&nbsp;</P>
<P>rode my bike over to matts hood, met up with rachel , hung out at the ""ropes"" then rode to ashbeys and were there for like... 4 hours lol came home // now what?</P>
<P>leave&nbsp; me love &lt;3&lt;3</P>"
"eventtime","2005-07-12 18:29:00"
"current_moodid","107"
"url","http://x---niggerama.livejournal.com/1222.html"
"userid","17007"
"itemid","3"
