"names","values"
"itemid","78"
"event","excuse for a man, if his friends and his girlfriend or anyone knew what he was really like..if they even knew the begining of it, he wouldnt look like such a fucking boyo then would he? but nar na. ill get all the greif for everything, and you carry on living your life. but i tell you somthing andrew bennett, ive bailed you out one to many times, and thats it.
next time its 'make me beans on toast darlin' 'lend iz a tab' do this, do that.
you can fuck off and do it yourself. 
im sick of sticking up for you when all you do is treat me like fucking shit. somthing goes wrong? oh lets just go smash klaires room up.
you know, lets scare the shit out of my little sister who's already fucking petrified of me. thats the last fucking time. he thinks he's such a lad. i wonder what all the real men would think of him if they knew."
"eventtime","2008-06-08 21:45:00"
"url","http://x-xwonderland.livejournal.com/19974.html"
"userid","17063"
"itemid","77"
"event","i took the test today. i went to boots and done it in the metrocenter toilets. it came back negative. 
but, for some reason i just cant shake the feeling. either that or, i dont want to shake the feeling. 
i really dont know what i want right now. im 16 and im finding myself actually wanting a baby. 
i was so scared and upset when i thought i could be, now i know im not i think what i really wanted was to be.

the test confused me and the line was really faint so i have no idea what that means. i should have gotten the digital one because that just blaitently says 'pregnant' 'not pregnant'
i might go and get one of those tomorrow. i dont think i want to believe that im getting this fat on my own. i wanna have a reason in my life. a reason to stop dossing about and being a tit. i want a reason in my life. and that seemed like it was. 

i dont know what to think. all the signs say i am but the results say im not. i feel like im living for nothing. i dont think this would make sense to anyone apar from someone who feels the same way."
"eventtime","2008-04-23 22:52:00"
"url","http://x-xwonderland.livejournal.com/19783.html"
"userid","17063"
"itemid","76"
