"names","values"
"itemid","48"
"event","Well, I've gotten some good news this past week, lets start with the basics, Me, Will, My Mom and the fat ass (Pete my moms boy friend) are moving in like a month or two. Were still staying in Marblehead but were finally after 8 or 9 years of living here were buying a house rather than leasing, were moving behind the new brickhouse so thats pretty sweet, and some other news is that My Sister is coming up from florida to see the rest of the fam and i havent seen her in 4 years so im pretty excited for that. Atreyu, From First To Last, Everytime I Die, and Chiodos is on tour in the states in the fall so ill be going to see them too, and a band at the complex left a sweet guitar and i get to take it, its a Schecter C-1 Artist which are $700 guitars that im getting free so yeah, and i talked to a person that i havent talked to since she moved like a month ago, Serissa left me a comment on myspace and its always good hearing from her and trey, i love them two...i dont know about the other one but serissa and trey are cool with me and during the school year ill be visiting my sister and my nephews Tyler and Jordan, the funny things are with that is that they live in the same town as serissa and trey which is palm bay florida so maybe ill run into a certain person...i was thinking that it would be fucking awesome if Trey and Jordan who are the same ages were good friends hahaha, i dont know hopfully they arent enemies... well thats it for now....ill update later on

P.S. WARPED TOUR WAS AMAZING

Keep It Real"
"eventtime","2006-08-07 15:44:00"
"current_moodid","57"
"url","http://xbroken-notex.livejournal.com/12456.html"
"userid","17132"
"itemid","47"
"event","WARPED TOUR IS IN 2 MOTHA FUCKING DAYS....."
"eventtime","2006-07-31 17:34:00"
"current_moodid","41"
"url","http://xbroken-notex.livejournal.com/12231.html"
"userid","17132"
"itemid","46"
"event","Well today was a long day, I was supposed to go to my dads house but i ended up going to my brother's college orentation. so this is how it began, i woke up at 6 in the morning, threw on some clothes and then jumped into my jeep with Will, my mom and fatass (Pete). He dropped us off in Lynn at my grandparents house and then i ate some breakfast there and then we were on our voyage to the new hampshire institute of art in manchester, new hampshire. when we got there it basically looked like boston, the town was run-down and wicked populated, but i all of sudden got this urge and i really want to go to college and get away from marblehead and make new friends and then end up just staying in the state that i attend college in, which in this case i want to go to University of Hartford Connecticut, and i want to live there after college, but back to my day, me my mom and my grandmother stayed in manchester for fucking 8 hours waiting for wills oreintation to get over, but the town was pretty sweet....madd ladies, and a lot of shit to do, and i was just thinking that i have one more fucking year in this shithole of a town and then im gone, im leaving everyone, severing my ties and never coming back and i mean never, i cant stand all the fucking drama that occurs in the small shithole, its really like fucking laguna beach but theres not that hott of chicks, i mean dont get me wrong there are a handfull at the most of chicks in this town but thats it. But theres sooooo much drama and i hate drama and so when i leave hopfully the drama stays behind me...i really need to seek thearpy or counciling because i have sooo much to say but i draw the line when what im writing is posted on the public internet, whatever, i really dont care anymore, people can read this comment and just give me shit for all i care, but theres nothing left in this town for me anymore...

Keep It Real"
"eventtime","2006-07-27 19:36:00"
"current_moodid","41"
"url","http://xbroken-notex.livejournal.com/11814.html"
"userid","17132"
"itemid","45"
"event","this summer i have done alot, ive had jobs, ive gone to concerts and shows, been partying, hung with friends, met up with friends that i havent seen in years, it had some ups and it had some downs, hopeing it gets better...im pretty sure it is because next wednsday is warped tour then august 14th is the recieving end of sirens and circa survive, maybe ill go to see soasin...not sure, will turns 19 in august and i turn 18 in september ill be a senior at marblehead high school even tho i should be a freshman in college but whateves, ive made alot of friends this summer so i think over all this summer is awesome :) School next year i think is gonna be easy over all but there is gonna be madd tension with some individuals and myself and i really dont want to deal with that but i only have to put up with it for one more year and then im moving to connecticut for four years and im not comming back but ill send for my friends to come visit me in connecticut and well party and shit and have madd funn, and hopefully the people that thought that i was going now where in life will be dissapointed and impressed that this kid that everyone thought that was gonna be a failure bc he fails at everything that he does is gonna be succsefull and the ones that i let go in the end will look up at me instead of looking down at me, theyll be begging for my forgiveness and i will forgive them but not take them serious anymore. hopfully ill be seeing my self in 10 years, married, have kids, very succsesfull and all i want is respect and friendship...i eventually will move from here and sever any ties with people that i want nothing to do with, but when that time comes they'll know and i'll be happy with my decsions.

anywayz

Keep It Real (As Always)

P.S. Disreguard any of my old comments that i really regret :D"
"eventtime","2006-07-25 19:47:00"
"current_moodid","58"
"url","http://xbroken-notex.livejournal.com/11562.html"
"userid","17132"
"itemid","44"
"event","what a week and weekend, well not really...last night i saw clerks 2 with chris jerry george the greek and pete lydon, great movie...soo fucking funny. theres just one thing i know its not just me who was getting agravated. but in the car it doesnt matter what pete was saying, he just had to diss or say something like asshole or fuck face at the end of what he was saying and i flipped out bc it pissed me off, i would say ""who are we listening too?"" and hed be like ""its ozzy fuck face"" or id be like ""what time is it?"" hed go ""8:30 asshole"" it just fucking pissess me off and when i did that jerry was like okay jimmy its not like you dont say shit like that...honestly i dont ill ocasionally say like douche or dink but i dont say that every fucking five minutes... i really dont care anymore i just had to get it off my chest...whateves

Keep It Real"
"eventtime","2006-07-24 20:05:00"
"current_moodid","28"
"url","http://xbroken-notex.livejournal.com/11408.html"
"userid","17132"
"itemid","43"
"event","Well alot has happened since June 7th 2005...the date now is July 19 2006 and its been a little more than a year since i have updated...well first things first me and steph are over my longest relationship i have ever been in is over....that was 2 fucking years of my life, but what ever im over it. iv'e been hanging with my good friends and its been funn, this summer is pretty sick theres actually not that much i can say anymore i dont really know where to start, there has been a lot its just all my thoughts are scrambled in my head, i can say one thing...i am hurt pretty badly and the best thing i can think of is to find something else to do or think of or someone to love and i do have plenty of girls that i have crushes on its the fact that i dont want to be hurt again...now that i think of it my life sux pretty badly and i wish it was alot better, i wish that people would call me to hang out so i dont just sit around and wait for people to call me, i get wicked shy so i dont call people, i think i'll be a nag and who wants to hang out with a nag....really...no1 does. back on the girl subject, i really do like a couple of girls a real lot and i always have second doubts about everything i do when i hang out with them, i see my brother will with girls and i try that but then i think that im doing something wrong so i freak out and i dunno get wicked self coinsicence and then i get like in a pissed off or grumpy mood...i cant control it anymore. i thought about this too i have only kissed to girls in my life and one of those times i was high and she was drunk so i really shouldnt count that but i am...i find that reall pathetic 2 girls and im almost 18 years old too....wtf i dont know im ending this entry...

Keep it Real"
"eventtime","2006-07-19 20:19:00"
"current_moodid","6"
"url","http://xbroken-notex.livejournal.com/11052.html"
"userid","17132"
"itemid","42"
