"names","values"
"itemid","11"
"event","Heya
 well today i had a hockey macth at silksworth agaist caledonians and we lost 1-0 :(:(:(:( but they we rlke over 25 so wel exalent.
It waz really easy game but lke a horrible one coz me m8e becca got wacked in the arm and i went to see if she waz ok  straightaway and she seen her arm then fainted right infront of me i nearly died i waz so scared (am not good wen people faint) so that waz horribel plus we had to go into extra time coz of it
 lol
 and lke aaaahhhhhh i cannot get if out me head .

Afer that i went down town with sam and got some new shin pads there very saccy :P there kwl  and i gt mathew a card for his bday coz i am going to his party tongiht wwwwooooooooohhhhhhhhooooo rock on :P:D:D:D:D:D so shall be a lauph.:D

I ave another hockey match tomoz agiast broom 3rds  and lke that the team i play for  and am playing for south tynesdie wasp so shal be competiton lol am cany scared lol:P well folks am of c ya bibxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx"
"eventtime","2005-10-08 17:38:00"
"current_moodid","40"
"url","http://xbumblexbeex.livejournal.com/2921.html"
"userid","17135"
"itemid","10"
"event","heya peeps well i aint been wrting on here for a couple of day coz a havn't been arsed be dead busy as well lol:P

On tuesday we had a hockey macth indoor and at home:) and i had to be in goal gggggrrrrrrrrrrr  for the under 16s(year 11's am only in year 9) and we slashed this team 5-0 wwwwwwoooooohhhhhhhoooooo then play for under 14s my team then waz in goal again  and we won 4-2 so out team(under 14s) cud be in for a chance to get to nationals or win the league if we keep drawing or winning hope we do coz we aint lost a game so for wwhhhhhhhoooooooooo 

On wednesday had training at sandhill(puma center) waz canny and i fell in love with this stick hehe i want one now lmao and we were just getting our positions ready for saturday :) am center defence a love playing there cz it not proper defence so am chuffed :D  

And today has been funny and crap coz we had hockey in pe and lke miss veitch didn't doit proply the game so much she know =s so waz shit and at dinner time i waz sitting with my best m8es (LUCY and SAM) and they put cheese in me hot chocoalte lmao waz funny lke but so not coz me hot chocolate waz nice and we were just messing about and stuff waz a canny lauph  :P then in maths  i got moved to the front coz laureece waz making me lauph coz me a jo wrote on her hand then ti turned purple lmao and then the teacher said i waz high the cheek :O so he moved me and then said i waz being horribelt o him wen in fact i waz kind but just avign fun in the lesson(such a penis )  and also been moved in english by me self coz me satcey and cora and  georgia were lauphing so he split us all up ggggggrrrrrrr teahers lol waz so fnnny thou. I have a mathc tomoz at silksworth avn't a clu who against then am going shopping for mathews pressie then  going to hios bday party whhhhhhhhhoooooo party on:D then on sunday have 3 mathes  and one of them is against broom 3rd wat i aply for it's be dead weird coz i knwo them all lol :P be a lauph wit kirsty and saz :P well folks talk to u la8erz going on the play staion on TONY HAURKS UNDERGROUND :D:D:D::D:D: bye bye peeps talk to you';s laterz bibzzzzzzzzzzzzzzzzz"
"eventtime","2005-10-07 16:52:00"
"current_moodid","106"
"url","http://xbumblexbeex.livejournal.com/2724.html"
"userid","17135"
"itemid","9"
"event","well today has been canny coz i went to the gym wwooooohhhoooo wiht saz then we went for a 3 miel run to marsden *go me a didn't stop the whole way* :D:D:D then we played hockey for a couple of hours :D:D:D:D

 Yestaday i had a county tourniment waz good fun but lke miss halidale took us and like she is canny  but lke  she waz proper shouting at me in the game then alex waz and lke i got out in defence and lke i ave never been in defence since year  7 am now in year 9 so lke i forgot wat to do so lke i waz getting wrong for that so lke i ave no chance fo gettin one county now s o that is shit it wat i want to do in my life lke play or england and now my goal is to play for county and try to get on broom 1st and lke its going to be hard but am going to get training alot so i will make it  but gggggggggrrrrrrrrrrrrrrrrrrrrrrrr. i ahte her coz she done knwo wat am lke and if miss nutalkl waz taking me she wouldn't of taken me oiff for any coz she knows wat am lke and wat am made of aaaaahhhhhhhh. We came 5th out of 7 i think is cnny bad but i tried my best  sulks i wud of bee better on wing or midfield 

And now its crap everyone os shouting its lke a football ground ggggggrrrrrrrrrr and lke it getting to me i hate oit mam and dad   graeme and dad   mam and graeme ggggrrrrrrrrr ill be pulling me brains out soonnn if they dont stop it gggggrrrrrrrrrrrrrrrrrrrrrrrrrrr

but hey shal be over soon so nto to worry  :P so well fiolks i g2g now bibixxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
gggggggrrrrrrrrrrr
grrrrrrrrrrrrrrrrrrr
ggggggggrrrrrrrrrrrr
ggggggggggggrrrrrrrr
grrrrrrrrrrrrrrrrrrrrrr
ggggggggggrrrrrrrrrrrggggggggrrrrrrrrrrrrr
ggggggggggggggggrrrrrrrrrrrrr
gggggggggggggggggggggggggggrrrr
ggggggggggrrrrrrrrr
ggggggggggggggggggrrrrrrrrrrrrrr
gggggggggggrrrrrrrrrrrr
grrrrrrrrrrrrrrrrrrr
gggggggggrrrrrrrrrrrrrrr
ggggggggggrrrrrrrrrrr
aaaaaaaaaaaaaaaahhhhhhhhh
aaaaaaaaaaaaaaaaahhhhhhhhh
ahhhhhhhhhhhhhhhhhhh
aaaaaaaaaaahhhhhhhhhhhhh
aaaaaaaaaahhhhhhhhhhhhh
 p.s plsy my boy friend dumped me he is a wanker :@
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@<as skrible>@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
bib folks katie"
"eventtime","2005-10-02 20:11:00"
"current_moodid","9"
"url","http://xbumblexbeex.livejournal.com/2478.html"
"userid","17135"
"itemid","8"
"event","heya everyone well today has been canny coz lk i had hockey in PE wwwwwooooooooooohhhhhhhhhhhhhhhooooooooooooooooo!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
 But the bad thing waz i got wacked in the knee is really hurt:( ouch
then i accisdently hit lauren in the mouch with the hockey stick wooopppppss it bopped her lip and her lip is blue *am so sorry lauren* So everyone waz hating me of rit but hs eshouldn't of been in the way lol:P the had techno double *the joy* but lke am making a photo frame wich is canny kwl mine photo frame is purple with a little pattern burt in on the edges and havs aa electis guitar on the edge made with pink plastic:D shll be funkey wen its finshed:D:D:D:D
Then i went to the gym with lindsey waz canny coz lke i ave never been before so lke waz good and tomoz i ave a county tourniment wich will be good but a right lauph as well :D:D:D:D lol heheeh "" COME ON SOUTH TYNESIDE ""  :P we shall beast them all (shaunt speak to soon:P other wise we probz wont win but am going t take some photos so if ya wannan go on me websie and have a look wen there on tis www.freewebs.com/bubblykatie and ya welcome to go on and have a look weneva coz i ave some canny photos on already  PLUS YA GOTTO SIGN ME GUEST BOOK !!!!!!!!!!!!!! well folks am off c ya later aligater bibixxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx"
"eventtime","2005-09-30 18:24:00"
"current_moodid","111"
"url","http://xbumblexbeex.livejournal.com/2087.html"
"userid","17135"
"itemid","7"
"event","hey everyone well yestaday i had a hocke match and we drew 0-0 agiast mannuel collage (go us they are a dead hard team to beat ) we played at gateshed staduium wich is a right lauph lol:P then after that i went to hockey trianing it belted down with rain and we were out side in it waz dead funny then after galf anout FISHER made us go inside coz the rain waz hittin us and it wrekced so we all snucked in the puma center and waited til the rain stop or dies down a bit but it didn't :(.then wr went ot matalan so saz's mam cud get somerhig s me and saz wer in ctcijes lauphing lmao a dont evan know wat we wee lauphing only tha she wrote katie salem and saz rocking in this car  lmao a cudn't stop auphing lmao. WHEY FISHER ORDERED OUR HOODYS WEY :p:p:p  a cannot wait to get our broom hoodies lmao well i g2g am going to the opening evaning at skewl c ya ll god rdden tlka to you guye later bibixxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx:P:P:P:P:"
"eventtime","2005-09-29 18:21:00"
"current_moodid","15"
"url","http://xbumblexbeex.livejournal.com/1841.html"
"userid","17135"
"itemid","6"
"event","heya everyone am at skewl bord out me head coz ave odne me work so me teacher said i could go ont the internet so i came on to live journal lol:P so lke i had another argument with me parents but then they said a wasn't goin g to trainign wich waz so unfair but i bribed them into letting me go so i wont be on here til 8 so lke ill probz come back on here and tell you's all about me training.

I have a match tonight and where playing this collage skewl at gateshed stadium so wioll be a good lauph but i hope we win coz lke they are a really good theam we lost  the older team last week and that made us get knocked out of natinals  am so sad coz i nearly scored a goal for the year 11s :P wwwwwwooooohhhhhhhooooo go me well i g2g the bells about go for break talk to you's later bibixxxxxxxxxxxxxxxxxxxx"
"eventtime","2005-09-28 10:48:00"
"current_moodid","68"
