"names","values"
"itemid","24"
"event","<table align=center border=1 bordercolor=black cellspacing=0 cellpadding=4 width=200px><tr><td bgcolor=#ffcccc align=center><font style='color:black; font-size:18pt;'>How to make a xlostInAdreAm x2</font></td></tr>
<tr><td bgcolor=white><font style='color:black; font-size:12pt;'><b>Ingredients:</b><BR>
3 parts success<BR>
5 parts humour<BR>
5 parts energy</font></td></tr>
<tr><td bgcolor=#ffffcc><font style='color:black; font-size:12pt;'><b>Method:</b><BR>Stir together in a glass tumbler with a salted rim. Add lustfulness to taste! Do not overindulge!</font></td></tr></table><div align=center>
<BR><form method=""POST"" action=""http://www.go-quiz.com/cocktail/cocktail.php"">Username:<input name=""uname""><BR><input type=submit value=""How do you make a 'you'?""><BR>
</form><a href=""http://www.go-quiz.com/cocktail/cocktail.php"">Personality cocktail</a><BR>From <a href=""http://www.go-quiz.com"">Go-Quiz.com</a>




Today was the FIRST DAY OF SCHOOL!!!!

x0x
lauren"
"eventtime","2005-08-23 20:34:00"
"current_moodid","68"
"url","http://xoxdreamxox2.livejournal.com/6284.html"
"userid","17350"
"itemid","23"
"event","<P><STRONG><FONT color=#6633ff>8th grade schedule:::</FONT><BR></STRONG><FONT color=#cc33cc>hs...darga<BR>1...algebra-lane<BR>2...spanish-shevrin<BR>3...american history-darga<BR>4...multimedia-giulioli<BR>5...english-o'brien<BR>6...science-childers</FONT></P>
<P><BR><FONT color=#cc33cc><STRONG><FONT color=#6633ff>Semester 2:::</FONT></STRONG><BR>hs...darga<BR>1...algebra-lane<BR>2...spanish-shevrin<BR>3...american history-darga<BR>4...???? i don't know yet<BR>5...english-o'brien<BR>6...science-kowalski</FONT></P>
<P><STRONG><FONT color=#6633ff>tell me if you are in any of my classes</FONT></STRONG></P>
<P><STRONG><FONT color=#6633ff>x0x<BR>lauren</FONT></STRONG></P>"
"eventtime","2005-08-17 16:29:00"
"current_moodid","31"
"url","http://xoxdreamxox2.livejournal.com/5997.html"
"userid","17350"
"itemid","21"
"event","I'm going to smile
like nothings wrong,
talk like everythings
perfect, act like it's 
all a dream, and 
pretend it's not 
hurting me


xoxo
lauren 

cOmmEnT....


When you left
I lost a part of me
It's still so hard to b.e.l.i.e.v.e"
"eventtime","2005-08-03 19:58:00"
"current_moodid","27"
"url","http://xoxdreamxox2.livejournal.com/5465.html"
"userid","17350"
"itemid","20"
