"names","values"
"itemid","97"
"event","almost 4 months later and ppl still dont give shit up ! its fuckin old and none of your business and you werent there with me so you dont know what i was feeling or my side of the story!!! god this just needed to come out! stay out of my business! everyone makes mistakes.. and your fuckin lives aint perfect."
"eventtime","2005-10-24 21:52:00"
"url","http://xpainful-beauty.livejournal.com/25047.html"
"userid","17360"
"itemid","96"
"event","Woww i havent updated in like yearS!
but yeah LIFE SUCKS
i have fake ass friends!!!!
SPEAKING OF _JOSEPH HART_ yeah you 
A BIG FUCK YOU! !!
best friends my ass
yehhhh kiss it!

anywho.. 
things never fucking get better.
hopefully they do sooN!"
"eventtime","2005-10-03 21:06:00"
"current_moodid","24"
"url","http://xpainful-beauty.livejournal.com/24652.html"
"userid","17360"
"itemid","95"
