"names","values"
"itemid","112"
"event","I wanted to update mainly because everyone's nagging me to.  But alright look here, Fuck you. Seriously sweet heart you shouldn't have to make me feel like shit to get your kicks.  Get some pride and stop trying to put me down to make yourself look better because it makes you look worse.  I'm so sick of your hypocrisy and arogance.  Your fake and sick and twisted.  But the is ringing.  Ta-ta i'll finish later"
"eventtime","2005-03-18 09:28:00"
"url","http://xxpaperxcutxx.livejournal.com/28763.html"
"userid","17537"
"itemid","111"
"event","Kansas State Science Assessments...boy I hate standardized tests:(.  So today has been a very lackluster day.  Spanish was boring we went over the criteria for our outlines and went over our poems.  Math was trivial we had Mr. Godfry as a sub and well no one understood what he was talking about so I taught myself out of the book and talked to Kylie the rest of the hour.  I hung out with Billy for a little while after lunch and then came back to school for 4N6 and all I did there was find a new prose piece.  Now I'm in Chemistry taking the previously mentioned standardized test.  Oh joy.

Well our OM regional competition is Saturday.  We have no competition so we are pretty much guaranteed a trip to state on the 2nd of April. Our team performs at 9:30 am in Clifford Hope for anyone who is interested in going.  

Well this is getting progressively dull I think I'll go pick on Mitch some more."
"eventtime","2005-02-21 14:49:00"
"url","http://xxpaperxcutxx.livejournal.com/28546.html"
"userid","17537"
"itemid","110"
"event","New LJ account.&nbsp; Add it to your friends list if you please <lj user=""___uncriedtears"" /> .&nbsp; Kthnx"
"eventtime","2005-01-02 01:56:00"
"url","http://xxpaperxcutxx.livejournal.com/28399.html"
"userid","17537"
"itemid","109"
"event","Courtesy of Emma

[1] How long have I known you? What is our relationship? 
[2] Have we ever kissed? 
[3] Have we ever dated? 
[4] How many times have you been to my house? 
[5] Have we ever gotten in a fight? 
[6] If we've been in a fight have we moved on? 
[7] Do you love me? as a friend or otherwise. 
[8] Ever wanted to tell me something but never could? if so what is it? 
[9] What is the best memory we have together? 
[10] If you could change one thing about me what would it be? 
[11] How often do i see you?"
"eventtime","2004-10-05 15:59:00"
"url","http://xxpaperxcutxx.livejournal.com/28084.html"
"userid","17537"
"itemid","108"
"event","So I found out today that Ashley is coming to Garden in 18 days for debate.  I can't wait to see her.   I hardly get a chance to visit her when I go to Hays.  It's rather sad.

We had a test in math today and I think I did ok.  Better than I was expecting actually.  Afterschool my sister and I bought mac and cheese and came home and made it.  It was really good.  I sat down and ate that and studied for my test in Intro To Drama tonight.  I'm gunna need some prayers to pass that one.  Oh well.  
 
Guys honestly, I feel really alone.  It sucks being in love with someone you can't have for reasons beyond your control.

<i>she needs to hear she's beautiful</i>"
"eventtime","2004-10-04 18:16:00"
"current_moodid","4"
"url","http://xxpaperxcutxx.livejournal.com/27878.html"
"userid","17537"
"itemid","107"
"event","Yeah, sorry I haven't been updating like I've promised so many times.  
I'm still single, go figure.  I feel like shit...emotionally, physically and mentally.  I really need a break.  

I'm hoping to get my pictures from the Cheifs game back soon, so I can post them.  We had great seats...the 11th row...right behind the endzone.   

I'm gunna go do some homework.  Bye."
"eventtime","2004-10-03 11:41:00"
"current_moodid","51"
"url","http://xxpaperxcutxx.livejournal.com/27597.html"
"userid","17537"
"itemid","106"
"event","Lately, my life has just been a mess of problems, worthless bullshit, and drama.  None of it worthy of posting.  So I'll spare you the agony and skip through all the events of past weeks.  

Yesterday was overall a good day.  Sarah and I drove around for a bit then I dropped her off after school.  Then I cleaned my room as so I could go out for the night.  At around 6, Sarah dropped by for a bit and I decided to leave with her.  I talked to several of the band kids and then met up with Breanna at the football game.  The football game was very fun.  I talked to alot of people I hadn't talked to in a while and had a great time.  After half time my interest in the game withered away so I went off to talk to some friends.  I saw Amadeus and Billy and decided to talk to them.  Hallie came up and we all sat there for a while.  My sister then came up and showed me this cockroach she had found.  She had it on a blanket.  Hallie told her to put it in someone's hair. So my sister decided her prey was going to be this girl who had been spreading rumors and saying shit about my sister.  The girl had no clue she had a bug in her hair for the most part and she still didn't when my sister and her friends walked away laughing.  It was great.   After the game, I came home and watched the party at Levi's house.  

Today, I plan to hang out with Billy for a bit.  The orginal plans were for Sarah, Billy, Alex and I to hang out.  But Sarah has to work and Alex well....he's just not coming.  So it's down to Billy and I.  That should be fun though.  After that I'm hanging out with Sarah. (hopefully if her mom isn't being stupid).  Oh well.


<i>""Never take it seriously.  If you never take it seriously you never get hurt.   If you never get hurt then you always have fun.""</i>"
"eventtime","2004-09-18 14:06:00"
"url","http://xxpaperxcutxx.livejournal.com/27230.html"
"userid","17537"
"itemid","105"
"event","So, I got a car.  That's about all thats worth updating about it.  I don't know...maybe something interesting will happen in the next few days and I'll update about it...I""m just not in the mood.  Sorry guys....

<lj-cut text=""Because text only sucks"">
<img src=""http://img.photobucket.com/albums/v233/xxpaperxcutxx/Personal006.jpg"">
</lj-cut>"
"eventtime","2004-09-12 21:27:00"
"url","http://xxpaperxcutxx.livejournal.com/27045.html"
"userid","17537"
"itemid","104"
"event","Man, I feel terrible.  I can't even bring myself to explain why I feel this way.  So i'm going to end this post before I even get started.  Maybe I'll explain more later.  Sorry."
"eventtime","2004-09-12 01:08:00"
"url","http://xxpaperxcutxx.livejournal.com/26647.html"
"userid","17537"
"itemid","103"
"event","I'd have to say I had a great ending to a terrible week. 

I had a great time last night.  I went out for dinner with Soren and his friend.  We went to Peking Garden and ate buffet.  It was pretty good.  Soren is a great guy.  When then went to the shop and talked to Tuan and Robert which was fun.  Then we all headed down to the river to see what was going on with the bonfire.  

We got there and only Nick and Kristen were there.  So we started to help them with the fire.  When we finally got that going more people showed up.  It was a great time.  I left for a bit with Robert and Nick to get some blankets to sit on.  We went back and there were a ton of people, but it was still boring.  So we went and drove around.  That was alot of fun.  Nicki and I did a chinese fire drill on Kansas and had a Great time.  Then we went out to Jennie Barker and Nicki and I played hopscotch and scared ourselfs.  Then I came home and ate:).  End of my night. 

Now I'm getting ready to go to Hays.  I'll update more tonight or maybe just on Sunday.  Have a great weekend everyone"
"eventtime","2004-09-04 13:41:00"
"url","http://xxpaperxcutxx.livejournal.com/26537.html"
"userid","17537"
"itemid","102"
"event","Ok, sorry for my lack of updates.  I could lie and say I've been busy, but I'm against lieing so I won't.  Truth is I haven't been busy at all.
  
Tyler and I broke up as many of you may or may not know.  Frankly I hardly think it makes much of a difference, I'm still the same Rachel, nothings different except for the fact that I no longer have a boyfriend.  Big deal.  

All I've done lately is catch up with some friends I neglected while dating Tyler and made amends with them.   I've also gone to a few college classes those are working out pretty well.   

Blah, this is a boring update...and I'm sorry."
"eventtime","2004-09-02 16:01:00"
"url","http://xxpaperxcutxx.livejournal.com/26129.html"
"userid","17537"
"itemid","101"
"event","So here I am sitting here feeling worthless.  My plans fell through once again.  I want to cry but I know this is one of those times I need to suck it up and be a big girl.  But sometimes it's just so hard to pretend like you're okay when you aren't.  I'm not happy with myself or my friends.  I'm not happy with my love life.   I can't stand feeling like this, and I hate complaining.  I'm about ready to just tell everyone exactly how I feel, but that wouldn't be good.  Gosh, I'm sick of this update.  I'm going for a walk.  Good Bye."
"eventtime","2004-08-27 20:24:00"
"url","http://xxpaperxcutxx.livejournal.com/25890.html"
"userid","17537"
"itemid","100"
