"names","values"
"itemid","580"
"event","Bin wieder aus England zur&uuml;ck, hatte eine Woche Urlaub danach noch.

Habe meine FL etwas reduziert, einige die ewig nicht mehr geschrieben haben, andere wo ich nicht so mehr mit kam mit dem lesen.

Muss echt mal sehen das ich wieder &ouml;fters schreibe, aber irgendwie nehm ich mir nen Eintrag vor und dann kommt was dazwischen und schwupps sind wieder x Tage rum."
"eventtime","2010-06-07 15:19:00"
"url","http://zahlenhexe.livejournal.com/148522.html"
"userid","17710"
"itemid","499"
"event","<lj-poll-1454027>

~inspiriert aus einem anderen Forum"
"eventtime","2009-09-06 21:02:00"
"url","http://zahlenhexe.livejournal.com/127805.html"
"userid","17710"
"itemid","412"
